rho,rep,seed,miae,rmise,beta_mae,beta_rmse,se_beta_nonzero,ppv_beta_nonzero,spe_beta_nonzero,npv_beta_nonzero,se_const_zero,ppv_const_zero,spe_const_zero,npv_const_zero,se_const_nonzero,ppv_const_nonzero,spe_const_nonzero,npv_const_nonzero,se_vary,ppv_vary,spe_vary,npv_vary
0.1,0,123,0.10515443132535722,0.16127347595631958,0.008065541063175436,0.011787262994305311,1.0,1.0,1.0,1.0,0.6318181818181818,0.896774193548387,0.84,0.509090909090909,0.34545454545454546,0.41304347826086957,0.8981132075471698,0.8686131386861314,0.7111111111111111,0.2689075630252101,0.6836363636363636,0.9353233830845771
0.1,1,124,0.09245170442173478,0.14495148391714033,0.006712943568414169,0.009933112641090907,1.0,1.0,1.0,1.0,0.7318181818181818,0.9415204678362573,0.9,0.6040268456375839,0.36363636363636365,0.40816326530612246,0.8905660377358491,0.8708487084870848,0.8666666666666667,0.39,0.7781818181818182,0.9727272727272728
0.1,2,125,0.1163724750982135,0.1831330855686902,0.0061939786836654725,0.008391957605790066,1.0,1.0,1.0,1.0,0.7454545454545455,0.9590643274853801,0.93,0.6241610738255033,0.5818181818181818,0.3902439024390244,0.8113207547169812,0.9033613445378151,0.8888888888888888,0.5970149253731343,0.9018181818181819,0.9802371541501976
0.1,3,126,0.1121594788251491,0.17555250337336298,0.00972894184336468,0.012783436119602623,1.0,1.0,1.0,1.0,0.7818181818181819,0.9662921348314607,0.94,0.6619718309859155,0.7090909090909091,0.4431818181818182,0.8150943396226416,0.9310344827586207,0.8666666666666667,0.7222222222222222,0.9454545454545454,0.9774436090225563
0.1,4,127,0.11304513609720274,0.16915655226666665,0.005807443523023497,0.009371394556037046,1.0,1.0,1.0,1.0,0.5681818181818182,0.9398496240601504,0.92,0.4919786096256685,0.2,0.22916666666666666,0.8603773584905661,0.8382352941176471,0.8444444444444444,0.2733812949640288,0.6327272727272727,0.9613259668508287
0.1,5,128,0.09859761705629158,0.15059020085641514,0.0059882242386001825,0.010419889113649428,1.0,1.0,1.0,1.0,0.7045454545454546,0.9337349397590361,0.89,0.577922077922078,0.4,0.36065573770491804,0.8528301886792453,0.8725868725868726,0.8,0.3870967741935484,0.7927272727272727,0.960352422907489
0.1,6,129,0.09625198688578873,0.1512311640542081,0.009074874079010012,0.012101144827755685,1.0,1.0,1.0,1.0,0.7272727272727273,0.9467455621301775,0.91,0.6026490066225165,0.4,0.3728813559322034,0.8603773584905661,0.8735632183908046,0.8666666666666667,0.42391304347826086,0.8072727272727273,0.9736842105263158
0.1,7,130,0.1047783828845495,0.1609754999734721,0.004570275219452331,0.007380126528911717,1.0,1.0,1.0,1.0,0.6909090909090909,0.9325153374233128,0.89,0.5668789808917197,0.4,0.3548387096774194,0.8490566037735849,0.872093023255814,0.8,0.37894736842105264,0.7854545454545454,0.96
0.1,8,131,0.0973594132707262,0.15111620113940566,0.011849326447428216,0.0140939224075847,1.0,1.0,1.0,1.0,0.7227272727272728,0.9190751445086706,0.86,0.5850340136054422,0.2,0.24444444444444444,0.8716981132075472,0.84,0.8,0.35294117647058826,0.76,0.9587155963302753
0.1,9,132,0.09698915855883233,0.14923415153968736,0.0021975766563374203,0.004534111073324545,1.0,1.0,1.0,1.0,0.6636363636363637,0.9299363057324841,0.89,0.5460122699386503,0.43636363636363634,0.34782608695652173,0.8301886792452831,0.8764940239043825,0.8,0.3829787234042553,0.7890909090909091,0.9601769911504425
0.1,10,133,0.09396625876302682,0.14551624675036984,0.015260398627648181,0.01869873007210229,1.0,1.0,1.0,1.0,0.6909090909090909,0.9212121212121213,0.87,0.5612903225806452,0.38181818181818183,0.375,0.8679245283018868,0.8712121212121212,0.8,0.36363636363636365,0.7709090909090909,0.9592760180995475
0.1,11,134,0.11692410939112782,0.18269691527745968,0.015577241009304485,0.020611198341857127,1.0,1.0,1.0,1.0,0.7545454545454545,0.9485714285714286,0.91,0.6275862068965518,0.41818181818181815,0.30666666666666664,0.8037735849056604,0.8693877551020408,0.8666666666666667,0.5571428571428572,0.8872727272727273,0.976
0.1,12,135,0.09243412145416789,0.14714384095561206,0.015214542194485658,0.033001850876962946,1.0,1.0,1.0,1.0,0.7272727272727273,0.9467455621301775,0.91,0.6026490066225165,0.4,0.4074074074074074,0.879245283018868,0.8759398496240601,0.8444444444444444,0.3917525773195876,0.7854545454545454,0.968609865470852
0.1,13,136,0.09872363054459518,0.15031338451169454,0.010114187668233092,0.014622103687744038,1.0,1.0,1.0,1.0,0.6863636363636364,0.9320987654320988,0.89,0.5632911392405063,0.32727272727272727,0.32727272727272727,0.8603773584905661,0.8603773584905661,0.8,0.34951456310679613,0.7563636363636363,0.9585253456221198
0.1,14,137,0.09804302263137538,0.15307083531718033,0.003962900243293507,0.007474796907721139,1.0,1.0,1.0,1.0,0.6318181818181818,0.9455782312925171,0.92,0.5317919075144508,0.509090909090909,0.45901639344262296,0.8754716981132076,0.8957528957528957,0.8444444444444444,0.3392857142857143,0.730909090909091,0.9663461538461539
0.1,15,138,0.09386800406328137,0.1511975161606643,0.012039053831892304,0.017700702705826608,1.0,1.0,1.0,1.0,0.6636363636363637,0.9419354838709677,0.91,0.5515151515151515,0.5454545454545454,0.5769230769230769,0.9169811320754717,0.9067164179104478,0.8222222222222222,0.3274336283185841,0.7236363636363636,0.961352657004831
0.1,16,139,0.10956412876425717,0.17043372679080238,0.006673690579491451,0.014047919790236752,1.0,1.0,1.0,1.0,0.7772727272727272,0.9606741573033708,0.93,0.6549295774647887,0.5818181818181818,0.4050632911392405,0.8226415094339623,0.9045643153526971,0.9333333333333333,0.6666666666666666,0.9236363636363636,0.9883268482490273
0.1,17,140,0.1159386695006069,0.17884819425833376,0.0056485362609836765,0.007762794124008111,1.0,1.0,1.0,1.0,0.7545454545454545,0.9540229885057471,0.92,0.6301369863013698,0.5818181818181818,0.4,0.8188679245283019,0.9041666666666667,0.8888888888888888,0.6060606060606061,0.9054545454545454,0.9803149606299213
0.1,18,141,0.09412554836419539,0.14300707787393938,0.011577161643165558,0.019750604157565306,1.0,1.0,1.0,1.0,0.6909090909090909,0.9325153374233128,0.89,0.5668789808917197,0.41818181818181815,0.323943661971831,0.8188679245283019,0.8714859437751004,0.7777777777777778,0.4069767441860465,0.8145454545454546,0.9572649572649573
0.1,19,142,0.09425385764288645,0.1494743807905586,0.01331551357907911,0.019664108700266657,1.0,1.0,1.0,1.0,0.7,0.9447852760736196,0.91,0.5796178343949044,0.34545454545454546,0.35185185185185186,0.8679245283018868,0.8646616541353384,0.8666666666666667,0.3786407766990291,0.7672727272727272,0.9723502304147466
0.1,20,143,0.09659135454009259,0.15067148062545582,0.014459460161209492,0.027078486735085464,1.0,1.0,1.0,1.0,0.7,0.927710843373494,0.88,0.5714285714285714,0.36363636363636365,0.3389830508474576,0.8528301886792453,0.8659003831417624,0.8,0.37894736842105264,0.7854545454545454,0.96
0.1,21,144,0.10244849738342922,0.1646727003476544,0.007397885057024737,0.013673080922691157,1.0,1.0,1.0,1.0,0.6454545454545455,0.9281045751633987,0.89,0.5329341317365269,0.2545454545454545,0.3111111111111111,0.8830188679245283,0.850909090909091,0.8222222222222222,0.30327868852459017,0.6909090909090909,0.9595959595959596
0.1,22,145,0.09659406464479894,0.1501034253516318,0.007163706445929198,0.010256240816191966,1.0,1.0,1.0,1.0,0.7227272727272728,0.9298245614035088,0.88,0.5906040268456376,0.2909090909090909,0.3137254901960784,0.8679245283018868,0.8550185873605948,0.7555555555555555,0.3469387755102041,0.7672727272727272,0.9504504504504504
0.1,23,146,0.10344651250800323,0.15853953140467292,0.008014086850837921,0.014631617646690116,1.0,1.0,1.0,1.0,0.6636363636363637,0.9358974358974359,0.9,0.5487804878048781,0.36363636363636365,0.3225806451612903,0.8415094339622642,0.8643410852713178,0.8888888888888888,0.39215686274509803,0.7745454545454545,0.9770642201834863
0.1,24,147,0.09802775494067104,0.15168617696974754,0.0101199079251762,0.015861181922332192,1.0,1.0,1.0,1.0,0.6818181818181818,0.9375,0.9,0.5625,0.4,0.4,0.8754716981132076,0.8754716981132076,0.8,0.34285714285714286,0.7490909090909091,0.958139534883721
0.1,25,148,0.11617979517238901,0.18173168488940775,0.006816856221062989,0.01054285241679345,1.0,1.0,1.0,1.0,0.7681818181818182,0.9441340782122905,0.9,0.6382978723404256,0.4727272727272727,0.3611111111111111,0.8264150943396227,0.8830645161290323,0.8666666666666667,0.5652173913043478,0.8909090909090909,0.9760956175298805
0.1,26,149,0.10355970175959842,0.1557958624311294,0.011442966292128133,0.023299505075171735,1.0,1.0,1.0,1.0,0.7090909090909091,0.9397590361445783,0.9,0.5844155844155844,0.41818181818181815,0.35384615384615387,0.8415094339622642,0.8745098039215686,0.8,0.4044943820224719,0.8072727272727273,0.961038961038961
0.1,27,150,0.05389485612739719,0.09975588968615412,0.011597809202093448,0.02125691795296633,1.0,1.0,1.0,1.0,0.7772727272727272,0.9243243243243243,0.86,0.6370370370370371,0.8363636363636363,0.9583333333333334,0.9924528301886792,0.9669117647058824,0.7555555555555555,0.39080459770114945,0.8072727272727273,0.9527896995708155
0.1,28,151,0.09626661930153786,0.14902084895073192,0.00916907846242698,0.012882279169724717,1.0,1.0,1.0,1.0,0.6636363636363637,0.948051948051948,0.92,0.5542168674698795,0.4909090909090909,0.38028169014084506,0.8339622641509434,0.8875502008032129,0.8888888888888888,0.42105263157894735,0.8,0.9777777777777777
0.1,29,152,0.12022816127500022,0.18305605949947165,0.007451135942255098,0.012130380415266406,1.0,1.0,1.0,1.0,0.7727272727272727,0.9714285714285714,0.95,0.6551724137931034,0.7090909090909091,0.4431818181818182,0.8150943396226416,0.9310344827586207,0.9111111111111111,0.7192982456140351,0.9418181818181818,0.9847908745247148
