n,noise_type,coef_type,n_rep,miae_mean,miae_std,rmise_mean,rmise_std,beta_mae_mean,beta_mae_std,beta_rmse_mean,beta_rmse_std,err_mae_mean,err_mae_std,err_rmse_mean,err_rmse_std
2000,gaussian,bump,30,0.06423491260873153,0.0019814238652350225,0.08078122684817247,0.0024316458674921155,0.041486834552798973,0.019870437521683642,0.045051632294396605,0.021018716365366532,0.5048947111388695,0.02511486290580738,0.633288163287857,0.028179719059562916
2000,gaussian,quadratic,30,0.06189062671727143,0.001973421853748507,0.07779588150937287,0.0024394258554998544,0.04098809603908871,0.01837533869465679,0.04464941671760531,0.019788526098163263,0.4945436872083607,0.023897891607034906,0.6196882908267651,0.02801771375703555
2000,gaussian,sin,30,0.06767425583064356,0.002000633229701989,0.08518637983902486,0.002487171660245517,0.04242781967158901,0.019939773389362606,0.046574039641718946,0.02040377081577481,0.5179278055859841,0.02546730462334037,0.6507577532653138,0.02968670483985436
2000,gaussian,sqrt,30,0.06143829160670785,0.0019438034738536115,0.07721871175922641,0.0023872590976450887,0.0412746286337619,0.018492369993488616,0.044615283531180314,0.02005979069942177,0.49304309876752106,0.02415433724447067,0.6175296476294608,0.027927135428372437
2000,heavy_tailed,bump,30,0.08148839540063656,0.00386285300197723,0.10267724665931645,0.005305907720440371,0.03942273787620607,0.02259517493856156,0.04439890251534461,0.02422897072715529,0.6232731842327852,0.0359003077085561,0.7944103082412305,0.050484172942864204
2000,heavy_tailed,quadratic,30,0.07955902969274085,0.003809968443525532,0.10020220700253608,0.005281150942102897,0.03830076795976762,0.023029645942700717,0.043766994179071234,0.02482739596772668,0.6137912439769038,0.03576794874981344,0.7836322741984271,0.050312299730067574
2000,heavy_tailed,sin,30,0.08445326891751681,0.003862651643905751,0.10635583251190163,0.00521777540943788,0.04095785764946835,0.022878981828271465,0.04614756693494996,0.024120084997990184,0.6334121080791117,0.035379428172107194,0.8071495878425157,0.04969692057372357
2000,heavy_tailed,sqrt,30,0.07913548564875926,0.0038368814460162277,0.09969265495696031,0.005316008509383597,0.03833867954084485,0.023093887689122357,0.04384496023339321,0.02470205947018307,0.6129943373739528,0.03598008151304271,0.7823758428192922,0.050260330176327556
5000,gaussian,bump,30,0.03197569594406073,0.0008310648691709036,0.04011448352625526,0.001017057282331799,0.018274577135473417,0.007774398759970631,0.02113221744366438,0.008870374558104868,0.7159373527524759,0.017066215718989093,0.8988538763604761,0.01974102767627682
5000,gaussian,quadratic,30,0.028608215469940534,0.0009302481509570963,0.035826096044416736,0.0011345698294059445,0.017824293063667552,0.008073304751029058,0.02035541598363659,0.009016028298329447,0.702812250143862,0.017341115852724135,0.8811141895582018,0.018979472457309743
5000,gaussian,sin,30,0.0363185396181023,0.0007762671254520737,0.0453328840076237,0.0009379397679025828,0.020436778602784967,0.007722496302158325,0.02292285680913032,0.008293763714638754,0.7351931546543771,0.017187195845711753,0.9228014717363539,0.020043350881537306
5000,gaussian,sqrt,30,0.02807702490308479,0.0009120562686132218,0.035140144567317184,0.0011071087488392479,0.017703316480015083,0.007430213448575944,0.02030684014469322,0.008398339065297088,0.6997900560458908,0.017424833770068628,0.8778464662935418,0.01929289464905195
5000,heavy_tailed,bump,30,0.03907386349150118,0.001233952185709227,0.04910849216031833,0.0014243321932847423,0.03499401247546142,0.016414446205253123,0.0382836296619028,0.016433834604323502,0.8716968721643485,0.02495483022684186,1.1472922727281731,0.041532672596527424
5000,heavy_tailed,quadratic,30,0.03643444401471171,0.001041165051057736,0.045655238791997746,0.0012966274532613502,0.03435382927951695,0.017063524483371395,0.03705282754141352,0.017136391460635156,0.8588249299303552,0.024236968813800278,1.1339281478506227,0.04218698641700832
5000,heavy_tailed,sin,30,0.04294071216791532,0.001167768704436218,0.05370771239916159,0.0014092391867076394,0.03524878140025571,0.01805045779595084,0.038639617455822665,0.018043578079121818,0.8911966768552654,0.023666587456935093,1.1684050154565082,0.040845440266348024
5000,heavy_tailed,sqrt,30,0.035880027247945034,0.0010997297697452654,0.04501169593139782,0.0013132917182563377,0.03484025247223556,0.016729818190742225,0.037588857610059506,0.016789373144613734,0.8568928429681663,0.02462121581740723,1.1314140204178564,0.04207068731478173
