n_subject,coef_type,rep,seed,success,error_message,elapsed_seconds,covariance_mode,signal_bandwidth_input,signal_bandwidth_method,best_signal_bandwidth,variance_bandwidth_input,variance_bandwidth_method,best_variance_bandwidth,sigma2_true,rho_true,miae_iid,rmise_iid,beta_mae_iid,beta_rmse_iid,miae_final,rmise_final,beta_mae_final,beta_rmse_final,sigma2_miae,sigma2_rmise,rho_abs_error,Sigma_fro_error
1000,base1,1,151,1,,728.2609820719808,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,0.9,0.04825336916274561,0.06478323222508829,0.035029693125834885,0.04270020546295536,0.033498314209299426,0.04482970538052892,0.03775795467314798,0.04094589604460974,0.3205276996106439,0.3264736583523395,0.2357954125796209,0.7798230076779109
1000,base2,0,150,1,,678.0505244918168,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,0.0,0.050794658560360834,0.0694247557509241,0.03245181594792351,0.041318246413447085,0.050982364967746996,0.06997410114700914,0.03107943887354607,0.04135929994745584,0.3353720295544463,0.34976264646351074,0.006774490595599551,0.474330414072757
1000,base1,1,151,1,,1542.9102578740567,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,0.3,0.04737908876966942,0.06357671534748703,0.0279980098641954,0.033126501130841146,0.046558544334970905,0.062377067389163154,0.030190084565691874,0.034093075565654184,0.28885915180861876,0.2961162998326446,0.12889953945468688,0.4800809738688594
1000,base1,1,151,1,,1620.5496340151876,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,0.6,0.04768268979596488,0.06404754397766038,0.03155240161731093,0.03777825395898467,0.04278815775903615,0.05723087311726051,0.03385772186998205,0.03739190496065045,0.30415791048136925,0.3108913031255286,0.18847445115105688,0.6178739236993515
1000,base1,0,150,1,,1682.949653616175,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,0.0,0.051685230699804005,0.06999592548085407,0.032619176799198485,0.03835021355897039,0.05188824818627584,0.07055015756269456,0.03162134714201102,0.038790984172165976,0.33591099146582665,0.3502657034493268,0.012141426586307048,0.47518671269752066
1000,base1,2,152,1,,1744.6197201386094,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,0.3,0.053380340386965944,0.07933442315871815,0.03728436791330336,0.040944138553390866,0.05174508812764107,0.0771203952894288,0.03904003943688253,0.044002547146517704,0.24879824748702778,0.25717495255074846,0.09237361249050788,0.40655973415769603
1000,base2,1,151,1,,422.1156608723104,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,0.0,0.04944544481428645,0.0657853971456615,0.012963606750685586,0.014245899317565772,0.04949620564742412,0.06600367949684706,0.013864694733990407,0.015865907169810824,0.26861337712792444,0.27468836200789354,0.025023888580061025,0.3807574414348374
1000,base1,0,150,1,,1993.1471779122949,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,0.9,0.052164308662007705,0.07202456850547267,0.04383237009373092,0.05057133079914051,0.036956751165780094,0.053064026329933074,0.043626432937694526,0.0484052252987615,0.3379199128715783,0.3525273391575334,0.22134527996691256,0.7966165027679816
1000,base1,2,152,1,,2013.205070650205,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,0.9,0.055804388137541336,0.08534917054659835,0.04636979938509661,0.049911445621965304,0.03993680850481236,0.06347289686438147,0.04672374940493651,0.05160597779980777,0.2555556608133926,0.2641957769365701,0.2455595568103084,0.6866106471919697
1000,base1,2,152,1,,2016.5758011247963,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,0.6,0.05439684341563754,0.08213401923925086,0.04187484423966087,0.045491987092497056,0.04810390140696334,0.07326152597116407,0.04324636670143067,0.04829688887508029,0.2498866916279716,0.25810749138952443,0.17242286911928206,0.5299705040068192
