n_subject,coef_type,rep,seed,success,error_message,elapsed_seconds,covariance_mode,signal_bandwidth_input,signal_bandwidth_method,best_signal_bandwidth,variance_bandwidth_input,variance_bandwidth_method,best_variance_bandwidth,sigma2_true,sigma2_function,rho_true,rho_error,miae_iid,rmise_iid,beta_mae_iid,beta_rmse_iid,miae_final,rmise_final,beta_mae_final,beta_rmse_final,sigma2_miae,sigma2_rmise,rho_abs_error,Sigma_fro_error
1000,base1,2,141,1,,1382.1574034059886,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.0,-0.053453231305477966,0.05389260191401687,0.07873692557057631,0.01653820471430971,0.0170928701595634,0.05383066071446258,0.07890264487809796,0.014696226511577995,0.015625394121535883,0.30224914881071197,0.351304563591483,0.053453231305477966,
1000,base1,2,141,1,,1412.7769707390107,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.6,-0.14925642957645152,0.05582179139688977,0.08540353981688123,0.019555206285168464,0.02190227900482904,0.04897871284176382,0.07864076799185714,0.017265616682678064,0.018970924137398627,0.266395482963777,0.2958373486407092,0.14925642957645152,
1000,base1,0,139,1,,1523.8076288159937,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.6,-0.13910480598397013,0.05262388701857425,0.07400920932051297,0.019190197067350423,0.021291856654406523,0.04638243922769697,0.06650664895393049,0.021544362191692645,0.023924174244672778,0.2779136466493995,0.3218827954024123,0.13910480598397013,
1000,base1,3,142,1,,1702.750907298876,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.6,-0.15969941325642212,0.0492530027768567,0.06762954478224018,0.021413475302326013,0.025235030438581545,0.04521930010737438,0.06401416420823133,0.01850695319934434,0.02140332209101659,0.3180204257441337,0.3587694350327154,0.15969941325642212,
1000,base1,3,142,1,,1756.5267009669915,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.0,-0.018117376879991924,0.052485380619936475,0.0749921248672069,0.03784168205138319,0.04917077062927946,0.0525687112165118,0.07517038281362651,0.03817508671597121,0.051346081523956026,0.29763544882895715,0.34815057073008937,0.018117376879991924,
1000,base1,0,139,1,,1763.721921710996,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.0,-0.009379036445051427,0.050716776588742615,0.0737681308294864,0.025092042880552404,0.02591419011186244,0.05091626456274839,0.07435703636690626,0.024984315345824668,0.02596265766375635,0.3236366234343302,0.3683073504620431,0.009379036445051427,
1000,base1,2,141,1,,1795.5348461319227,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.3,-0.051142271201553346,0.055005254871044046,0.0846700034454786,0.016847773934589083,0.020344947259235486,0.05307238755232304,0.0833057421228484,0.01737348790506582,0.019055631555406103,0.2775164525910995,0.30794410381828335,0.051142271201553346,
1000,base1,3,142,1,,1823.6330801998265,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.3,-0.08738974401771951,0.05003537329431549,0.06905867438780544,0.01922054036932877,0.021015439652182163,0.04943546401105401,0.06912626432549304,0.017614785191691545,0.01933206923329265,0.3148657976352425,0.3581896426553088,0.08738974401771951,
1000,base1,0,139,1,,1902.4796802408528,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.3,-0.06379363204911032,0.05192793521161575,0.07358494155259572,0.01787900600659814,0.02023374447975075,0.050240760544144704,0.07192813524699333,0.019844464670815076,0.022345125798561537,0.28306189261109227,0.32364617703705945,0.06379363204911032,
1000,base1,1,140,1,,2005.452609451022,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.6,-0.1637318599905772,0.04733781974855952,0.06772793055116505,0.023846664281229224,0.029925445014524495,0.04292662098888758,0.061306265507521905,0.023857940397318977,0.030222766618777732,0.30277704646541576,0.34518308971163886,0.1637318599905772,
1000,base1,1,140,1,,2023.6945576050784,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.3,-0.09220876966145858,0.04750316346299476,0.06791416093017248,0.02286726576486442,0.029230748052754017,0.04687355365413818,0.06695924586966122,0.02307282815780104,0.029489156847681632,0.29344499627245124,0.3337687781026123,0.09220876966145858,
