n_subject,coef_type,rep,seed,success,error_message,elapsed_seconds,covariance_mode,signal_bandwidth_input,signal_bandwidth_method,best_signal_bandwidth,variance_bandwidth_input,variance_bandwidth_method,best_variance_bandwidth,sigma2_true,sigma2_function,rho_true,rho_error,miae_iid,rmise_iid,beta_mae_iid,beta_rmse_iid,miae_final,rmise_final,beta_mae_final,beta_rmse_final,sigma2_miae,sigma2_rmise,rho_abs_error,Sigma_fro_error
1000,base1,2,152,1,,910.0695848290052,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,0.6,-0.16834463062951271,0.04601571154642309,0.06556263013069019,0.032692058346459774,0.035393236739776186,0.04088857288707134,0.05871004050108664,0.03839001900652256,0.04282795552133565,0.17459939939394395,0.17892483574487109,0.16834463062951271,
1000,base1,0,150,1,,967.9098393899912,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,0.6,-0.13051318866079736,0.044372882318748814,0.05870340870247004,0.0347962015316933,0.03970668434359134,0.03978673404973899,0.05347089090415556,0.0302034173660696,0.03289336832104425,0.2361001888682975,0.24039198993991753,0.13051318866079736,
1000,base1,1,151,1,,1008.8048756750068,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,0.6,-0.18789022377162223,0.04026755107016741,0.05262560373908811,0.0238031209320263,0.029400723845757835,0.03626505478124998,0.04720762978232014,0.02952513105987402,0.032563665274620235,0.20844449652977937,0.21181883860710132,0.18789022377162223,
1000,base1,1,151,1,,1071.880834615993,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,0.3,-0.12943543772346103,0.040007328463536065,0.05229502410926341,0.02106879892780479,0.025683171205969503,0.039351943411337555,0.05139530714815111,0.02636079828904786,0.02959819329753094,0.1966228318190767,0.19958027671706977,0.12943543772346103,
1000,base1,1,151,1,,1253.1018767100177,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,0.9,-0.23297121400870635,0.04075257699066321,0.05320360629920839,0.026506902996107848,0.03337924471314636,0.028776051211305453,0.037292353503036536,0.03285663791412882,0.03567854828390948,0.2214329140895937,0.22549868121981073,0.23297121400870635,
1000,base1,0,150,1,,1286.6696032249893,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,0.3,-0.053346329791564506,0.044104452522663914,0.05847181891438088,0.030871790226177503,0.03473797430207009,0.04320504842930008,0.05774471196657777,0.025703287865113417,0.028014080529289307,0.23855010866886994,0.24206524271431187,0.053346329791564506,
1000,base1,0,150,1,,1364.5133363359782,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,0.9,-0.21183248481022454,0.04433166512503728,0.058734557173620354,0.03867169735206427,0.04492214562558278,0.03174235659010307,0.04324842814440002,0.03564673428262863,0.03942525201769167,0.23230046231130583,0.23855579126433266,0.21183248481022454,
1000,base1,1,151,1,,1388.674789682991,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,0.0,0.044383501710433204,0.04300190369909939,0.05531361090553092,0.010741646717437686,0.010868766053574515,0.04297239301119913,0.05544735801394989,0.013873807309942005,0.015405857925926292,0.1870712573066974,0.19304719348127405,0.044383501710433204,
1000,base1,2,152,1,,1479.3610765199992,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,0.3,-0.09226626157617959,0.04526948615822056,0.06367767579604063,0.029193589897172245,0.031948373037377756,0.04395076397192917,0.06211444083570256,0.034555277130941836,0.038929559307181484,0.17315391588991005,0.17711644640905466,0.09226626157617959,
1000,base1,0,150,1,,1483.4555185299832,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,0.0,-0.014442733189646556,0.04366016646421438,0.0571041449407849,0.02937349246162052,0.03317952401946723,0.043850279888742724,0.05754929457963531,0.02579269192476398,0.031761458253318324,0.22958691371151105,0.23160861073898137,0.014442733189646556,
1000,base1,2,152,1,,1612.6454424140102,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,0.9,-0.23758873984611806,0.0470143632796491,0.06775579622958475,0.036102186278590825,0.03872818356938342,0.03398481340193286,0.050350878408144506,0.04152746899611884,0.0458420395193295,0.17914187320454553,0.18381606257596228,0.23758873984611806,
1000,base1,2,152,1,,1688.792079669016,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,0.0,0.032717376563598834,0.04606140062000969,0.06270094592491385,0.01356329674106374,0.019445544116087503,0.04614437556561898,0.0631695768784626,0.01801135511643101,0.02907885469448566,0.19880067411824975,0.20205825625573112,0.032717376563598834,
1000,base2,0,150,1,,1013.3369695750007,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,0.3,-0.053885112084597064,0.044469811527308514,0.05871703579528896,0.030057412148136564,0.032417046301023336,0.04322564805749907,0.05770753951599967,0.02510705212579764,0.02616107497704827,0.24089455704557158,0.24333449190102252,0.053885112084597064,
1000,base2,0,150,1,,1204.3933292879956,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,0.0,0.008616536083597366,0.042761437095332776,0.05635771554422897,0.029206131610346034,0.03591675395830318,0.042930660956460906,0.056816845457461,0.025200839583707432,0.03405738620772777,0.22940756840812043,0.23114454762241152,0.008616536083597366,
1000,base2,1,151,1,,1180.4080072189972,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,0.0,0.019145706270055313,0.04182658922414979,0.05451939741490907,0.008863231794504517,0.009407430122551222,0.04176818062160715,0.054622505273469915,0.012715398514085041,0.014421493189561973,0.1850536155032108,0.19057418611653715,0.019145706270055313,
1000,base2,2,152,1,,1143.4515098280099,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,0.0,0.029587889760393435,0.04756466854234606,0.0642555847719199,0.013681440299452924,0.02246180395340926,0.04777337350073027,0.06487283738312401,0.019807014915492804,0.03190518751184388,0.20046461291703996,0.20377511218011496,0.029587889760393435,
1000,base2,1,151,1,,1329.6421778810036,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,0.3,-0.12567400635245404,0.04009668050405535,0.05232506827680542,0.02294721385073943,0.026680751679287296,0.03941006574270525,0.051419907077372394,0.028289361363470267,0.031229319275004167,0.1965719107762151,0.19855086537257952,0.12567400635245404,
1000,base2,2,152,1,,1376.1463154130033,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,0.3,-0.07208331725696726,0.0438127888174853,0.06220988338233247,0.026251510946032758,0.0311979875584625,0.042309582875374306,0.06057945661800392,0.0325778308437677,0.038576117543087755,0.173818238906455,0.17750151211306758,0.07208331725696726,
1000,base2,1,151,1,,1057.7247614999942,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,0.9,-0.22855428024036584,0.04050666218345575,0.05301521769299925,0.028385317919042155,0.03444259241661242,0.027881402264596112,0.036828925994202615,0.03474803375709798,0.03716283130390962,0.22091400705696257,0.22431062730577664,0.22855428024036584,
1000,base2,1,151,1,,1344.551591277006,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,0.6,-0.1836972000095506,0.040164837011105625,0.052567401019907756,0.0256815358549619,0.03043029511249259,0.03597350910370938,0.04706650369792556,0.03143464191018362,0.03410386592554921,0.208150178435175,0.21064718713529978,0.1836972000095506,
1000,base2,0,150,1,,1338.0194471240102,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,0.9,-0.2197369948570962,0.044763647653384885,0.059016694653345685,0.037857319274025,0.042320976683419075,0.03114891565312173,0.04273389601862966,0.03604938690549414,0.03830053754783329,0.23362666089576614,0.23701780145389853,0.2197369948570962,
1000,base2,0,150,1,,1574.9182087719964,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,0.6,-0.13387983203305043,0.04473318969182634,0.05897155601737292,0.03398182345365408,0.03724917736258791,0.039508753574178955,0.05318605438070846,0.03003680360086089,0.03136241344544614,0.23805861787682087,0.2404880492367758,0.13387983203305043,
1000,base2,2,152,1,,1460.5418474960024,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,0.6,-0.14715721420209843,0.04447312930002226,0.06389181316028623,0.029749979395321924,0.03434272598080038,0.038976435325586735,0.05696675139527001,0.036392854855300694,0.04229719990313155,0.17481838918099324,0.1791753367780379,0.14715721420209843,
1000,base2,2,152,1,,1251.9055677819997,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,0.9,-0.216469634578773,0.045421762262286614,0.06587843651092125,0.033160107327451144,0.03733925074849069,0.031556490669363786,0.04810563058271972,0.03945756956617902,0.04499685262757445,0.17873721593742165,0.1837847144510385,0.216469634578773,
1000,base3,0,150,1,,1110.37004652599,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,0.3,-0.1415952104323827,0.05920159546554285,0.07463193492394611,0.026660346883343733,0.03226421110296928,0.05973377256425007,0.07544215958359046,0.020977221600485457,0.023946192485025837,0.10899818592472035,0.13181151652687756,0.1415952104323827,
1000,base3,0,150,1,,1332.618143255997,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,0.0,-0.023176082777675668,0.06093834976796635,0.07657852816228782,0.02943523939745432,0.034577302865045074,0.06225259897556948,0.0781645631356632,0.026401498725793615,0.03294418830207218,0.0994061762338491,0.1166712953294073,0.023176082777675668,
1000,base3,2,152,1,,1426.4271726610023,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,0.0,0.028254474079921432,0.062333704940489586,0.07960523587807615,0.01123885588837216,0.016139636638204034,0.0634292394143932,0.0812059533868611,0.018670259952852847,0.026302745667863822,0.07246641249379214,0.09353682799865456,0.028254474079921432,
1000,base3,1,151,1,,1502.1937219690008,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,0.0,0.060848677330803826,0.05670316065746192,0.07143966330931248,0.022217913025301017,0.025370505579053397,0.05758503088161475,0.07262335642480416,0.024570339594639362,0.027669360617740675,0.07801258183241205,0.10109093436340023,0.060848677330803826,
