n_subject,coef_type,rho_true,sigma2_function,covariance_mode,signal_bandwidth_method,n_rep,n_success,n_fail,miae_iid_mean,miae_iid_std,rmise_iid_mean,rmise_iid_std,beta_mae_iid_mean,beta_mae_iid_std,beta_rmse_iid_mean,beta_rmse_iid_std,miae_final_mean,miae_final_std,rmise_final_mean,rmise_final_std,beta_mae_final_mean,beta_mae_final_std,beta_rmse_final_mean,beta_rmse_final_std,sigma2_miae_mean,sigma2_miae_std,sigma2_rmise_mean,sigma2_rmise_std,rho_abs_error_mean,rho_abs_error_std,rho_error_mean,rho_error_std,best_signal_bandwidth_mean,best_signal_bandwidth_std,best_variance_bandwidth_mean,best_variance_bandwidth_std,elapsed_seconds_mean,elapsed_seconds_std,rho_mae,rho_rmse
1000,base5,0.0,constant,exchangeable_varying_sigma,fixed,4,4,0,0.0788867997481339,0.0023343988655378065,0.1059795382353618,0.0034897955052171203,0.024179356193744134,0.007819606647623939,0.029231388078056468,0.00879145692637454,0.08229834343370462,0.0023931036957729915,0.11138228991720042,0.003668744829352058,0.02445935725012725,0.003989147570163684,0.027212481140551515,0.004601681215656329,0.3069013401297953,0.018274254569818436,0.39793609326932033,0.02344963957263164,0.04219573691801551,0.01831078524553256,0.00884492372339861,0.04513903404692717,0.18,0.0,0.18,0.0,1302.7253864362428,378.2119054109463,0.04219573691801551,0.04599744634610045
1000,base5,0.0,mixed,exchangeable_varying_sigma,fixed,4,4,0,0.07987980772769018,0.002436738866675097,0.10814926504416134,0.0035367766889746292,0.024343113978038494,0.007311880783767572,0.02984751720387552,0.00814526661172748,0.08336782901983915,0.002444381256978507,0.11358873212571287,0.0036488470729476503,0.0241817779104568,0.004139103810075928,0.027046858252715123,0.0046727262451724694,0.34282011654730277,0.016600310635303785,0.44514785001341817,0.023921786864180884,0.042980335377607606,0.019127347722026403,0.009475409358005855,0.046080161431457156,0.18,0.0,0.18,0.0,1339.7439814372337,411.44165629948367,0.042980335377607606,0.04704428403165401
1000,base5,0.0,sin,exchangeable_varying_sigma,fixed,4,4,0,0.0785111407239653,0.0022638838349469726,0.1059882017988718,0.0034182749297226147,0.023745632386591328,0.008466459609076996,0.029208201349045403,0.009104935914339557,0.08186016328998302,0.00229246236572247,0.11131089393383625,0.003531284780916771,0.023906079078068226,0.0039811014686273495,0.026480346738666973,0.005026896606448505,0.2921818559464778,0.01625095911874053,0.3641109836523321,0.021135306463971205,0.043585995875230335,0.01833018608194495,0.008753860239337876,0.04646616714497187,0.18,0.0,0.18,0.0,1261.2537046432553,452.527891753217,0.043585995875230335,0.047283556954128614
1000,base5,0.0,sin2,exchangeable_varying_sigma,fixed,4,4,0,0.07285830033382146,0.002086922044934278,0.09814875264843284,0.003294652943375566,0.022877719334796962,0.007373694719234147,0.026486870112925626,0.0083816345772495,0.07643518389156448,0.002184680077344667,0.1041462657591065,0.0035102220634506604,0.020989104465170823,0.003197476313591477,0.023476094535974462,0.003687292706953823,0.2798025071793894,0.0189542255311929,0.39194370781557664,0.023568180454338544,0.04125344705864677,0.018250887049858708,0.010609716360486491,0.043844904961435345,0.18,0.0,0.18,0.0,1524.1717561675177,25.1448074199165,0.04125344705864677,0.04511032888737647
1000,base5,0.3,constant,exchangeable_varying_sigma,fixed,4,4,0,0.07826509548629484,0.0013848228970331704,0.1050559255012582,0.0015464053887850903,0.022559875127655202,0.008868723324103073,0.026730402006338465,0.010454284577852968,0.08114740006732071,0.0012114244901227295,0.11019390317710438,0.0013733274890986326,0.022926341560521528,0.008671804938605096,0.027077564345617658,0.010000862045412787,0.30325967820616684,0.018401993697738955,0.3930762548860814,0.025801008082227954,0.15425449915608225,0.03237537147904145,-0.15425449915608225,0.03237537147904145,0.18,0.0,0.18,0.0,1518.3077200462576,16.599365084222033,0.15425449915608225,0.15761540276349806
1000,base5,0.3,mixed,exchangeable_varying_sigma,fixed,4,4,0,0.07925128354220573,0.0014582361556858099,0.10711540898211373,0.0017581122151982607,0.021946975252462878,0.009225744741239926,0.026547244663579096,0.010503062148805777,0.08217829661581547,0.0012528108206340271,0.11221675396872582,0.0015166696285555923,0.02315382437954509,0.008612994639026475,0.027334368855691283,0.010211608568307199,0.34353201180507087,0.015800565229508904,0.44605791010123846,0.022878690576559918,0.15825814085572448,0.03226079402491623,-0.15825814085572448,0.03226079402491623,0.18,0.0,0.18,0.0,1271.5266583622433,397.5963841425266,0.15825814085572448,0.1615128415273176
1000,base5,0.3,sin,exchangeable_varying_sigma,fixed,4,4,0,0.077873980869617,0.0014029169678517431,0.10498590390217843,0.0016421232845715392,0.021964472387504742,0.00858334096501027,0.025887883443427923,0.0095445795486765,0.08075066593058786,0.001207667776358257,0.11015937126123737,0.0013680942426025015,0.022377034541591262,0.006712992730300494,0.026751727195998803,0.008276277629332982,0.2895711350640171,0.014919116738443918,0.3603434408959273,0.024040924242298426,0.1536348200638324,0.03500556411125765,-0.1536348200638324,0.03500556411125765,0.18,0.0,0.18,0.0,1537.2762039515073,18.965320473419418,0.1536348200638324,0.1575723562519566
1000,base5,0.3,sin2,exchangeable_varying_sigma,fixed,4,4,0,0.07235322629339036,0.001030463719148497,0.09763548631502154,0.0008107744884294002,0.02203179305101446,0.008083115947686391,0.02605512069522754,0.009359829413654859,0.07558052759323994,0.0008821840086987845,0.1035645426268118,0.0006723992285468654,0.020449237339693446,0.007020347641387091,0.02402670365607858,0.008077696421183283,0.2709527917234682,0.015081250931271287,0.382205863557471,0.024561274218036715,0.16327260436859875,0.03534925741805976,-0.16327260436859875,0.03534925741805976,0.18,0.0,0.18,0.0,1542.4320465664787,16.24997251789374,0.16327260436859875,0.16705541995790865
1000,base5,0.6,constant,exchangeable_varying_sigma,fixed,4,4,0,0.0782590333139755,0.0012598273216327957,0.10484845023202476,0.0013292577617151258,0.025033296065249396,0.009182097634426508,0.02917820734130734,0.010650133411647823,0.07901215032792776,0.0009687855780812462,0.10794313185075471,0.0009076535513815741,0.025327164901508537,0.00978638359528672,0.028953610575395954,0.010921322953564488,0.3006747646152846,0.021003034707751903,0.38991944388998206,0.029953675807937754,0.30504285053657565,0.03008877766657664,-0.30504285053657565,0.03008877766657664,0.18,0.0,0.18,0.0,1525.2572643472522,25.12383946141833,0.30504285053657565,0.30652320500240815
1000,base5,0.6,mixed,exchangeable_varying_sigma,fixed,4,4,0,0.0792554222399139,0.0012912490039811901,0.10691365468515635,0.0015051484548354837,0.024238334310402416,0.00981217999233955,0.028751020493672952,0.010983907742492766,0.08004632494115718,0.0009764948147583265,0.10986702631949338,0.0009722632743702161,0.025513103557683593,0.009782503607898292,0.029161370246584172,0.01119226804099481,0.34124990448036213,0.0187180446018089,0.44341237260146127,0.02683816017248117,0.31218981786093464,0.030504479029497426,-0.31218981786093464,0.030504479029497426,0.18,0.0,0.18,0.0,1071.1648876737745,348.0667608003815,0.31218981786093464,0.31367659398958125
