n_subject,coef_type,rep,seed,success,error_message,elapsed_seconds,covariance_mode,signal_bandwidth_input,signal_bandwidth_method,best_signal_bandwidth,variance_bandwidth_input,variance_bandwidth_method,best_variance_bandwidth,sigma2_true,sigma2_function,rho_true,rho_error,miae_iid,rmise_iid,beta_mae_iid,beta_rmse_iid,miae_final,rmise_final,beta_mae_final,beta_rmse_final,sigma2_miae,sigma2_rmise,rho_abs_error,Sigma_fro_error
1000,base5,0,123,1,,1053.5565023689996,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.0,0.04617406040464783,0.08260926461199948,0.11168879431912983,0.026783878599978078,0.03434121629118176,0.08582037449333317,0.11659823844940018,0.028093254233135953,0.03198868147582693,0.2582700273566753,0.33286370828117773,0.04617406040464783,
1000,base5,0,123,1,,1304.1898644309258,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.3,-0.13877609194092305,0.07798983107995096,0.10416006894124136,0.035778471272450485,0.0371202905315726,0.08112220306863409,0.10924076371219756,0.04391508429448829,0.04505396119883257,0.2959509204076612,0.38136567692541484,0.13877609194092305,
1000,base5,0,123,1,,1328.8347197290277,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.6,-0.29529348265429434,0.07780155377463956,0.1038195655831878,0.035861445348453674,0.03732431106659895,0.07916267522591912,0.10757395783051382,0.04573472463854453,0.04713986846285502,0.30017736293613895,0.38406273917556083,0.29529348265429434,
1000,base5,0,123,1,,1041.295658063027,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.9,-0.45355889599236443,0.0779276448195069,0.1037520493628889,0.03521473959166793,0.036975606171330826,0.07526900923136821,0.10452246615594965,0.045795207251756925,0.047799062884774174,0.30473484207002194,0.3872982766813058,0.45355889599236443,
1000,base6,0,123,1,,1546.3587287809933,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.0,-0.02052992462400903,0.0626956417581999,0.08481252479576594,0.019987873948547064,0.023796867741815466,0.06336928010159519,0.08570255947262191,0.021786441703983347,0.02652541796267891,0.18343970106685992,0.1986608437041073,0.02052992462400903,
1000,base6,0,123,1,,991.526779428008,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.3,-0.1561492645939388,0.060366974040654886,0.08152982041161477,0.015197677961367229,0.02058159753602504,0.06069756620531498,0.0816236450707123,0.01824949447640775,0.022945804253599687,0.23030658973935353,0.24921175497182524,0.1561492645939388,
1000,base6,0,123,1,,1474.945800361922,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.6,-0.2510254041711133,0.06039727565304532,0.08150720667293843,0.014291441110311207,0.02144805272174203,0.057699679654376904,0.07768195645327863,0.021079004473302437,0.024429046186171914,0.24285383731209262,0.26051751300292403,0.2510254041711133,
1000,base6,0,123,1,,1048.3566189700505,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.9,-0.33814888797251974,0.06066928079644477,0.08185401622785834,0.014176374498873573,0.021898577087392446,0.05163122000207186,0.07011533247829825,0.022791974964580436,0.02512981294098559,0.2544758336010931,0.2705644135156021,0.33814888797251974,
2000,base5,0,123,1,,4006.502892324119,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.0,-0.04403101756908593,0.06383038305448244,0.08783679131583362,0.011618351067739466,0.015056841008760154,0.0670938289911718,0.0939223513127419,0.014273826642289836,0.018051934135884684,0.3631897806517712,0.5103469974096108,0.04403101756908593,
2000,base5,0,123,1,,4044.7889277390204,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.3,-0.19295758552205527,0.06481573658437748,0.08749093804366666,0.014233750503437559,0.01641652844468611,0.06764641406052399,0.09302550089434376,0.013624184392799804,0.014856275463697574,0.3543205490059754,0.5053757696357335,0.19295758552205527,
2000,base5,0,123,1,,6932.9743841220625,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.6,-0.3245676949845577,0.06505225507746779,0.0875605179898706,0.015089590710950812,0.017715314338326495,0.06609056640610053,0.091591962438059,0.015786718218194995,0.017170736862706596,0.3513104702213924,0.49813276104004733,0.3245676949845577,
2000,base5,0,123,1,,3828.646425942192,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.9,-0.4517487390911783,0.065365636830646,0.08760591611613602,0.015907754117983813,0.01907353994281461,0.0632149832785765,0.08906285645534548,0.01795304859690594,0.019493360653245802,0.3474209750040062,0.4891624690824067,0.4517487390911783,
2000,base6,0,123,1,,3918.3561673220247,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.0,-0.02234852476818635,0.04594956546796886,0.05816401083482979,0.00585077621140731,0.006527825937653348,0.0466003012292651,0.05895213525511699,0.005816253866581925,0.006439831300559271,0.08219001611886477,0.09567886328763979,0.02234852476818635,
2000,base6,0,123,1,,5769.720059911022,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.3,-0.08173196333191773,0.04504308669678907,0.0578700971678398,0.011857249106619588,0.012312353758666555,0.04511311650979435,0.05779797987990177,0.01236669785193617,0.012834456511478569,0.0945348152504401,0.10793106869463176,0.08173196333191773,
2000,base6,0,123,1,,3794.8769477780443,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.6,-0.15463055962447347,0.04501463834068605,0.057831694553127436,0.013368146152446941,0.013972111498713524,0.0429785100615555,0.055053452291564,0.013841234874724495,0.014661651736653816,0.09505247125623734,0.10891539724652805,0.15463055962447347,
2000,base6,0,123,1,,5357.682287098141,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.9,-0.22854107219709308,0.04506223740199915,0.05767183971935477,0.014780366079698265,0.015609264694631765,0.03861905797918252,0.04969984459351044,0.015409795469752352,0.016792787711331334,0.09517253140079973,0.10913796605799317,0.22854107219709308,
1000,base5,1,124,1,,1081.8213968590135,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.0,-0.015940577726601436,0.07922999266036947,0.1095778005377349,0.027484905101286372,0.02983164557239236,0.08279781191964432,0.11549977763564774,0.028714020154871442,0.03237253382121434,0.2954964502899699,0.37310118756678445,0.015940577726601436,
1000,base5,1,124,1,,1174.1451881570974,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.3,-0.2004133652278011,0.08160442305738225,0.10989490668384247,0.027273923903652575,0.032299145407511665,0.08438521033555414,0.11487274356198042,0.03101708013699067,0.03749038761171845,0.305908356532404,0.3737934217813274,0.2004133652278011,
