n_subject,coef_type,rep,seed,success,error_message,elapsed_seconds,covariance_mode,signal_bandwidth_input,signal_bandwidth_method,best_signal_bandwidth,variance_bandwidth_input,variance_bandwidth_method,best_variance_bandwidth,sigma2_true,rho_true,miae_iid,rmise_iid,beta_mae_iid,beta_rmse_iid,miae_final,rmise_final,beta_mae_final,beta_rmse_final,sigma2_miae,sigma2_rmise,rho_abs_error,Sigma_fro_error
2000,base1,0,147,1,,5572.741601446178,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.03553808433259622,0.04528305868387936,0.020767470031789442,0.02376498069992796,0.031900608993424694,0.04030835761049831,0.019901123693623846,0.022453577646610757,0.1984322509810023,0.2048348628139547,0.13432571326614529,0.42610346745358807
2000,base1,2,149,1,,7272.242863863241,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.03478754846636427,0.04580867465470616,0.010463881328666824,0.011827915001897126,0.030961240495203903,0.04074005670374604,0.010588271077911188,0.011940164160474389,0.19361031854276212,0.21097152839061853,0.1563497557991222,0.43856038488964955
2000,base1,1,148,1,,7290.406477591023,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.03357419604301251,0.0443030187464215,0.020674943087574754,0.0237635507630962,0.02480905635805372,0.03182533192007003,0.023503558967347266,0.02756626860892731,0.20560831601053645,0.21729087277808617,0.19581437952082015,0.5626431977098675
2000,base1,0,147,1,,7526.855792219751,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.035337332213027296,0.04493880790213833,0.01848084472629069,0.02145719055822542,0.034540825533300484,0.04386347029575016,0.017269711595532727,0.020248358546221125,0.19913618710615838,0.20649454533247671,0.06488095995700616,0.3229008637229686
2000,base1,2,149,1,,7961.667107393034,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.03283774119139885,0.04378140487289003,0.0054179805773995615,0.0064381854495728676,0.03295303217850492,0.0440174229283204,0.004533689202106533,0.006100915361557938,0.18776946825530877,0.20895818272343766,0.020571804629581233,0.26659544440108607
2000,base1,1,148,1,,8071.720065112691,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.03630623532346569,0.046811142562835334,0.013964563113780373,0.016286682011861557,0.03640124166441149,0.04700587487192763,0.013874335231417179,0.016304128033009763,0.21467155573906269,0.22199689666632844,0.018092580533633638,0.3042556874485631
2000,base1,0,147,1,,8169.836628876161,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.03573290304494576,0.045717684219320744,0.022950671910020592,0.025898424324390566,0.02586931246270412,0.0322807967280497,0.02259156371137,0.024647181335291476,0.19708129992349877,0.20292779027516628,0.20503222159796897,0.5582172393062987
2000,base1,1,148,1,,8177.985411113128,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.033688132802176717,0.0441367627406639,0.018269921539254858,0.02082062620802748,0.033201101678852374,0.04343605353474871,0.019952282752325218,0.02265819388261185,0.2066384798371518,0.21615751669584382,0.05424080396213343,0.3278094726043944
2000,base1,2,149,1,,8394.787214482203,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.035483461102290365,0.04656899494121533,0.009250253975332523,0.011102637681859966,0.02538539416175634,0.03310928447016763,0.010020737628103793,0.011520384934801805,0.19821883904776857,0.21453392974938842,0.21851455734702163,0.5732750122359084
2000,base1,0,147,1,,8505.965989533812,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.03509223714142606,0.04531938067292931,0.011726717384387075,0.015434588199091995,0.03517422981071696,0.04547562632460851,0.012401736805475572,0.016064774945316065,0.20847564054305615,0.2150484817084183,0.005757708997692807,0.29489951608349196
2000,base1,1,148,1,,8766.630926134065,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.03359528828148676,0.04413904296465109,0.019660118683628686,0.022474199593695482,0.03060598793721252,0.03991142975819648,0.022068368316821435,0.02523421454193203,0.20596920310592515,0.2164361172526133,0.12498771935031122,0.4291260180247828
2000,base1,2,149,1,,8995.467699368019,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.034461998955335575,0.04532738385539873,0.011046401354765645,0.012083034300151774,0.033632952641282604,0.04426760813993189,0.010793021656301083,0.011853598785887967,0.1893284281929741,0.20792490849517573,0.09195748614646121,0.3258741646264082
2000,base2,0,147,1,,7203.087985720951,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.033530308535628224,0.04399636316564849,0.010306302919267735,0.011061836851618585,0.033660136817146476,0.04420600697194603,0.010998179503087735,0.011742001679587118,0.20925824690199937,0.2171895463379353,0.010228329005730223,0.2961568135417645
2000,base2,0,147,1,,6793.060714803636,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.03347066455747487,0.043437544103693916,0.022284290644569826,0.025064289824119842,0.032350158325715805,0.04209400260538893,0.02148182611209748,0.024187245680136887,0.20114354913629817,0.20753393746494278,0.07787162663566438,0.33309924171904026
2000,base2,2,149,1,,7393.387613506056,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.034218491275647224,0.04533084973528021,0.005647144533598686,0.005968665878203746,0.03440936211589654,0.04567182455555253,0.0057993275487701335,0.006024301600191197,0.18509599858798856,0.2107032936734823,0.003932739783512526,0.26180450519747517
2000,base2,1,148,1,,7727.2473223479465,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.03326169132374667,0.043800093924306234,0.019590226108701536,0.023618796834709105,0.02989305051457691,0.039227520053897236,0.021832853489234888,0.026271720278270596,0.2154817777714918,0.23036927709307148,0.12503038068191935,0.44301919889614366
2000,base2,1,148,1,,8700.254748380277,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.033299248755335596,0.0439064394184039,0.011533568426079596,0.013843732202659026,0.03351186419433331,0.044238082509355535,0.01176753940485828,0.014186247835926652,0.21381876450004175,0.2266502484683221,0.01790885565968266,0.3030402592561329
2000,base2,0,147,1,,7747.743470611982,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.03447214829895779,0.04485843446019023,0.02675411782830031,0.02972187233455168,0.023521725685413542,0.030685486084773162,0.026683276512188353,0.028762564537192115,0.1985772204617731,0.20441075737289333,0.2090463092579251,0.5644904357925982
2000,base2,0,147,1,,8235.332644400652,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.03392700242425378,0.04403729889462875,0.024570915950066108,0.027478888123887178,0.029634127205871306,0.03854345130820357,0.02411005416125092,0.026510989967151358,0.20019702463456066,0.20613624457364288,0.1436824644206574,0.4366250389197942
2000,base2,1,148,1,,8511.965888200793,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.03331445481830302,0.0436432828673404,0.018200028964325404,0.021930566918456466,0.03271404356108187,0.042835747000619824,0.019717490366175067,0.023635996608435947,0.2160000647671453,0.22945140523174787,0.05650398532923542,0.34222405054809407
2000,base2,1,148,1,,8343.820859965868,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.033312615895530966,0.04416048134388536,0.02060505051264594,0.024946444932535252,0.02352060839912871,0.031059126566273118,0.02334585729177857,0.028802729859709025,0.21504087305823316,0.23173451693739075,0.1936536264475639,0.5755784632773391
2000,base2,2,149,1,,8120.817888486665,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.03537267578259198,0.04643486883039897,0.008204119554191452,0.010084560121291023,0.025286727584330138,0.0335553994010476,0.008718852602783794,0.010054360995359014,0.20045637363352,0.21953943778006968,0.21743183243805653,0.5756400958708586
2000,base2,2,149,1,,9251.610665667802,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.03487907443037481,0.04578886115463064,0.008199420774726768,0.010232153399183787,0.034247102543960045,0.0450028227659847,0.007981463129403343,0.009822946929917645,0.19019512373828765,0.2137731432497519,0.08724360574822398,0.3239868253426997
2000,base2,2,149,1,,9290.178133192938,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.03505465093942146,0.04602389631205067,0.00835223128275242,0.010296111776195827,0.03147381166862463,0.04142778457142438,0.008430509971617511,0.009943411465474946,0.19509357212882236,0.21626658134323665,0.1531676065953324,0.4377799702242479
2000,base3,0,147,1,,7113.24669573782,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.057186969543624504,0.07147639716815508,0.01689333408447513,0.022232891459466712,0.05921361428976437,0.0739965005789286,0.017142356589019705,0.021598778277678043,0.18490375178906387,0.22481862658775004,0.009650853788431281,0.2097656434658656
2000,base3,1,148,1,,8172.588421037886,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.057019983481502744,0.07097069618426696,0.016667780823347078,0.018418194323812746,0.058967625895916274,0.07356683390707404,0.016358935764060806,0.01808714012756011,0.16121640882957672,0.19424409710671728,0.006009224288486812,0.16147979669190005
2000,base3,0,147,1,,6125.726733228657,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.05748265330148939,0.07162188036474848,0.010111144159223845,0.013132857522396593,0.05769635335599747,0.07202860633816371,0.009831317845176185,0.013174255528623531,0.19029344227775158,0.229405888783302,0.28917106034452483,0.40200816877934803
2000,base3,1,148,1,,7685.402581828646,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.05605464706761401,0.06971200548073836,0.018098141837949056,0.019209935247833182,0.05794932031550764,0.0721956944274048,0.018504869495092002,0.01956501420491878,0.17595533413304776,0.21238050961498448,0.1296109336118995,0.24057536526260306
2000,base3,2,149,1,,9013.998197506182,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.057577844577041765,0.07234247887198766,0.005662171067324695,0.006346925267735349,0.05940143305367933,0.07477010743750961,0.004985251631158205,0.0067340183351308385,0.20127095034987114,0.23268841433576537,0.04321661969638213,0.21195610244253235
2000,base3,0,147,1,,8184.603199266829,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.0572766222594031,0.07137794206764012,0.008179793142178426,0.011241715221603572,0.05884995238256352,0.07346451135961676,0.00841659705036768,0.011736556758816394,0.19024738269117433,0.2293806521909946,0.14883722309024625,0.2731786481879015
2000,base3,2,149,1,,7472.8967054169625,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.05579965305453344,0.07059833195914128,0.00827140752541336,0.009590160812975063,0.05612794906627412,0.07112620866649604,0.006431073624643485,0.00744354967365908,0.20795261934171333,0.24055297891181748,0.2708143281623376,0.3797996903436648
2000,base3,0,147,1,,8008.457982924301,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.057826254661888746,0.07190449377770085,0.01186433028232331,0.014947921926217581,0.055358186702180484,0.06918623487309529,0.011473858864642805,0.01479788957664142,0.19123143597342704,0.23054215559931307,0.43057193405308664,0.5518888420605075
2000,base3,2,149,1,,9176.419585504103,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.055497888566204016,0.07031010920681766,0.008853927551512819,0.010298908888433132,0.05717983548453377,0.07248334010940605,0.007057749213778608,0.008111264244279827,0.21226333848783543,0.24556722229271483,0.1391349261735758,0.2735728994062916
2000,base3,1,148,1,,8823.30182810966,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.05638345837712299,0.07016335133540962,0.02050316338626773,0.02214729876500306,0.05419193502751194,0.06796101678532256,0.021644645033530585,0.024203702961213817,0.17341815768481633,0.21000606927422,0.40402276952652816,0.5138866650376662
2000,base3,2,149,1,,9139.737549366895,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.05648370399335125,0.07112319608928551,0.007045140357429841,0.008316990912266922,0.054226245029188935,0.06867709430984675,0.0051825136558567575,0.00637746990427824,0.2039040463579037,0.23610976140045847,0.40211181794296147,0.5092670289234107
