n_subject,coef_type,rep,seed,success,error_message,elapsed_seconds,covariance_mode,signal_bandwidth_input,signal_bandwidth_method,best_signal_bandwidth,variance_bandwidth_input,variance_bandwidth_method,best_variance_bandwidth,sigma2_true,sigma2_function,a_eval_mode,a_eval_selected_points,rho_true,rho_error,miae_iid,rmise_iid,beta_mae_iid,beta_rmse_iid,miae_final,rmise_final,beta_mae_final,beta_rmse_final,sigma2_miae,sigma2_rmise,rho_abs_error,Sigma_fro_error
2000,base1,0,123,1,,1482.9856466990896,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,500,0.0,-0.02239652358893072,0.037408585165358305,0.050301342485471086,0.023952479806975735,0.02462826543604751,0.037423842939597385,0.05037588304819337,0.022679172019074656,0.02320441908240409,0.2240118352449979,0.28164113676745617,0.02239652358893072,
2000,base1,0,123,1,,1759.1490796279395,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,500,0.3,-0.0509019041684079,0.03602418492318399,0.04924471603660139,0.023621979111694752,0.03256305699028836,0.034753068179747305,0.04760465503921894,0.025793024656028785,0.03275404982045968,0.20260973341057362,0.2505221603610872,0.0509019041684079,
2000,base1,0,123,1,,1403.6209203110775,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,500,0.6,-0.1332364402023667,0.036502881644786316,0.0499305628395208,0.026203335714859846,0.03667202727549999,0.03181022812742935,0.04361965869625991,0.028585788238335047,0.036406254797933295,0.19909355726549557,0.24966368275408365,0.1332364402023667,
2000,base1,0,123,1,,1679.769191156025,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,500,0.9,-0.21617722869395883,0.03709677876039455,0.05084668197598002,0.0289218325169647,0.040792430638733175,0.025349130723519252,0.034557713401901745,0.03052772231000417,0.039787999922598564,0.1994661955547777,0.253471060060169,0.21617722869395883,
5000,base1,0,123,1,,3599.324618332088,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,500,0.0,-0.011753670301640337,0.023556870397775143,0.02999925744482386,0.009055032950668257,0.010623246647716408,0.023507215252296047,0.029942717978435923,0.008365953266004394,0.010034369382891569,0.08387033058874822,0.10837917781586391,0.011753670301640337,
5000,base1,0,123,1,,3438.23784291395,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,500,0.3,-0.03258553385139756,0.02352768734946797,0.030068962543614446,0.005088367455216486,0.005820634873233073,0.02307914253532298,0.029286312746717967,0.0041087046737438015,0.004925312952135286,0.09265330370076633,0.12043384085463694,0.03258553385139756,
5000,base1,0,123,1,,3557.608509048936,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,500,0.6,-0.06790749844806743,0.02337113493125426,0.029981102364673162,0.005699187047043669,0.006703972834297616,0.021237764796176208,0.026575041309940626,0.004743168996269795,0.005731032801208655,0.09313920831554447,0.1225857845222601,0.06790749844806743,
5000,base1,0,123,1,,3016.660822542035,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,500,0.9,-0.10402537449121463,0.023054750466610735,0.029819324146516415,0.006348634294719532,0.007677268053354542,0.017251819021756983,0.020663132198060652,0.005994139201743978,0.007176010112960529,0.09305014693862199,0.12425848644912484,0.10402537449121463,
2000,base1,0,123,1,,2776.4674297550227,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,anchor_grid,500,0.0,-0.027116073426959493,0.03661340910363591,0.04819923401394158,0.022981840365613126,0.023545096890726407,0.036705655709803685,0.04835355445339652,0.02357311980139537,0.024063108650267975,0.21789780418567758,0.2554099691601745,0.027116073426959493,
2000,base1,0,123,1,,2827.8481832650723,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,anchor_grid,500,0.3,-0.04057233960662393,0.03533841967654303,0.04732603697176603,0.025197539866081697,0.033356338581692006,0.03406944232792498,0.045760044269979906,0.025069575676688466,0.03229566213000581,0.19898340715467486,0.2335307746599495,0.04057233960662393,
2000,base1,0,123,1,,2872.108310198062,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,anchor_grid,500,0.6,-0.12120176927448983,0.03585825212761228,0.047972404764231015,0.027205784305875433,0.03729961872710743,0.031142777146501616,0.041857900944036144,0.02779566020119796,0.035951940014076,0.19329782353445524,0.22863479840839535,0.12120176927448983,
2000,base1,0,123,1,,2209.7109614199726,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,anchor_grid,500,0.9,-0.20417102053260483,0.036463759498845554,0.048816778688104884,0.02900902988649541,0.041150177816684876,0.024691410994667543,0.0329707963292098,0.029489009620095902,0.039320467169020996,0.1909935068137729,0.22721075918816594,0.20417102053260483,
5000,base1,0,123,1,,4659.022148953984,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,anchor_grid,500,0.0,-0.013758297792367435,0.023277228052784423,0.029283542288387563,0.008059606731281282,0.009825960077397788,0.023276788615633866,0.029292029744737658,0.009081789462652312,0.010761028995687724,0.05872389543517342,0.07739007487730448,0.013758297792367435,
5000,base1,0,123,1,,6719.720006079064,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,anchor_grid,500,0.3,-0.03233036011661522,0.023031055025972164,0.029214320056802374,0.005078752948838541,0.0055320404317856856,0.02267730873137721,0.02851376637898271,0.003865309715967033,0.005221802058030504,0.06477189433036522,0.0845167352450416,0.03233036011661522,
5000,base1,0,123,1,,6914.855826857034,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,anchor_grid,500,0.6,-0.06646321994637727,0.022883943674871152,0.029150304111602417,0.005656885727217745,0.006322310761545452,0.020885522809256086,0.02593420310513957,0.004475543774407786,0.005987954379304675,0.06563714635120987,0.08570650628085784,0.06646321994637727,
5000,base1,0,123,1,,6572.547600187943,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,anchor_grid,500,0.9,-0.10128572001154379,0.022611107756642965,0.02902729935722333,0.006262640193002336,0.007185955549567376,0.017060263016971767,0.02039566565746859,0.005802423157262912,0.007441361235432533,0.0661138712750083,0.08659714783111284,0.10128572001154379,
2000,base1,0,123,1,,1847.2500892060343,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,anchor_grid,500,0.0,-0.029853839356485574,0.0317481376729898,0.040567023339268586,0.020024891545934786,0.02120521422819558,0.031851603567,0.040742902201894554,0.019386541693671294,0.019514570933712047,0.13169853556824762,0.1364989565133267,0.029853839356485574,
2000,base1,0,123,1,,1689.413991264999,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,anchor_grid,500,0.3,-0.035562177771039705,0.030446571391130196,0.039316564460448865,0.024585449981808213,0.03188386592688724,0.029512382174410875,0.0382460115165182,0.020024756714499076,0.025792827852949386,0.1210706937395442,0.12661153935913205,0.035562177771039705,
2000,base1,0,123,1,,1719.3709570609499,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,anchor_grid,500,0.6,-0.11481184112981951,0.03082129434294975,0.039761581608521265,0.02663162133092377,0.03540402878593835,0.02709402854437392,0.03508835736422261,0.02240593532520127,0.02892643076918206,0.11653924943248296,0.12134723915487235,0.11481184112981951,
2000,base1,0,123,1,,1853.894667946035,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,anchor_grid,500,0.9,-0.19710445423568956,0.03125577263502608,0.040378268685850205,0.028232657651440438,0.038718598374227725,0.021846579666614987,0.028060288786652985,0.02405739541423596,0.03190998751922932,0.11440741075438583,0.11842650729639333,0.19710445423568956,
5000,base1,0,123,1,,4236.174232240999,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,anchor_grid,500,0.0,-0.014574698837883635,0.02077653094712807,0.0256545690322492,0.0072596953973092515,0.008755170601093435,0.020904508164283134,0.025798595752954043,0.007723724287591438,0.008961759031388489,0.02754503088886852,0.035708279214089214,0.014574698837883635,
5000,base1,0,123,1,,4199.975497673964,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,anchor_grid,500,0.3,-0.03298732507662522,0.02056455899701394,0.025558903884967468,0.0035271807884219297,0.004439263000791901,0.020462843523295363,0.025199260216764684,0.004686166686857396,0.005298033688124382,0.032453718803424556,0.04119205263375585,0.03298732507662522,
5000,base1,0,123,1,,4304.214202770032,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,anchor_grid,500,0.6,-0.06933464825045821,0.020419725133600557,0.025493394516716096,0.00423095811582104,0.005201054934693598,0.019110653224260428,0.023283830315716368,0.0052248640223162834,0.005946424573708297,0.033556067551374996,0.04186443637016843,0.06933464825045821,
5000,base1,0,123,1,,4321.9739111009985,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,anchor_grid,500,0.9,-0.10654445733641382,0.02017855645142496,0.025373632957099518,0.005042593195403511,0.006042145253208152,0.016275255013398902,0.01932117832616821,0.0061644381450481345,0.007166045406521236,0.03466440954062942,0.04255838337241932,0.10654445733641382,
2000,base2,0,123,1,,1525.762354761362,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,500,0.0,-0.030171807237507398,0.03629289362580056,0.049185304081896745,0.02437470357121793,0.02513179341379498,0.03631330862689549,0.04927853960728243,0.023198320711614012,0.023897826805772716,0.22597211985828783,0.2895828024409097,0.030171807237507398,
2000,base2,0,123,1,,1198.039555002004,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,500,0.3,-0.06310073215821302,0.03601228051672596,0.04907288300629105,0.023029654483502957,0.030199146673692452,0.034914672941218236,0.04740607158462268,0.023889426540580072,0.030361244721724148,0.20164952165290306,0.25275668593705714,0.06310073215821302,
