task_id,image_type,S,R,bandwidth_config,run_name
1,cfp,2x2x1,1,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
2,cfp,2x2x1,2,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
3,cfp,2x2x1,3,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
4,cfp,2x2x1,4,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
5,cfp,3x3x1,1,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
6,cfp,3x3x1,2,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
7,cfp,3x3x1,3,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
8,cfp,3x3x1,4,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
9,cfp,4x4x1,1,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
10,cfp,4x4x1,2,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
11,cfp,4x4x1,3,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
12,cfp,4x4x1,4,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
13,cfp,6x6x1,1,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
14,cfp,6x6x1,2,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
15,cfp,6x6x1,3,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
16,cfp,6x6x1,4,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
17,cfp,8x8x1,1,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
18,cfp,8x8x1,2,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
19,cfp,8x8x1,3,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
20,cfp,8x8x1,4,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
21,roi,2x2x1,1,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
22,roi,2x2x1,2,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
23,roi,2x2x1,3,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
24,roi,2x2x1,4,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
25,roi,3x3x1,1,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
26,roi,3x3x1,2,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
27,roi,3x3x1,3,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
28,roi,3x3x1,4,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
29,roi,4x4x1,1,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
30,roi,4x4x1,2,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
31,roi,4x4x1,3,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
32,roi,4x4x1,4,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
33,roi,6x6x1,1,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
34,roi,6x6x1,2,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
35,roi,6x6x1,3,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
36,roi,6x6x1,4,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
37,roi,8x8x1,1,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
38,roi,8x8x1,2,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
39,roi,8x8x1,3,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
40,roi,8x8x1,4,configs/bandwidth_grids/v4_x_only_patient_grouped.json,v4_x_only_patient_grouped
