task_id,image_type,S,R,bandwidth_config,run_name
1,cfp,2x3x1,1,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
2,cfp,2x3x1,2,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
3,cfp,2x3x1,3,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
4,cfp,2x4x1,1,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
5,cfp,2x4x1,2,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
6,cfp,2x4x1,3,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
7,cfp,2x6x1,1,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
8,cfp,2x6x1,2,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
9,cfp,2x6x1,3,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
10,cfp,3x2x1,1,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
11,cfp,3x2x1,2,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
12,cfp,3x2x1,3,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
13,cfp,3x4x1,1,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
14,cfp,3x4x1,2,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
15,cfp,3x4x1,3,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
16,cfp,3x6x1,1,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
17,cfp,3x6x1,2,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
18,cfp,3x6x1,3,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
19,cfp,4x2x1,1,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
20,cfp,4x2x1,2,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
21,cfp,4x2x1,3,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
22,cfp,4x3x1,1,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
23,cfp,4x3x1,2,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
24,cfp,4x3x1,3,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
25,cfp,4x6x1,1,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
26,cfp,4x6x1,2,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
27,cfp,4x6x1,3,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
28,cfp,6x2x1,1,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
29,cfp,6x2x1,2,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
30,cfp,6x2x1,3,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
31,cfp,6x3x1,1,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
32,cfp,6x3x1,2,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
33,cfp,6x3x1,3,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
34,cfp,6x4x1,1,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
35,cfp,6x4x1,2,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
36,cfp,6x4x1,3,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
37,roi,2x3x1,1,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
38,roi,2x3x1,2,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
39,roi,2x3x1,3,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
40,roi,2x4x1,1,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
41,roi,2x4x1,2,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
42,roi,2x4x1,3,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
43,roi,2x6x1,1,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
44,roi,2x6x1,2,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
45,roi,2x6x1,3,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
46,roi,3x2x1,1,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
47,roi,3x2x1,2,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
48,roi,3x2x1,3,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
49,roi,3x4x1,1,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
50,roi,3x4x1,2,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
51,roi,3x4x1,3,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
52,roi,3x6x1,1,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
53,roi,3x6x1,2,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
54,roi,3x6x1,3,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
55,roi,4x2x1,1,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
56,roi,4x2x1,2,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
57,roi,4x2x1,3,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
58,roi,4x3x1,1,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
59,roi,4x3x1,2,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
60,roi,4x3x1,3,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
61,roi,4x6x1,1,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
62,roi,4x6x1,2,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
63,roi,4x6x1,3,configs/bandwidth_grids/v5_x_only_rectangles_stage1.json,v5_x_only_rectangles_stage1
