R,S,X_shape,Z_shape,a_eval_mode,a_eval_num_points,bandwidth_config,best_signal_h,best_variance_h,beta_hat_shape,elapsed_seconds,eligible_signal_h,feature_dir,finished_at_utc,image_type,n_pairs,output_dir,p0,rho_hat,ridge,run_name,sigma2_hat_mean,signal_cv_score,started_at_utc,status,t_shape,task_id,variance_cv_score,variance_h_candidates,y_shape,result_json
1,2x2x1,"[273, 2, 1, 4]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v2_wide_h_top_candidates.json,1.0,0.4,[60],1.8473959589900915,"[0.45, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",src/experiments/grape/data/features/cfp_192_iop_le35/S2x2x1_R1,2026-06-17T07:41:59.700549+00:00,cfp,273,src/experiments/grape/runs/cv_bandwidth/v2_wide_h_top_candidates/task_0001,60,0.7357810054362836,0.0,v2_wide_h_top_candidates,0.6794680595239704,1.2166990781231575,2026-06-17T07:41:57.852930+00:00,success,[273],1,0.84989251743461,"[0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]","[273, 2]",/Users/lin/Desktop/Research/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v2_wide_h_top_candidates/task_0001/result.json
2,2x2x1,"[273, 2, 2, 4]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v2_wide_h_top_candidates.json,0.9,0.4,[60],2.030766500014579,"[0.45, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",src/experiments/grape/data/features/cfp_192_iop_le35/S2x2x1_R2,2026-06-17T07:41:59.884636+00:00,cfp,273,src/experiments/grape/runs/cv_bandwidth/v2_wide_h_top_candidates/task_0002,60,0.7165752077353542,0.0,v2_wide_h_top_candidates,0.6506805675193993,1.2296522703581547,2026-06-17T07:41:57.853847+00:00,success,[273],2,0.7256138752234224,"[0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]","[273, 2]",/Users/lin/Desktop/Research/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v2_wide_h_top_candidates/task_0002/result.json
1,4x4x1,"[273, 2, 1, 16]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v2_wide_h_top_candidates.json,0.9,0.4,[60],2.3844296250026673,"[0.45, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",src/experiments/grape/data/features/cfp_192_iop_le35/S4x4x1_R1,2026-06-17T07:42:00.238893+00:00,cfp,273,src/experiments/grape/runs/cv_bandwidth/v2_wide_h_top_candidates/task_0003,60,0.6680595517722113,0.0,v2_wide_h_top_candidates,0.6186559918725161,1.2451947611760183,2026-06-17T07:41:57.854334+00:00,success,[273],3,0.6768915120892279,"[0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]","[273, 2]",/Users/lin/Desktop/Research/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v2_wide_h_top_candidates/task_0003/result.json
3,2x2x1,"[273, 2, 3, 4]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v2_wide_h_top_candidates.json,1.0,0.4,[60],2.174150415987242,"[0.45, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",src/experiments/grape/data/features/cfp_192_iop_le35/S2x2x1_R3,2026-06-17T07:42:00.027151+00:00,cfp,273,src/experiments/grape/runs/cv_bandwidth/v2_wide_h_top_candidates/task_0004,60,0.6480658761518886,0.0,v2_wide_h_top_candidates,0.6137579217126936,1.2648683036310397,2026-06-17T07:41:57.849812+00:00,success,[273],4,0.6540273667249223,"[0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]","[273, 2]",/Users/lin/Desktop/Research/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v2_wide_h_top_candidates/task_0004/result.json
1,3x3x1,"[273, 2, 1, 9]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v2_wide_h_top_candidates.json,0.9,0.9,[60],2.1343392499838956,"[0.45, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",src/experiments/grape/data/features/cfp_192_iop_le35/S3x3x1_R1,2026-06-17T07:41:59.983026+00:00,cfp,273,src/experiments/grape/runs/cv_bandwidth/v2_wide_h_top_candidates/task_0005,60,0.6920767392784452,0.0,v2_wide_h_top_candidates,0.6438337204066678,1.3060646406243508,2026-06-17T07:41:57.848629+00:00,success,[273],5,0.7184540038673919,"[0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]","[273, 2]",/Users/lin/Desktop/Research/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v2_wide_h_top_candidates/task_0005/result.json
1,3x3x1,"[273, 2, 1, 9]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v2_wide_h_top_candidates.json,0.6,0.4,[60],2.098984958982328,"[0.45, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",src/experiments/grape/data/features/roi_192_iop_le35/S3x3x1_R1,2026-06-17T07:41:59.952380+00:00,roi,273,src/experiments/grape/runs/cv_bandwidth/v2_wide_h_top_candidates/task_0006,60,0.6385324156564354,0.0,v2_wide_h_top_candidates,0.5900325683163965,1.215260423430713,2026-06-17T07:41:57.853356+00:00,success,[273],6,0.7081633024375404,"[0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]","[273, 2]",/Users/lin/Desktop/Research/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v2_wide_h_top_candidates/task_0006/result.json
1,2x2x1,"[273, 2, 1, 4]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v2_wide_h_top_candidates.json,0.8,0.4,[60],1.5724182919948362,"[0.45, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",src/experiments/grape/data/features/roi_192_iop_le35/S2x2x1_R1,2026-06-17T07:42:01.851337+00:00,roi,273,src/experiments/grape/runs/cv_bandwidth/v2_wide_h_top_candidates/task_0007,60,0.7257365324231759,0.0,v2_wide_h_top_candidates,0.6673782091512648,1.2078341661291714,2026-06-17T07:42:00.278874+00:00,success,[273],7,0.8441257141699682,"[0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]","[273, 2]",/Users/lin/Desktop/Research/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v2_wide_h_top_candidates/task_0007/result.json
2,2x2x1,"[273, 2, 2, 4]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v2_wide_h_top_candidates.json,1.0,0.5,[60],1.7336917920038104,"[0.45, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",src/experiments/grape/data/features/roi_192_iop_le35/S2x2x1_R2,2026-06-17T07:42:02.146146+00:00,roi,273,src/experiments/grape/runs/cv_bandwidth/v2_wide_h_top_candidates/task_0008,60,0.672960045258143,0.0,v2_wide_h_top_candidates,0.6163923883741657,1.2198807766747628,2026-06-17T07:42:00.412379+00:00,success,[273],8,0.7393004489207973,"[0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]","[273, 2]",/Users/lin/Desktop/Research/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v2_wide_h_top_candidates/task_0008/result.json
4,2x2x1,"[273, 2, 4, 4]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v2_wide_h_top_candidates.json,1.0,0.4,[60],1.9793400000198744,"[0.45, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",src/experiments/grape/data/features/roi_192_iop_le35/S2x2x1_R4,2026-06-17T07:42:02.464782+00:00,roi,273,src/experiments/grape/runs/cv_bandwidth/v2_wide_h_top_candidates/task_0009,60,0.5812831079756154,0.0,v2_wide_h_top_candidates,0.5700300333490116,1.2446323682662972,2026-06-17T07:42:00.485362+00:00,success,[273],9,0.6090298503133325,"[0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]","[273, 2]",/Users/lin/Desktop/Research/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v2_wide_h_top_candidates/task_0009/result.json
3,2x2x1,"[273, 2, 3, 4]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v2_wide_h_top_candidates.json,1.0,0.4,[60],1.8148254160187207,"[0.45, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",src/experiments/grape/data/features/roi_192_iop_le35/S2x2x1_R3,2026-06-17T07:42:02.352706+00:00,roi,273,src/experiments/grape/runs/cv_bandwidth/v2_wide_h_top_candidates/task_0010,60,0.6458616502715963,0.0,v2_wide_h_top_candidates,0.5993790257112162,1.2473013971449043,2026-06-17T07:42:00.537787+00:00,success,[273],10,0.714055715824952,"[0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]","[273, 2]",/Users/lin/Desktop/Research/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v2_wide_h_top_candidates/task_0010/result.json
