task_id,image_type,S,R,bandwidth_config,run_name
1,cfp,2x2x1,1,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
2,cfp,2x2x1,2,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
3,cfp,2x2x1,3,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
4,cfp,2x2x1,4,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
5,cfp,3x3x1,1,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
6,cfp,3x3x1,2,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
7,cfp,3x3x1,3,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
8,cfp,3x3x1,4,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
9,cfp,4x4x1,1,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
10,cfp,4x4x1,2,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
11,cfp,4x4x1,3,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
12,cfp,4x4x1,4,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
13,cfp,6x6x1,1,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
14,cfp,6x6x1,2,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
15,cfp,6x6x1,3,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
16,cfp,6x6x1,4,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
17,cfp,8x8x1,1,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
18,cfp,8x8x1,2,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
19,cfp,8x8x1,3,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
20,cfp,8x8x1,4,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
21,roi,2x2x1,1,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
22,roi,2x2x1,2,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
23,roi,2x2x1,3,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
24,roi,2x2x1,4,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
25,roi,3x3x1,1,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
26,roi,3x3x1,2,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
27,roi,3x3x1,3,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
28,roi,3x3x1,4,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
29,roi,4x4x1,1,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
30,roi,4x4x1,2,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
31,roi,4x4x1,3,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
32,roi,4x4x1,4,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
33,roi,6x6x1,1,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
34,roi,6x6x1,2,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
35,roi,6x6x1,3,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
36,roi,6x6x1,4,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
37,roi,8x8x1,1,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
38,roi,8x8x1,2,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
39,roi,8x8x1,3,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
40,roi,8x8x1,4,configs/bandwidth_grids/v1_adaptive_support.json,v1_adaptive_support
