image_type,rank,block,block_row,block_col,t,age,A_hat,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower_pointwise,ci_upper_pointwise,confidence_level,ci_method,n_success,local_support_pairs,support_ok
roi,1,1,1,1,0.0,18.0,-0.5043659258622115,-0.4099462018009197,0.09441972406129184,0.5063357122304609,-1.3181558022986182,0.5719832631296577,0.95,percentile,500,269,True
roi,1,2,2,1,0.0,18.0,0.8594922751458988,0.8140576507134091,-0.04543462443248969,0.4994907829781357,-0.03987971024071078,1.8157425233894768,0.95,percentile,500,269,True
roi,1,3,3,1,0.0,18.0,-0.3472559835947982,-0.31668520014411095,0.030570783450687256,0.4114615679400986,-1.104315560733198,0.5198128140624299,0.95,percentile,500,269,True
roi,1,4,4,1,0.0,18.0,-0.2011563602563598,-0.16676815261338146,0.03438820764297834,0.39065132745887177,-0.9559152370253663,0.6528326128372609,0.95,percentile,500,269,True
roi,1,5,5,1,0.0,18.0,0.38047254298931776,0.3349704894567335,-0.04550205353258424,0.31282620330922317,-0.3810766766510335,0.8304601408591243,0.95,percentile,500,269,True
roi,1,6,6,1,0.0,18.0,-0.002809364606963496,0.05758412818714632,0.06039349279410981,0.28318059545631624,-0.5536627196501557,0.601780874533381,0.95,percentile,500,269,True
roi,1,7,1,2,0.0,18.0,-0.007875066813082572,0.07531884071481451,0.08319390752789708,0.32508437275540614,-0.5444496088766838,0.7229743208070295,0.95,percentile,500,269,True
roi,1,8,2,2,0.0,18.0,0.12286535263282598,0.04665745766251732,-0.07620789497030866,0.4373897569540642,-0.9340756267012191,0.8984366358840451,0.95,percentile,500,269,True
roi,1,9,3,2,0.0,18.0,0.6745938387003084,0.7612132125699334,0.08661937386962493,0.46703617000035813,-0.022923763136414452,1.8499290227808292,0.95,percentile,500,269,True
roi,1,10,4,2,0.0,18.0,-0.7939992382274098,-0.8660480582960486,-0.07204882006863877,0.49218134063113594,-1.911883341602477,0.006500340671434588,0.95,percentile,500,269,True
roi,1,11,5,2,0.0,18.0,-0.16155016971342298,-0.1458546262584116,0.015695543455011368,0.4185379302596451,-0.8724869671849106,0.6912467580613919,0.95,percentile,500,269,True
roi,1,12,6,2,0.0,18.0,0.2873241972148629,0.26658105937143006,-0.020743137843432846,0.24127475569994838,-0.25948944763081894,0.7189868197014511,0.95,percentile,500,269,True
roi,1,1,1,1,0.01,18.61,-0.4826348820090563,-0.38998291026204723,0.09265197174700907,0.495099551229565,-1.281104614092399,0.5775190879615447,0.95,percentile,500,269,True
roi,1,2,2,1,0.01,18.61,0.8283414924749454,0.7820972639311549,-0.04624422854379051,0.48791671211285886,-0.062300248707193764,1.7568878590559547,0.95,percentile,500,269,True
roi,1,3,3,1,0.01,18.61,-0.32714663611086886,-0.2961292663256452,0.03101736978522368,0.400541069120053,-1.07178795027896,0.5118780339256206,0.95,percentile,500,269,True
roi,1,4,4,1,0.01,18.61,-0.18381906795903774,-0.15060906578817157,0.03321000217086617,0.38020561783154844,-0.9155264378089271,0.6484131438776288,0.95,percentile,500,269,True
roi,1,5,5,1,0.01,18.61,0.35715365898509255,0.3141528331190622,-0.04300082586603032,0.30364634518633404,-0.3890333447598057,0.7924564257485739,0.95,percentile,500,269,True
roi,1,6,6,1,0.01,18.61,0.020983283596381703,0.07972595827787962,0.05874267468149792,0.2771504850332722,-0.5190531686456348,0.6240395225806409,0.95,percentile,500,269,True
roi,1,7,1,2,0.01,18.61,-0.004883174435493418,0.07617458959892122,0.08105776403441464,0.3182413520821548,-0.5285461690210325,0.7163516586680176,0.95,percentile,500,269,True
roi,1,8,2,2,0.01,18.61,0.10528654748583889,0.03151449653164678,-0.07377205095419212,0.42830163392307047,-0.9251484201579497,0.8615767541851685,0.95,percentile,500,269,True
roi,1,9,3,2,0.01,18.61,0.6874437559689445,0.7709199630292911,0.08347620706034664,0.45918305037449414,0.012199032123257545,1.8300847344274591,0.95,percentile,500,269,True
roi,1,10,4,2,0.01,18.61,-0.8180039442992812,-0.8872158392361091,-0.06921189493682789,0.4820094735115782,-1.9073220983000043,-0.03495974224117782,0.95,percentile,500,269,True
roi,1,11,5,2,0.01,18.61,-0.19051311336979934,-0.1741996271173751,0.016313486252424236,0.408375642560989,-0.8870054607895742,0.6508925798480244,0.95,percentile,500,269,True
roi,1,12,6,2,0.01,18.61,0.2992165629620362,0.2791433957915392,-0.02007316717049701,0.2361697475230849,-0.2246515992570804,0.7180286684336449,0.95,percentile,500,269,True
roi,1,1,1,1,0.02,19.22,-0.46218971092931566,-0.371205100511372,0.09098461041794365,0.4841965703637666,-1.2462956650943073,0.5816121233429015,0.95,percentile,500,269,True
roi,1,2,2,1,0.02,19.22,0.7989591675370814,0.7521741895358519,-0.046784978001229494,0.4768811321207399,-0.08183456770409717,1.6966741847256768,0.95,percentile,500,269,True
roi,1,3,3,1,0.02,19.22,-0.30848326153877864,-0.2772223666452895,0.031260894893489155,0.39008675801350184,-1.0394621378117574,0.5034160033233656,0.95,percentile,500,269,True
roi,1,4,4,1,0.02,19.22,-0.1675493419911275,-0.13553415689802265,0.03201518509310486,0.3702156201102916,-0.8871325930799503,0.6426760312699548,0.95,percentile,500,269,True
roi,1,5,5,1,0.02,19.22,0.33446171560608107,0.29379357790678134,-0.04066813769929972,0.295066356093992,-0.38361205698354556,0.7596517914630294,0.95,percentile,500,269,True
roi,1,6,6,1,0.02,19.22,0.04314422971699299,0.10034148870901045,0.05719725899201746,0.2713637233933662,-0.48635146313952216,0.6424179945564309,0.95,percentile,500,269,True
roi,1,7,1,2,0.02,19.22,-0.0016464732939906678,0.07753635911507722,0.0791828324090679,0.31183192803373533,-0.5135587326977674,0.6960772219177436,0.95,percentile,500,269,True
