image_type,rank,block,block_row,block_col,t,age,A_hat,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower_pointwise,ci_upper_pointwise,confidence_level,ci_method,n_success,local_support_pairs,support_ok
roi,1,1,1,1,0.0,18.0,-0.5628127476186092,-0.5060492005598484,0.056763547058760855,0.46444427637254876,-1.3891608777101885,0.42593744259525107,0.95,percentile,500,269,True
roi,1,2,2,1,0.0,18.0,0.8569691517635443,0.8287291696251518,-0.028239982138392516,0.42405793443236683,-0.029609134313376972,1.6417697854269169,0.95,percentile,500,269,True
roi,1,3,3,1,0.0,18.0,-0.40385776229049164,-0.4025333137752921,0.0013244485151995278,0.34899821565836164,-1.0347953216199144,0.24472032750908124,0.95,percentile,500,269,True
roi,1,4,4,1,0.0,18.0,-0.25551500001002414,-0.2446948663770616,0.010820133632962553,0.3351975967652112,-0.8951599871944396,0.43007154913165596,0.95,percentile,500,269,True
roi,1,5,5,1,0.0,18.0,0.37058001711565036,0.33344366694843264,-0.037136350167217724,0.258343414312611,-0.20444406247487484,0.7987400461940527,0.95,percentile,500,269,True
roi,1,6,6,1,0.0,18.0,-0.001976795932060209,0.06351971466954034,0.06549651060160055,0.21384801109133228,-0.3559632101085753,0.5123654367970786,0.95,percentile,500,269,True
roi,1,7,1,2,0.0,18.0,-0.11143650766611678,-0.031897243179133374,0.0795392644869834,0.324253040586608,-0.6952459980636162,0.5625062135055711,0.95,percentile,500,269,True
roi,1,8,2,2,0.0,18.0,0.24060669301831356,0.174643694649746,-0.06596299836856756,0.34010109520880505,-0.45756860987490117,0.7888973272521393,0.95,percentile,500,269,True
roi,1,9,3,2,0.0,18.0,0.5708698412656308,0.5892764256605783,0.018406584394947467,0.3486017008914567,-0.029210990907832635,1.3489477549868567,0.95,percentile,500,269,True
roi,1,10,4,2,0.0,18.0,-0.7908250405036094,-0.8169995380266608,-0.026174497523051454,0.38140426192402066,-1.669110907171357,-0.16269011344946063,0.95,percentile,500,269,True
roi,1,11,5,2,0.0,18.0,-0.24424430313573217,-0.26658602172887985,-0.02234171859314768,0.32299230550424923,-0.905402630917734,0.3550822564581982,0.95,percentile,500,269,True
roi,1,12,6,2,0.0,18.0,0.30772231545360124,0.34100877304786154,0.0332864575942603,0.22745887838359202,-0.0984981914531968,0.7877325257464158,0.95,percentile,500,269,True
roi,1,1,1,1,0.01,18.61,-0.5423061053063419,-0.4877470786840447,0.054559026622297224,0.4537665305905595,-1.3515167046063363,0.41343128810545543,0.95,percentile,500,269,True
roi,1,2,2,1,0.01,18.61,0.8271333423027246,0.8002264917821518,-0.026906850520572845,0.41264067841606406,-0.03633322725962849,1.590158548129466,0.95,percentile,500,269,True
