image_type,t,age,sigma2_hat_std,sigma2_bootstrap_mean_std,sigma2_bootstrap_se_std,sigma2_ci_lower_pointwise_std,sigma2_ci_upper_pointwise_std,sigma_hat_std,sigma_bootstrap_mean_std,sigma_bootstrap_se_std,sigma_ci_lower_pointwise_std,sigma_ci_upper_pointwise_std,sigma_hat_iop,sigma_bootstrap_mean_iop,sigma_bootstrap_se_iop,sigma_ci_lower_pointwise_iop,sigma_ci_upper_pointwise_iop,local_support_pairs,variance_support_pairs,min_variance_support_pairs,support_ok,confidence_level,ci_method,n_success
roi,0.0,18.0,0.7528615708683063,0.6854457280205731,0.09189850095855807,0.5237457029032212,0.8695394799079174,0.8676759596003027,0.8260570353669405,0.05551275234303839,0.7237005899987508,0.93249077777682,3.6259584795002766,3.452035842181668,0.23198399454487856,3.0242952589514247,3.896815170830842,269,134,30,True,0.95,percentile,500
roi,0.01,18.61,0.7520178041971877,0.685542975033859,0.08922830503965132,0.5255011745525104,0.8667427922480839,0.8671896010661034,0.8262225633725936,0.0538986171412453,0.7249136581253496,0.9309900143185604,3.6239260204565,3.452727572393911,0.22523863395577381,3.0293645876693467,3.89054358300247,269,136,30,True,0.95,percentile,500
roi,0.02,19.22,0.752029075034806,0.6863857585727104,0.08681866523130023,0.5268419509259097,0.8668270644892049,0.867196099526979,0.8268273544295328,0.052419272219014434,0.7258387900232028,0.9310350107812394,3.6239531770799545,3.4552549528485277,0.2190565527242739,3.0332306505843807,3.8907316201419033,269,138,30,True,0.95,percentile,500
roi,0.03,19.83,0.7520566703178769,0.6871729111594964,0.08475411663123787,0.5285833392577837,0.8666350250143502,0.8672120100170874,0.8273823366540807,0.05115284331382579,0.7270371023444901,0.9309316909695768,3.624019665929718,3.4575741855998863,0.21376423296291006,3.038238315801316,3.8902998537168307,269,139,30,True,0.95,percentile,500
roi,0.04,20.44,0.7520376929136753,0.6878649287165305,0.08295154872788,0.5321311299630088,0.862944480341565,0.8672010683305662,0.8278677766234064,0.0500488052901496,0.7294731841577122,0.9289480503395169,3.623973941370241,3.459602806023893,0.20915053358660893,3.0484185350521504,3.882010355219995,269,140,30,True,0.95,percentile,500
roi,0.05,21.05,0.7512972501915284,0.6878947354004747,0.08129034859543229,0.5348494895128364,0.8614938557119755,0.8667740479453272,0.827945183847493,0.04905426164347533,0.7313340190846336,0.9281669322833173,3.622189452391787,3.459926285518105,0.2049944037215463,3.056194836916419,3.8787461162975836,269,143,30,True,0.95,percentile,500
roi,0.06,21.66,0.7497779513869113,0.6872277714260918,0.0797412360736403,0.5385359641367461,0.855890838255212,0.8658971944676292,0.8275952010614027,0.04815175790983459,0.73384898968161,0.9251426237077925,3.618525141691969,3.458463731396532,0.20122290235681706,3.0667047269979664,3.8661077376462947,270,145,30,True,0.95,percentile,500
roi,0.07,22.27,0.7492954363840487,0.6876072134162708,0.07831863545116785,0.5396859799204828,0.8502865220193777,0.8656185282120806,0.8278743282160071,0.04728405291940286,0.7346331923655298,0.9221083761189227,3.6173606144729336,3.4596301846811928,0.19759682255945818,3.0699818563686083,3.853427824538141,271,147,30,True,0.95,percentile,500
roi,0.08,22.88,0.7484416087445733,0.6876102664467565,0.0770320874745787,0.5433410905757421,0.8443274967317409,0.8651251983063337,0.8279198525269623,0.04651140570021314,0.7371164825542557,0.9188712653113591,3.615299022544354,3.4598204276624633,0.19436798268544137,3.080359356191259,3.8399001599164606,271,150,30,True,0.95,percentile,500
roi,0.09,23.490000000000002,0.7468964938255289,0.6869787109906101,0.07582306805633206,0.5474455759496614,0.838845082298108,0.8642317361827955,0.8275776675880587,0.04580514515603402,0.7398956236123645,0.9158840902929926,3.6115653054497283,3.4583904602108513,0.19141656818493766,3.0919731965585995,3.8274169598603165,272,153,30,True,0.95,percentile,500
roi,0.1,24.1,0.745523142379772,0.6865415346995707,0.0746192065184526,0.5499169352464989,0.8347394542450809,0.8634368201436466,0.8273525898926155,0.04509205344758915,0.7415635116521085,0.9136407602997216,3.6082434057004598,3.457449875918629,0.18843660671627133,3.0989431865803962,3.81804223727936,272,157,30,True,0.95,percentile,500
roi,0.11,24.71,0.7441055092741535,0.686065378205756,0.07343818714511512,0.5494303379420398,0.8315162237651214,0.8626155048885648,0.8271025843766753,0.0443918279862964,0.7412355898156472,0.9118750936000535,3.6048111854337153,3.4564051199698036,0.185510412414304,3.0975728236581848,3.8106636369265483,272,162,30,True,0.95,percentile,500
roi,0.12,25.32,0.74362044012169,0.686449429739725,0.07229111323820453,0.5511907522192503,0.8310183329538259,0.8623342971966789,0.8273723002094512,0.043684359126736585,0.7424221677533319,0.9116018899034591,3.6036360377260803,3.457532243984349,0.18255394844648243,3.1025314516887663,3.8095219373677023,272,165,30,True,0.95,percentile,500
roi,0.13,25.93,0.7441972149473064,0.6877481455133113,0.07124370109763282,0.5536824385437272,0.8308359957869399,0.8626686588414502,0.8281920483364053,0.04300902391285135,0.7440984033008042,0.9115012251991204,3.605033312166687,3.460957915329851,0.17973176878574787,3.1095363253743264,3.8091012664545056,272,170,30,True,0.95,percentile,500
roi,0.14,26.54,0.7446365199777728,0.6889038122897755,0.0702034335010941,0.5580293851634408,0.8293553710024397,0.8629232410694319,0.8289234935358125,0.04234667207030547,0.7470134051408921,0.9106888483673622,3.6060971938820514,3.46401457478173,0.17696384574567864,3.121717918655641,3.8057063992473745,272,171,30,True,0.95,percentile,500
roi,0.15,27.15,0.7444823257579298,0.689526737768418,0.06918201662712732,0.5600081475755934,0.8242795329269671,0.8628338923326608,0.8293311747953933,0.041713550814490505,0.7483368329748903,0.9078983923409112,3.605723811623222,3.465718246877003,0.17431807532796226,3.1272484330413377,3.794045274401362,272,177,30,True,0.95,percentile,500
roi,0.16,27.759999999999998,0.7440001480152023,0.6898444075378823,0.06817245159397402,0.561921889412268,0.8228551114148711,0.8625544319144168,0.829553377447379,0.04109719531129259,0.7496144861152254,0.9071131456343925,3.6045559656526094,3.466646816559291,0.17174236784352692,3.132587658113555,3.790763782131699,273,184,30,True,0.95,percentile,500
roi,0.17,28.37,0.7442499031876312,0.6907565964351728,0.06715407556828092,0.5636145430746645,0.822508928015072,0.862699196236806,0.8301343956401113,0.04045683033358882,0.750742508527577,0.90692223401231,3.6051609258528874,3.4690748518406327,0.1690663264075632,3.137301586609415,3.7899659755228305,273,185,30,True,0.95,percentile,500
roi,0.18,28.98,0.7444408515402703,0.6916485699114416,0.06621362242541193,0.5652319204924167,0.8241753835183706,0.86280985827717,0.8307000611460509,0.039864227531243704,0.7518183503264302,0.9078410357990614,3.605623374949439,3.471438729294109,0.16658987983512533,3.141797455891018,3.793805585336598,273,188,30,True,0.95,percentile,500
roi,0.19,29.59,0.7443298428626957,0.6922742280083776,0.06538066069391543,0.567765230995583,0.8247077732139719,0.8627455261331094,0.8311012715381867,0.0393446369522125,0.7535013528167969,0.9081342197975047,3.6053545353202203,3.4731153600769864,0.16441854634932201,3.1488306081680233,3.7950307812100657,273,189,30,True,0.95,percentile,500
roi,0.2,30.200000000000003,0.7445194532450904,0.6931784588418513,0.06462471229698694,0.5701712155479955,0.8255584015865506,0.8628554069165298,0.8316676833626265,0.03886314423784961,0.7550963610556866,0.9086022342521027,3.6058137195974487,3.475482356344421,0.16240642123378238,3.155496038487585,3.796986581600064,273,193,30,True,0.95,percentile,500
roi,0.21,30.81,0.7441823261594044,0.6936150947257945,0.06388180800025257,0.5722366216759266,0.8230584560251956,0.8626600293043629,0.8319514251560151,0.03840404468239562,0.7564630844913796,0.9072256743610789,3.6049972499215253,3.476668093888884,0.16048787559745975,3.161207482231014,3.7912340319826963,273,197,30,True,0.95,percentile,500
roi,0.22,31.42,0.7437999226853528,0.6940273496065736,0.06322363289626307,0.5745013947136752,0.8205136544724371,0.8624383587743258,0.8322178368934604,0.037996170608445054,0.7579586995181311,0.9058220853563145,3.6040709039404595,3.4777814103150684,0.15878339774412537,3.167457555116306,3.7853685295480046,273,197,30,True,0.95,percentile,500
roi,0.23,32.03,0.743266666630535,0.6943331970439747,0.0626905754970445,0.5765497553126734,0.8199997203509722,0.8621291473036595,0.8324164829779206,0.037667407367627095,0.7593086714977254,0.9055383433831435,3.6027787303569734,3.4786115387131162,0.15740951865066632,3.1730989956706264,3.7841827912522437,273,200,30,True,0.95,percentile,500
roi,0.24,32.64,0.7425272038189368,0.6944838818115825,0.06229019581998512,0.5775173443629972,0.8193039704969288,0.8617001820928999,0.83251796814476,0.03742346267813583,0.7599456179587728,0.9051540896947563,3.600986114085709,3.479035638282977,0.15639009048096417,3.1757607513593356,3.7825770213743635,273,200,30,True,0.95,percentile,500
roi,0.25,33.25,0.7441386664842824,0.6969120051758321,0.06199405807180957,0.5828783076691979,0.8217410691179483,0.8626347236717766,0.833985769268191,0.03718207696823358,0.7634646630805151,0.9064993463748358,3.604891499414046,3.4851694787689764,0.1553813561119107,3.190466600193506,3.7881987570145736,273,207,30,True,0.95,percentile,500
roi,0.26,33.86,0.746549493608071,0.7001946948543443,0.061800845271336134,0.5862478509145734,0.8219066065694871,0.8640309563945443,0.835960307030406,0.03698371959393472,0.7656682368618982,0.9065906306954944,3.610726260449499,3.4934209370037936,0.1545524342138767,3.199675184284612,3.7885802279460603,273,214,30,True,0.95,percentile,500
roi,0.27,34.47,0.7499572140533133,0.7045535695316648,0.06175940558959515,0.5894393139280298,0.8219651198431859,0.8660007009542852,0.8385690211985191,0.03685488818853058,0.7677494686742974,0.9066228923894086,3.618957688219069,3.5043225750563445,0.15401405658374592,3.2083725096564604,3.788715047357982,273,217,30,True,0.95,percentile,500
roi,0.28,35.08,0.7525886116543716,0.7082355393043474,0.06202307584469621,0.5887070277449833,0.8247482275872741,0.8675186520498401,0.8407583198458637,0.03692850312419926,0.7672724044294887,0.9081562256883472,3.6253011020079327,3.513471504338832,0.15432168836408092,3.2063788908122466,3.7951227423225253,273,221,30,True,0.95,percentile,500
roi,0.29,35.69,0.754842835714286,0.7115838687531411,0.06260312402074925,0.5916002675465697,0.8296656149101352,0.8688169172583404,0.842735279785554,0.03720060116933488,0.7691555507065747,0.9108598209740993,3.6307264635029894,3.521733084687623,0.15545876748111606,3.214248430282586,3.8064208820750958,273,223,30,True,0.95,percentile,500
roi,0.3,36.3,0.7566228003838149,0.714528840127836,0.06347857306759412,0.5955469242605073,0.8330526403529123,0.8698406752870407,0.8444604242018299,0.03765990735444595,0.7717167683079736,0.9127171641072204,3.6350046782720513,3.5289423451901727,0.15737817660864056,3.2249515834319666,3.814182591971938,273,223,30,True,0.95,percentile,500
roi,0.31,36.91,0.7605126397859117,0.7189175122713944,0.06445364664102103,0.5980430960754892,0.8374353826583971,0.8720737582257087,0.8470335242050004,0.03813961726423396,0.773332460858814,0.9151149297420003,3.644336579112799,3.53969515408371,0.15938285150581927,3.2317034520762054,3.824202690534182,273,222,30,True,0.95,percentile,500
roi,0.32,37.519999999999996,0.7651678989065352,0.723997004617383,0.06564385573714747,0.5994760993774004,0.8442432128570139,0.8747387603773684,0.8500001923540074,0.038725662931333296,0.7742583297735329,0.9188259634357887,3.655473440798063,3.552092657335627,0.16183189625862318,3.2355725949343035,3.8397108464774465,273,216,30,True,0.95,percentile,500
roi,0.33,38.13,0.7696519774412921,0.7288087021777283,0.06690569002934928,0.5968771674224148,0.8535087051019925,0.8772981120698323,0.852797080619766,0.039356566705157414,0.7725761397222317,0.9238552273884186,3.6661687964416467,3.5637806620696915,0.16446839997079252,3.228542837784576,3.860727796495382,273,215,30,True,0.95,percentile,500
roi,0.34,38.74,0.775104911039432,0.734353341641395,0.06813754981044733,0.5988595179085288,0.8623449461287473,0.880400426532968,0.8560146740514237,0.03994258717924062,0.7738587409875753,0.9286252968538966,3.679133156361063,3.577226764912598,0.1669173394437054,3.2339027407327148,3.8806615904823936,273,215,30,True,0.95,percentile,500
roi,0.35000000000000003,39.35,0.7798972695334616,0.7392977729562359,0.0692671701669624,0.5994212182184536,0.8683855326408921,0.8831179250436838,0.8588728059301107,0.04047904762425503,0.774222822519497,0.9318720406944893,3.6904893967396695,3.5891707025155593,0.1691591709454247,3.235424212548655,3.894229510890129,273,208,30,True,0.95,percentile,500
roi,0.36,39.96,0.7839990474954359,0.7436412631290475,0.07017082016438678,0.6008358733823255,0.872805006571715,0.8854372069748571,0.8613782070571143,0.04089244331118359,0.7751359838372188,0.9342402325372522,3.7001815172734265,3.599640602436715,0.17088672324167364,3.239240251228199,3.9041260225986076,273,207,30,True,0.95,percentile,500
roi,0.37,40.57,0.7885435867978443,0.7483842691933895,0.0708508868539217,0.6048924608190419,0.8786590986904189,0.8879997673410981,0.864114394253217,0.04115787627348047,0.7777482520208723,0.9373670571671062,3.7108902817452267,3.6110749415531047,0.1719959494334683,3.250156741268571,3.917192808828057,273,201,30,True,0.95,percentile,500
roi,0.38,41.18,0.7927644357815145,0.7528132760492967,0.07142597448037842,0.6109860471243804,0.8870218772668867,0.8903732002826199,0.866663347471228,0.041368356034831195,0.7816558196159388,0.9418176032933634,3.7208086956468875,3.6217268426832847,0.17287552995772812,3.2664861989408553,3.9357913366383044,273,199,30,True,0.95,percentile,500
roi,0.39,41.79,0.7958637787640963,0.7562963181801868,0.07204185677296226,0.6165971523228964,0.8939504165370222,0.8921119765837113,0.8686582825865716,0.04162416866159054,0.7852358090279623,0.9454892877886195,3.7280749228635557,3.630063540061492,0.17394455342541595,3.2814467297950554,3.9511350549726885,273,199,30,True,0.95,percentile,500
roi,0.4,42.400000000000006,0.7977004480217573,0.7586437921196114,0.07275647560391223,0.6198992616762475,0.8990816617588692,0.8931407772696067,0.8699921076052138,0.04196482953719331,0.7873361287121933,0.9481986899243332,3.7323742105520803,3.635637503570569,0.17536815192075153,3.2902238220775324,3.9624574611540155,273,196,30,True,0.95,percentile,500
roi,0.41000000000000003,43.010000000000005,0.7980923371273907,0.7596662108845805,0.07347830267330681,0.6209201406965953,0.9014462504532835,0.8933601385373038,0.8705612420171984,0.04234289342145798,0.7879847775347104,0.9494451510409987,3.7332909062837984,3.6380158773451075,0.17694805503063343,3.2929344811342927,3.9676663368930902,273,196,30,True,0.95,percentile,500
roi,0.42,43.62,0.7980174504110247,0.7602010705205312,0.07429530353022809,0.6210244563354412,0.9026506517305167,0.8933182246047736,0.870846763953031,0.04278604356695351,0.7880510488700182,0.9500791803941007,3.7331157508269883,3.639209053983068,0.17879994917380124,3.2932114245110777,3.9703159021872483,273,194,30,True,0.95,percentile,500
roi,0.43,44.230000000000004,0.7971450405955033,0.7599602433237126,0.07513708044888093,0.6199699040632505,0.9061841865555161,0.8928297937431878,0.8706850196787603,0.04326179604108733,0.7873816762280806,0.9519369146718979,3.7310746316688266,3.638533135725436,0.1807880862180999,3.2904141620306273,3.978079246650935,273,193,30,True,0.95,percentile,500
roi,0.44,44.84,0.7958509928599597,0.7592757574903325,0.07598172755264067,0.6168003055534658,0.9063713190993496,0.8921048104678955,0.8702675924823087,0.04374817448670823,0.7853658935342829,0.952035340920287,3.7280449761557786,3.636788736026676,0.18282062847034541,3.281990344048194,3.9784905632098453,273,193,30,True,0.95,percentile,500
roi,0.45,45.45,0.7950666975339992,0.7588811138300326,0.07688629884111617,0.6123213266181469,0.9066549730461497,0.891665126341722,0.8700150414326892,0.04425900167612038,0.7825071539197296,0.9521842987900303,3.726207566270255,3.635733342466739,0.18495534035041353,3.270043866758622,3.9791130479576453,273,190,30,True,0.95,percentile,500
roi,0.46,46.06,0.7942441098477135,0.7584530754345531,0.07790942689389586,0.6106950343623433,0.9142780275715955,0.8912037420521267,0.8697392405606137,0.04484139119527264,0.7814697640289472,0.9561783475829334,3.7242794728862494,3.634580789489224,0.1873891063110551,3.265708685370442,3.995803904639714,273,190,30,True,0.95,percentile,500
roi,0.47000000000000003,46.67,0.7928482717452685,0.7574995100781157,0.07902482445175818,0.6088436309959446,0.9184790339839233,0.8904202781525522,0.869157078631225,0.04549309823836336,0.7802836839775467,0.9583724535350346,3.721005430844848,3.6321479746106355,0.1901125454623869,3.260752137972583,4.004972923319923,273,185,30,True,0.95,percentile,500
roi,0.48,47.28,0.7915330621754046,0.7565594801429646,0.08024591913771262,0.6070053473317755,0.921703743175298,0.889681438592154,0.8685785597603081,0.04620644694360435,0.7791053101209975,0.9600466307589718,3.717917870864219,3.6297303838241874,0.1930935809030837,3.2558277942358447,4.0119691954122345,273,183,30,True,0.95,percentile,500
roi,0.49,47.89,0.7902944241188566,0.7555210812951092,0.0815039616330338,0.603909196918017,0.926131349047596,0.8889850528095827,0.8679410243567214,0.046945364715294834,0.7771109869233691,0.9623548662243072,3.7150077223169653,3.6270661669848945,0.1961814677233533,3.2474936540199097,4.0216151535209175,273,185,30,True,0.95,percentile,500
