image_type,t,age,sigma2_hat_std,sigma2_bootstrap_mean_std,sigma2_bootstrap_se_std,sigma2_ci_lower_pointwise_std,sigma2_ci_upper_pointwise_std,sigma_hat_std,sigma_bootstrap_mean_std,sigma_bootstrap_se_std,sigma_ci_lower_pointwise_std,sigma_ci_upper_pointwise_std,sigma_hat_iop,sigma_bootstrap_mean_iop,sigma_bootstrap_se_iop,sigma_ci_lower_pointwise_iop,sigma_ci_upper_pointwise_iop,local_support_pairs,variance_support_pairs,min_variance_support_pairs,support_ok,confidence_level,ci_method,n_success
roi,0.0,18.0,0.7325435070161287,0.6430005074387978,0.10430348130993708,0.4640827092667586,0.8692424104625581,0.8558875551239945,0.7992905243806938,0.0643696510631226,0.6812361626038779,0.9323316847764388,3.576695543610778,3.340180423804136,0.2689963684165233,2.8468393217597434,3.8961503320654267,269,134,30,True,0.95,percentile,500
roi,0.01,18.61,0.7302541662254761,0.6416529318011154,0.10194765999772144,0.4652822343096387,0.8634015641897981,0.8545491011202786,0.7985542605095962,0.06302355718783474,0.6821152591592015,0.9291940395668723,3.5711022358897364,3.3371036274528967,0.26337113419480784,2.8505130061275152,3.883038327373569,269,136,30,True,0.95,percentile,500
roi,0.02,19.22,0.7283679945346516,0.640711336533995,0.09990448914976148,0.46674533566623766,0.8580556815892886,0.8534447811866047,0.798056480094508,0.06184529727269304,0.6831875907100406,0.9263128724569754,3.5664873584308396,3.3350234371502294,0.25844726661141715,2.8549942063227958,3.870998127115168,269,138,30,True,0.95,percentile,500
roi,0.03,19.83,0.7265952262935097,0.6398296995692789,0.09818465191272727,0.46969546694568415,0.8519199772857388,0.8524055527115656,0.7975796496728054,0.060858932099720466,0.6853430359286802,0.9229951122729895,3.562144493724824,3.3330307954367804,0.2543253140284838,2.864001664442558,3.857133434266453,269,139,30,True,0.95,percentile,500
roi,0.04,20.44,0.7249045854767923,0.6389895578750941,0.09672297905536444,0.4728011183796806,0.8455366634396928,0.8514132871154833,0.7971157807352726,0.06002663051206081,0.6876051338866569,0.919530377083549,3.557997883677349,3.3310923188790125,0.250847182629446,2.8734548170641476,3.842654542924158,269,140,30,True,0.95,percentile,500
roi,0.05,21.05,0.7226464928314106,0.6376507422878656,0.09533711833604176,0.4729368594202205,0.8399462068390476,0.85008616788618,0.7963328803406884,0.05925967764810785,0.6877029403859961,0.916485763977653,3.5524519432031925,3.327820631686418,0.24764213907642613,2.8738635437341737,3.8299313130294323,269,143,30,True,0.95,percentile,500
roi,0.06,21.66,0.7197905138513367,0.6358179266939147,0.09396231805313573,0.4729642590798812,0.8344946433932119,0.8484046875467726,0.7952359991361433,0.05851906812760737,0.6877215480633672,0.9135066135573947,3.5454251518909197,3.3232368401676844,0.2445471825536081,2.873941303945,3.8174816472198385,270,145,30,True,0.95,percentile,500
roi,0.07,22.27,0.7185642692850251,0.635328403885998,0.09286510347154449,0.47493067714618303,0.8338622015737489,0.8476817028136358,0.7949745588272314,0.05788398582576371,0.6891463706929349,0.913160556190714,3.5424038481488243,3.3221442990012577,0.24189321705868838,2.8798955402452027,3.8160354971574497,271,147,30,True,0.95,percentile,500
roi,0.08,22.88,0.7170348437273608,0.6345645783846285,0.09186607257043104,0.4754148967160349,0.8278177528009338,0.8467790997228031,0.7945347461926269,0.057320911114080955,0.6894989668978138,0.9098439946075143,3.5386319315771866,3.3203063520877922,0.23954016635718137,2.881369015665115,3.802175813179427,271,150,30,True,0.95,percentile,500
roi,0.09,23.490000000000002,0.7148081652808382,0.6332340917687329,0.09084307592159908,0.4769523675209924,0.8240331866072774,0.845463284407335,0.7937367106532388,0.056767693913475116,0.6906164367982218,0.9077627108043576,3.533133229385673,3.3169714161604213,0.23722830952013566,2.8860388459354356,3.793478270541759,272,153,30,True,0.95,percentile,500
