R,S,X_shape,Z_shape,a_eval_mode,a_eval_num_points,bandwidth_config,best_signal_h,best_variance_h,beta_hat_shape,elapsed_seconds,eligible_signal_h,feature_dir,finished_at_utc,image_type,n_pairs,output_dir,p0,rho_hat,ridge,run_name,sigma2_hat_mean,signal_cv_score,started_at_utc,status,t_shape,task_id,variance_cv_score,variance_h_candidates,y_shape,result_json
1,2x2x1,"[273, 2, 1, 4]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v1_adaptive_support.json,0.6,0.7,[60],4.316045457497239,"[0.22, 0.26, 0.3, 0.35, 0.4, 0.45, 0.5, 0.6, 0.7]",src/experiments/grape/data/features/cfp_192_iop_le35/S2x2x1_R1,2026-06-17T07:27:24.381832+00:00,cfp,273,src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0001,60,0.7325371730067655,0.0,v1_adaptive_support,0.6823529950473132,1.2343493159327923,2026-06-17T07:27:20.065800+00:00,success,[273],1,0.8550798352021747,"[0.2, 0.25, 0.3, 0.4, 0.5, 0.6, 0.7]","[273, 2]",/home/svu/e0829076/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0001/result.json
2,2x2x1,"[273, 2, 2, 4]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v1_adaptive_support.json,0.6,0.4,[60],5.054143238114193,"[0.22, 0.26, 0.3, 0.35, 0.4, 0.45, 0.5, 0.6, 0.7]",src/experiments/grape/data/features/cfp_192_iop_le35/S2x2x1_R2,2026-06-17T05:55:54.938126+00:00,cfp,273,src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0002,60,0.7212234952418116,0.0,v1_adaptive_support,0.647788256383097,1.2411518006044022,2026-06-17T05:55:49.883994+00:00,success,[273],2,0.7141986907932573,"[0.2, 0.25, 0.3, 0.4, 0.5, 0.6, 0.7]","[273, 2]",/home/svu/e0829076/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0002/result.json
3,2x2x1,"[273, 2, 3, 4]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v1_adaptive_support.json,0.7,0.4,[60],5.239209952065721,"[0.26, 0.3, 0.35, 0.4, 0.45, 0.5, 0.6, 0.7]",src/experiments/grape/data/features/cfp_192_iop_le35/S2x2x1_R3,2026-06-17T05:56:15.248497+00:00,cfp,273,src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0003,60,0.657588939306813,0.0,v1_adaptive_support,0.6105949855322225,1.2885441858332964,2026-06-17T05:56:10.009295+00:00,success,[273],3,0.6623509253224735,"[0.2, 0.25, 0.3, 0.4, 0.5, 0.6, 0.7]","[273, 2]",/home/svu/e0829076/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0003/result.json
4,2x2x1,"[273, 2, 4, 4]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v1_adaptive_support.json,0.7,0.2,[60],5.612457202980295,"[0.3, 0.35, 0.4, 0.45, 0.5, 0.6, 0.7]",src/experiments/grape/data/features/cfp_192_iop_le35/S2x2x1_R4,2026-06-17T05:55:53.179794+00:00,cfp,273,src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0004,60,0.6414937462323324,0.0,v1_adaptive_support,0.5914477746620096,1.352141763827785,2026-06-17T05:55:47.567347+00:00,success,[273],4,0.5909028983870912,"[0.2, 0.25, 0.3, 0.4, 0.5, 0.6, 0.7]","[273, 2]",/home/svu/e0829076/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0004/result.json
1,3x3x1,"[273, 2, 1, 9]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v1_adaptive_support.json,0.7,0.4,[60],5.9334092498756945,"[0.22, 0.26, 0.3, 0.35, 0.4, 0.45, 0.5, 0.6, 0.7]",src/experiments/grape/data/features/cfp_192_iop_le35/S3x3x1_R1,2026-06-17T05:56:28.855177+00:00,cfp,273,src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0005,60,0.6949227519290535,0.0,v1_adaptive_support,0.6413374969552665,1.3262839143598693,2026-06-17T05:56:22.921773+00:00,success,[273],5,0.7139905682863695,"[0.2, 0.25, 0.3, 0.4, 0.5, 0.6, 0.7]","[273, 2]",/home/svu/e0829076/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0005/result.json
2,3x3x1,"[273, 2, 2, 9]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v1_adaptive_support.json,0.7,0.4,[60],6.428051189053804,"[0.3, 0.35, 0.4, 0.45, 0.5, 0.6, 0.7]",src/experiments/grape/data/features/cfp_192_iop_le35/S3x3x1_R2,2026-06-17T05:56:17.056386+00:00,cfp,273,src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0006,60,0.6712335417288984,0.0,v1_adaptive_support,0.6111275624910518,1.4534537864203139,2026-06-17T05:56:10.628349+00:00,success,[273],6,0.6377767449001095,"[0.2, 0.25, 0.3, 0.4, 0.5, 0.6, 0.7]","[273, 2]",/home/svu/e0829076/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0006/result.json
3,3x3x1,"[273, 2, 3, 9]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v1_adaptive_support.json,0.7,0.2,[60],7.206134682986885,"[0.35, 0.4, 0.45, 0.5, 0.6, 0.7]",src/experiments/grape/data/features/cfp_192_iop_le35/S3x3x1_R3,2026-06-17T05:55:54.773868+00:00,cfp,273,src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0007,60,0.6316642315143515,0.0,v1_adaptive_support,0.5636761110355576,1.5995639784133393,2026-06-17T05:55:47.567752+00:00,success,[273],7,0.5276521673265793,"[0.2, 0.25, 0.3, 0.4, 0.5, 0.6, 0.7]","[273, 2]",/home/svu/e0829076/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0007/result.json
4,3x3x1,"[273, 2, 4, 9]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v1_adaptive_support.json,0.7,0.2,[60],7.536205507814884,"[0.4, 0.45, 0.5, 0.6, 0.7]",src/experiments/grape/data/features/cfp_192_iop_le35/S3x3x1_R4,2026-06-17T05:56:14.723707+00:00,cfp,273,src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0008,60,0.5689205924908894,0.0,v1_adaptive_support,0.5160022030672617,1.6512306140285329,2026-06-17T05:56:07.187516+00:00,success,[273],8,0.5174138988183814,"[0.2, 0.25, 0.3, 0.4, 0.5, 0.6, 0.7]","[273, 2]",/home/svu/e0829076/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0008/result.json
1,4x4x1,"[273, 2, 1, 16]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v1_adaptive_support.json,0.7,0.4,[60],6.10918925399892,"[0.3, 0.35, 0.4, 0.45, 0.5, 0.6, 0.7]",src/experiments/grape/data/features/cfp_192_iop_le35/S4x4x1_R1,2026-06-17T05:55:32.296574+00:00,cfp,273,src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0009,60,0.669423924536946,0.0,v1_adaptive_support,0.6133207701113794,1.28234705527046,2026-06-17T05:55:26.187394+00:00,success,[273],9,0.6608282802521569,"[0.2, 0.25, 0.3, 0.4, 0.5, 0.6, 0.7]","[273, 2]",/home/svu/e0829076/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0009/result.json
2,4x4x1,"[273, 2, 2, 16]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v1_adaptive_support.json,0.6,0.2,[60],6.9802236838731915,"[0.4, 0.45, 0.5, 0.6, 0.7]",src/experiments/grape/data/features/cfp_192_iop_le35/S4x4x1_R2,2026-06-17T05:56:39.010896+00:00,cfp,273,src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0010,60,0.6062961096940466,0.0,v1_adaptive_support,0.5111035473331029,1.4360938904185152,2026-06-17T05:56:32.030695+00:00,success,[273],10,0.4660123921250133,"[0.2, 0.25, 0.3, 0.4, 0.5, 0.6, 0.7]","[273, 2]",/home/svu/e0829076/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0010/result.json
