image_type,S,R,signal_h,variance_hbar,split_group,model,n_pairs,n_split_groups,ridge,rmse_std,mae_std,mape_std_pct,rmse_iop,mae_iop,mape_iop_pct
cfp,3x4x1,1,1.8,0.25,subject_id,x_only_paired_vctr,273,119,1e-06,0.9889564084921226,0.7919333444047003,442.1948419355088,4.132781178909247,3.309435271971818,21.41990866464493
cfp,3x4x1,1,1.8,0.25,subject_id,x_only_linear,273,119,1e-06,1.0133422088421193,0.8012824635528732,360.01359820815696,4.234687770396699,3.348504601340805,21.76319976858506
cfp,3x4x1,1,1.8,0.25,subject_id,x_only_iid_vctr,273,119,1e-06,1.022267703744914,0.8050524540748851,578.9491666134903,4.271986803023388,3.364259133836118,21.614367582739426
cfp,3x4x1,1,1.8,0.25,subject_id,z_only_linear,273,119,1e-06,1.1725922957362398,0.9354478578319266,1002.7360298796525,4.900182989603751,3.909172606094249,25.28442979293681
cfp,3x4x1,1,1.8,0.25,subject_id,xz_paired_vctr,273,119,1e-06,1.1799559144455871,0.9495014767465171,906.8312372392759,4.9309550484622955,3.967901718163344,25.609185799540125
cfp,3x4x1,1,1.8,0.25,subject_id,xz_iid_vctr,273,119,1e-06,1.1818437175775423,0.951074456092877,981.8047611457748,4.938844048610569,3.9744750912479683,25.423321467548142
cfp,3x4x1,1,1.8,0.25,subject_id,xz_linear,273,119,1e-06,1.1856455530677652,0.9366112427716893,948.8736377747712,4.954731659049597,3.9140343121730923,25.309745270482644
roi,6x2x1,1,0.85,0.3,subject_id,x_only_paired_vctr,273,119,1e-06,0.9620235652080191,0.7628297875135183,548.1782048588731,4.020230669237372,3.187813498629369,20.52140582755214
roi,6x2x1,1,0.85,0.3,subject_id,x_only_iid_vctr,273,119,1e-06,0.9633004149888363,0.7595907837991294,765.6358549209551,4.025566537125121,3.1742779236795546,20.346722612671822
roi,6x2x1,1,0.85,0.3,subject_id,x_only_linear,273,119,1e-06,0.9634611690632472,0.7500329220045802,631.6432689914927,4.026238317405276,3.134336273070955,20.129717640649787
roi,6x2x1,1,0.85,0.3,subject_id,xz_linear,273,119,1e-06,1.1343458118551741,0.8787961693967028,1008.7994926465298,4.740353549816685,3.672429075532064,23.59678838328402
roi,6x2x1,1,0.85,0.3,subject_id,xz_iid_vctr,273,119,1e-06,1.1613916199090921,0.9039584281308308,1004.0793689536868,4.8533761315339605,3.7775804334911123,24.10426944180978
roi,6x2x1,1,0.85,0.3,subject_id,xz_paired_vctr,273,119,1e-06,1.1682868023078419,0.9245948763642614,987.5155067965737,4.882190627095144,3.863818738967784,24.785605727412793
roi,6x2x1,1,0.85,0.3,subject_id,z_only_linear,273,119,1e-06,1.1725922957362398,0.9354478578319266,1002.7360298796525,4.900182989603751,3.909172606094249,25.28442979293681
