image_type,S,R,model,fold,n_pairs,rmse_std,mae_std,rmse_iop,mae_iop
cfp,2x2x1,1,x_only_vctr,1,55,0.9984054984791562,0.8131169436761702,4.1722682795750625,3.397960084207143
cfp,2x2x1,1,x_only_vctr,2,55,1.1067543338518404,0.8946203419947023,4.625050650708798,3.738557210324716
cfp,2x2x1,1,x_only_vctr,3,55,0.9254330016553727,0.7056160300345483,3.86732120722516,2.9487211199831878
cfp,2x2x1,1,x_only_vctr,4,54,0.9989872126128507,0.8220296367339427,4.174699223146078,3.4352056187992273
cfp,2x2x1,1,x_only_vctr,5,54,0.9319274848802293,0.7560299507488729,3.8944612083495302,3.1593974459507392
cfp,2x2x1,1,xz_iid_vctr,1,55,1.2174072523860573,0.9848080015646388,5.0874616277576745,4.115445270142041
cfp,2x2x1,1,xz_iid_vctr,2,55,1.151596308686626,0.9407705753839792,4.812442196009454,3.9314158786297018
cfp,2x2x1,1,xz_iid_vctr,3,55,1.1533755549992721,0.888597635937776,4.81987754463595,3.713388733711961
cfp,2x2x1,1,xz_iid_vctr,4,54,1.0633072522838183,0.8169580551320956,4.443488268948585,3.4140118262200647
cfp,2x2x1,1,xz_iid_vctr,5,54,0.902409790862063,0.7213155418244042,3.7711087842835602,3.0143283057863606
cfp,2x2x1,1,xz_linear,1,55,1.1779630587081389,0.9574193748100828,4.922627040662069,4.000990072526221
cfp,2x2x1,1,xz_linear,2,55,1.1649025412122698,0.9399648030092679,4.86804803148608,3.9280486109967736
cfp,2x2x1,1,xz_linear,3,55,1.1499628177088355,0.8860450246253099,4.805615948956536,3.702721545655294
cfp,2x2x1,1,xz_linear,4,54,1.0871908891499265,0.8331455720514194,4.543296353588688,3.4816583520760016
cfp,2x2x1,1,xz_linear,5,54,0.8833653381853327,0.7099383480957079,3.691523319333669,2.966783791481172
cfp,2x2x1,1,xz_paired_vctr,1,55,1.2295890488679981,0.9855456032941653,5.138368521927691,4.1185276573121365
cfp,2x2x1,1,xz_paired_vctr,2,55,1.1516887049464464,0.9365782052841319,4.81282831365863,3.913896250772607
cfp,2x2x1,1,xz_paired_vctr,3,55,1.1420621174516794,0.8738356829163899,4.7725994630501845,3.6516995418660367
cfp,2x2x1,1,xz_paired_vctr,4,54,1.0666081326502903,0.8232058247994921,4.457282422194617,3.4401208282649036
cfp,2x2x1,1,xz_paired_vctr,5,54,0.8926439203752193,0.7023621623660572,3.730297879579246,2.935123429585989
cfp,2x2x1,1,z_only_linear,1,55,1.1670623318044875,0.9490459195688782,4.877073648624769,3.965997975881584
cfp,2x2x1,1,z_only_linear,2,55,1.153425938737947,0.9245957343168417,4.820088094833239,3.8638223242929266
cfp,2x2x1,1,z_only_linear,3,55,1.1446459115993977,0.8806499286661332,4.783396962042225,3.680175808707708
cfp,2x2x1,1,z_only_linear,4,54,1.0921648545256786,0.8442417845947402,4.564082214636696,3.5280286652287653
cfp,2x2x1,1,z_only_linear,5,54,0.888735740505486,0.7033728316370275,3.713965863253013,2.9393469473318703
roi,2x2x1,1,x_only_vctr,1,55,0.9916483896182432,0.7956433063851317,4.144030783883215,3.324938949298278
roi,2x2x1,1,x_only_vctr,2,55,1.0956700855370676,0.8888824368007198,4.578730335248691,3.7145788970356466
roi,2x2x1,1,x_only_vctr,3,55,0.9335542553604479,0.706341136944329,3.901259370902826,2.951751292156305
roi,2x2x1,1,x_only_vctr,4,54,0.9967117736391862,0.8142992718596175,4.165190319332557,3.4029009528054823
roi,2x2x1,1,x_only_vctr,5,54,0.9162549565551134,0.7386879646039607,3.8289667845996314,3.086926472175589
roi,2x2x1,1,xz_iid_vctr,1,55,1.2413291646677664,0.9912167268233775,5.187429662741243,4.142226894592505
roi,2x2x1,1,xz_iid_vctr,2,55,1.129104356800792,0.9189966685021467,4.718449867700022,3.8404242112722256
