image_type,S,R,signal_h,variance_hbar,model,n_pairs,rmse_std,mae_std,rmse_iop,mae_iop
cfp,2x2x1,1,1.0,1.2,x_only_vctr,273,0.9946506059175786,0.7983503666222351,4.156576840423589,3.3362515688455154
cfp,2x2x1,1,1.0,1.2,z_only_linear,273,1.0947923238540458,0.8610154810141663,4.575062229220952,3.59812479511647
cfp,2x2x1,1,1.0,1.2,xz_linear,273,1.0988683936737733,0.8659895158329713,4.5920958461632555,3.6189109463622464
cfp,2x2x1,1,1.0,1.2,xz_paired_vctr,273,1.1032804517895467,0.8650492430005402,4.610533535210565,3.614981610517366
cfp,2x2x1,1,1.0,1.2,xz_iid_vctr,273,1.1038515334231014,0.871232475986823,4.6129200462908395,3.6408209181866322
roi,2x2x1,1,0.8,0.4,x_only_vctr,273,0.9889976628856183,0.7888607662131617,4.13295357819755,3.296595177897218
roi,2x2x1,1,0.8,0.4,xz_linear,273,1.0878726632544318,0.8543741562237455,4.546145440932855,3.570371153134692
roi,2x2x1,1,0.8,0.4,z_only_linear,273,1.0947923238540458,0.8610154810141663,4.575062229220952,3.59812479511647
roi,2x2x1,1,0.8,0.4,xz_paired_vctr,273,1.0989211142298516,0.8528644767545267,4.592316161760618,3.5640623059064453
roi,2x2x1,1,0.8,0.4,xz_iid_vctr,273,1.099858481493431,0.8572097332590599,4.5962333554320285,3.5822208355901233
