image_type,S,R,signal_h,variance_hbar,split_group,model,n_pairs,rmse_std,mae_std,rmse_iop,mae_iop
cfp,2x2x1,1,1.0,1.2,subject_id,x_only_vctr,273,1.0052135966113702,0.805499488388083,4.200718855943622,3.3661272596504066
cfp,2x2x1,1,1.0,1.2,subject_id,z_only_linear,273,1.1725922957362398,0.9354478578319266,4.900182989603751,3.909172606094249
cfp,2x2x1,1,1.0,1.2,subject_id,xz_iid_vctr,273,1.1785543327513412,0.945365958902467,4.925097934440945,3.9506196719940956
cfp,2x2x1,1,1.0,1.2,subject_id,xz_linear,273,1.1791548246044097,0.9377314735634755,4.927607348816686,3.9187156800196163
cfp,2x2x1,1,1.0,1.2,subject_id,xz_paired_vctr,273,1.18031888376411,0.9405077339497268,4.932471872414527,3.9303174822563243
roi,2x2x1,1,0.8,0.4,subject_id,x_only_vctr,273,0.9867414775410268,0.78466505370208,4.123525133982828,3.2790615823322207
roi,2x2x1,1,0.8,0.4,subject_id,xz_linear,273,1.17130869476806,0.9349728847127569,4.894818908965847,3.9071877259210304
roi,2x2x1,1,0.8,0.4,subject_id,z_only_linear,273,1.1725922957362398,0.9354478578319266,4.900182989603751,3.909172606094249
roi,2x2x1,1,0.8,0.4,subject_id,xz_paired_vctr,273,1.1754849398451441,0.937696120769267,4.91227115145589,3.9185679431110207
roi,2x2x1,1,0.8,0.4,subject_id,xz_iid_vctr,273,1.1834499015471929,0.94927504907538,4.945556181544475,3.9669554924150443
