image_type,pc,variable,n_outer_folds,loading_mean,loading_sd,mean_abs_loading,sign_agreement
roi,1,z_vf_00_mean,5,0.12633147914280923,0.0032549657652281615,0.12633147914280923,1.0
roi,1,z_vf_01_mean,5,0.11178891274699432,0.0035258162089360804,0.11178891274699432,1.0
roi,1,z_vf_02_mean,5,0.12411147389468433,0.0032087766170205366,0.12411147389468433,1.0
roi,1,z_vf_03_mean,5,0.14079992492448462,0.0021102365926149304,0.14079992492448462,1.0
roi,1,z_vf_04_mean,5,0.11622425968198287,0.003870879385072822,0.11622425968198287,1.0
roi,1,z_vf_05_mean,5,0.1175257744317046,0.004795584844423756,0.1175257744317046,1.0
roi,1,z_vf_06_mean,5,0.12805496157585292,0.0036171855804796554,0.12805496157585292,1.0
roi,1,z_vf_07_mean,5,0.14067608977828822,0.002430526504688785,0.14067608977828822,1.0
roi,1,z_vf_08_mean,5,0.13053884319735504,0.0014993125252506124,0.13053884319735504,1.0
roi,1,z_vf_09_mean,5,0.13136848115161043,0.0026770318757441025,0.13136848115161043,1.0
roi,1,z_vf_10_mean,5,0.13642574072463606,0.001078293470955605,0.13642574072463606,1.0
roi,1,z_vf_11_mean,5,0.13980061924325027,0.001319190880436761,0.13980061924325027,1.0
roi,1,z_vf_12_mean,5,0.13917818803669377,0.0017958937686565844,0.13917818803669377,1.0
roi,1,z_vf_13_mean,5,0.13201554816254704,0.0010197559410389206,0.13201554816254704,1.0
roi,1,z_vf_14_mean,5,0.13211560419134785,0.0023284366202475618,0.13211560419134785,1.0
roi,1,z_vf_15_mean,5,0.14632729121583066,0.0023929647824177053,0.14632729121583066,1.0
roi,1,z_vf_16_mean,5,0.1370540595793182,0.002899686869628744,0.1370540595793182,1.0
roi,1,z_vf_17_mean,5,0.14518409387134884,0.0021339748456385105,0.14518409387134884,1.0
roi,1,z_vf_18_mean,5,0.139444870175033,0.001307398461303204,0.139444870175033,1.0
roi,1,z_vf_19_mean,5,0.141068879491315,0.00198628459897985,0.141068879491315,1.0
roi,1,z_vf_20_mean,5,0.1390318380700574,0.0014829194631784152,0.1390318380700574,1.0
roi,1,z_vf_22_mean,5,0.13725203975193995,0.0007808479953203977,0.13725203975193995,1.0
roi,1,z_vf_23_mean,5,0.13683625472549002,0.0021509327239107047,0.13683625472549002,1.0
roi,1,z_vf_24_mean,5,0.1344799977052564,0.0020518507352760974,0.1344799977052564,1.0
roi,1,z_vf_25_mean,5,0.13149968766326484,0.0018561153564206469,0.13149968766326484,1.0
roi,1,z_vf_26_mean,5,0.1311140220170211,0.0009279266823863234,0.1311140220170211,1.0
roi,1,z_vf_27_mean,5,0.14059445099513798,0.0025280702222087183,0.14059445099513798,1.0
roi,1,z_vf_28_mean,5,0.13947790415797226,0.001902007267848934,0.13947790415797226,1.0
roi,1,z_vf_29_mean,5,0.13832729217234047,0.0018334006381260286,0.13832729217234047,1.0
roi,1,z_vf_30_mean,5,0.13773699788250202,0.0013789098429922932,0.13773699788250202,1.0
roi,1,z_vf_31_mean,5,0.13650122042356996,0.0010533507725089383,0.13650122042356996,1.0
roi,1,z_vf_33_mean,5,0.09632949086058032,0.0047936179018235,0.09632949086058032,1.0
roi,1,z_vf_34_mean,5,0.1125266498015478,0.0026889989685455673,0.1125266498015478,1.0
roi,1,z_vf_35_mean,5,0.11378403527759448,0.005614937153421195,0.11378403527759448,1.0
roi,1,z_vf_36_mean,5,0.1263832048922916,0.0018293082506984082,0.1263832048922916,1.0
roi,1,z_vf_37_mean,5,0.13300647147181682,0.0015277034224995118,0.13300647147181682,1.0
roi,1,z_vf_38_mean,5,0.12939090127669534,0.003626203920898906,0.12939090127669534,1.0
roi,1,z_vf_39_mean,5,0.13265549627518622,0.0033352483262012495,0.13265549627518622,1.0
roi,1,z_vf_40_mean,5,0.13304345080571806,0.0011127518825864964,0.13304345080571806,1.0
roi,1,z_vf_41_mean,5,0.13249209180483296,0.001500484649979923,0.13249209180483296,1.0
roi,1,z_vf_42_mean,5,0.1331264587076823,0.0016775842088066716,0.1331264587076823,1.0
roi,1,z_vf_43_mean,5,0.1397900235185508,0.001510390881672045,0.1397900235185508,1.0
roi,1,z_vf_44_mean,5,0.13631630773834,0.0016763041207299653,0.13631630773834,1.0
roi,1,z_vf_45_mean,5,0.13451708286502756,0.0014934281181039851,0.13451708286502756,1.0
roi,1,z_vf_46_mean,5,0.1357538580253166,0.0014541035098813303,0.1357538580253166,1.0
roi,1,z_vf_47_mean,5,0.13327225324595832,0.002573535199942981,0.13327225324595832,1.0
roi,1,z_vf_48_mean,5,0.1303372647542514,0.002899484324642007,0.1303372647542514,1.0
roi,1,z_vf_49_mean,5,0.12899152837326297,0.0018520669330173126,0.12899152837326297,1.0
roi,1,z_vf_50_mean,5,0.12161293444226748,0.005376361307981092,0.12161293444226748,1.0
roi,1,z_vf_51_mean,5,0.12059306260356065,0.004632862669722449,0.12059306260356065,1.0
roi,1,z_vf_52_mean,5,0.08819122524839654,0.008017711767069197,0.08819122524839654,1.0
roi,1,z_vf_53_mean,5,0.08630712392175141,0.006196508729505513,0.08630712392175141,1.0
roi,1,z_vf_54_mean,5,0.12916913285000958,0.0023254163839250635,0.12916913285000958,1.0
roi,1,z_vf_55_mean,5,0.12987250724082142,0.003339871738257017,0.12987250724082142,1.0
roi,1,z_vf_56_mean,5,0.13497695369942772,0.0012874389026884777,0.13497695369942772,1.0
roi,1,z_vf_57_mean,5,0.13752283952439012,0.001750501413441352,0.13752283952439012,1.0
roi,1,z_vf_58_mean,5,0.13108717834542385,0.0028627599889649593,0.13108717834542385,1.0
roi,1,z_vf_59_mean,5,0.12911941042206404,0.002238510168690821,0.12911941042206404,1.0
roi,1,z_vf_60_mean,5,0.09279865384470273,0.008529814736877805,0.09279865384470273,1.0
