image_type,contrast,model,reference_model,model_rmse_iop,reference_rmse_iop,delta_rmse_iop,delta_rmse_std,pct_delta_rmse_iop
cfp,adding_sex_to_x,x_sex_paired_vctr,x_only_paired_vctr,4.161776180477867,4.160925201192092,0.0008509792857749332,0.00020363561043490463,0.020451684292020687
cfp,adding_sex_to_x_vf_pca,x_sex_vf_pca_paired_vctr,x_vf_pca_paired_vctr,4.083366840851861,4.082423812023058,0.0009430288288028166,0.00022566266232459942,0.02309972879409342
cfp,adding_vf_pca_to_x,x_vf_pca_paired_vctr,x_only_paired_vctr,4.082423812023058,4.160925201192092,-0.07850138916903404,-0.01878503809745402,-1.886633029273
cfp,adding_vf_pca_to_x_sex,x_sex_vf_pca_paired_vctr,x_sex_paired_vctr,4.083366840851861,4.161776180477867,-0.07840933962600616,-0.018763011045564326,-1.8840354748967536
cfp,paired_refit_for_x_sex_vf_pca,x_sex_vf_pca_paired_vctr,x_sex_vf_pca_iid_vctr,4.083366840851861,4.205511328348315,-0.12214448749645435,-0.029228640095454006,-2.9043908804408267
cfp,paired_refit_for_x_vf_pca,x_vf_pca_paired_vctr,x_vf_pca_iid_vctr,4.082423812023058,4.204362701549394,-0.12193888952633625,-0.029179441403019424,-2.9002942462932433
cfp,varying_paired_vs_linear_x_sex_vf_pca,x_sex_vf_pca_paired_vctr,x_sex_vf_pca_linear,4.083366840851861,4.18021024377202,-0.09684340292015925,-0.023174201534510885,-2.3167112961469716
cfp,varying_paired_vs_linear_x_vf_pca,x_vf_pca_paired_vctr,x_vf_pca_linear,4.082423812023058,4.177559317194109,-0.09513550517105074,-0.022765509094502145,-2.2772987275007566
roi,adding_sex_to_x,x_sex_paired_vctr,x_only_paired_vctr,4.024435384884734,4.028384179694194,-0.003948794809459422,-0.0009449292773022755,-0.09802428550295782
roi,adding_sex_to_x_vf_pca,x_sex_vf_pca_paired_vctr,x_vf_pca_paired_vctr,3.940775449894149,3.946210928117615,-0.005435478223466017,-0.001300686097233661,-0.1377391711308954
roi,adding_vf_pca_to_x,x_vf_pca_paired_vctr,x_only_paired_vctr,3.946210928117615,4.028384179694194,-0.08217325157657873,-0.019663698665686735,-2.0398563769262132
roi,adding_vf_pca_to_x_sex,x_sex_vf_pca_paired_vctr,x_sex_paired_vctr,3.940775449894149,4.024435384884734,-0.08365993499058533,-0.02001945548561812,-2.0787993094584487
roi,paired_refit_for_x_sex_vf_pca,x_sex_vf_pca_paired_vctr,x_sex_vf_pca_iid_vctr,3.940775449894149,3.928435628146304,0.01233982174784476,0.0029528652180907944,0.3141154117285995
roi,paired_refit_for_x_vf_pca,x_vf_pca_paired_vctr,x_vf_pca_iid_vctr,3.946210928117615,3.9322350281961054,0.013975899921509605,0.003344371548717917,0.3554187331452816
roi,varying_paired_vs_linear_x_sex_vf_pca,x_sex_vf_pca_paired_vctr,x_sex_vf_pca_linear,3.940775449894149,3.9335406004630062,0.00723484943114272,0.0017312677346476013,0.18392715789665742
roi,varying_paired_vs_linear_x_vf_pca,x_vf_pca_paired_vctr,x_vf_pca_linear,3.946210928117615,3.9298445509016187,0.01636637721599632,0.003916402279936615,0.416463730409932
