image_type,S,R,signal_h,variance_hbar,model,n_pairs,n_subjects,pca_selection,pca_weighting,rmse_std,mae_std,mape_std_pct,rmse_iop,mae_iop,mape_iop_pct
cfp,3x4x1,1,1.8,0.25,vf_pca_only_linear,273,119,nested_patient_grouped_cv,subject_equal,0.9747530423674031,0.7749565678039562,425.19557075183127,4.073426283492878,3.2384904838986217,20.967913514436397
cfp,3x4x1,1,1.8,0.25,sex_vf_pca_only_linear,273,119,nested_patient_grouped_cv,subject_equal,0.97574721531095,0.7751512428203419,401.25360741500157,4.07758086421493,3.239304017474839,20.92097341937059
cfp,3x4x1,1,1.8,0.25,x_vf_pca_paired_vctr,273,119,nested_patient_grouped_cv,subject_equal,0.9769061114788097,0.7792741459400058,558.1799359812436,4.082423812023058,3.2565333475738196,20.963154362695864
cfp,3x4x1,1,1.8,0.25,x_sex_vf_pca_paired_vctr,273,119,nested_patient_grouped_cv,subject_equal,0.9771317741411343,0.7784469588871271,553.3931926829096,4.083366840851861,3.253076589465758,20.915861458184935
cfp,3x4x1,1,1.8,0.25,x_only_paired_vctr,273,119,nested_patient_grouped_cv,subject_equal,0.9956911495762637,0.8006169830976927,425.8391457739217,4.160925201192092,3.3457236040425564,21.588078423796585
cfp,3x4x1,1,1.8,0.25,x_sex_paired_vctr,273,119,nested_patient_grouped_cv,subject_equal,0.9958947851866986,0.8005521849074188,416.4303877750086,4.161776180477867,3.345452816838093,21.56989095016776
cfp,3x4x1,1,1.8,0.25,x_vf_pca_linear,273,119,nested_patient_grouped_cv,subject_equal,0.9996716205733118,0.7897558418136039,510.07875422967413,4.177559317194109,3.3003356376014508,21.362048064580392
cfp,3x4x1,1,1.8,0.25,x_sex_vf_pca_linear,273,119,nested_patient_grouped_cv,subject_equal,1.0003059756756452,0.7900892246798441,521.4012390357756,4.18021024377202,3.301728821793533,21.37063155093054
cfp,3x4x1,1,1.8,0.25,x_vf_pca_iid_vctr,273,119,nested_patient_grouped_cv,subject_equal,1.006085552881829,0.7909670534326824,708.5405296082124,4.204362701549394,3.3053972081014455,21.18513847165497
cfp,3x4x1,1,1.8,0.25,x_sex_vf_pca_iid_vctr,273,119,nested_patient_grouped_cv,subject_equal,1.0063604142365883,0.7904952136188029,700.2697713295788,4.205511328348315,3.303425421796694,21.15217423953567
roi,6x2x1,1,0.85,0.3,x_sex_vf_pca_iid_vctr,273,119,nested_patient_grouped_cv,subject_equal,0.9400574145155769,0.7386216381064082,737.9200682328885,3.928435628146304,3.086649298279557,19.825954550446472
roi,6x2x1,1,0.85,0.3,x_vf_pca_linear,273,119,nested_patient_grouped_cv,subject_equal,0.9403945635509647,0.7319346598911212,680.0520168598628,3.9298445509016187,3.058704873758307,19.618535037995883
roi,6x2x1,1,0.85,0.3,x_vf_pca_iid_vctr,273,119,nested_patient_grouped_cv,subject_equal,0.9409665942821834,0.7397885046920923,753.7260010276473,3.9322350281961054,3.0915255539185353,19.91720909042954
roi,6x2x1,1,0.85,0.3,x_sex_vf_pca_linear,273,119,nested_patient_grouped_cv,subject_equal,0.9412790119990201,0.7352031629996192,691.1608086713092,3.9335406004630062,3.0723637246581186,19.71770978547163
roi,6x2x1,1,0.85,0.3,x_sex_vf_pca_paired_vctr,273,119,nested_patient_grouped_cv,subject_equal,0.9430102797336677,0.7481314037341854,614.8106853616216,3.940775449894149,3.1263899582973624,20.109747445026528
roi,6x2x1,1,0.85,0.3,x_vf_pca_paired_vctr,273,119,nested_patient_grouped_cv,subject_equal,0.9443109658309013,0.7494603760975989,620.5316565684282,3.946210928117615,3.131943642892197,20.23837153355394
roi,6x2x1,1,0.85,0.3,x_sex_paired_vctr,273,119,nested_patient_grouped_cv,subject_equal,0.9630297352192858,0.7650887070402468,496.22356104855345,4.024435384884734,3.1972533688042013,20.585097868078662
roi,6x2x1,1,0.85,0.3,x_only_paired_vctr,273,119,nested_patient_grouped_cv,subject_equal,0.9639746644965881,0.7665923523839946,504.01214662443124,4.028384179694194,3.203536999834886,20.696018074211675
roi,6x2x1,1,0.85,0.3,vf_pca_only_linear,273,119,nested_patient_grouped_cv,subject_equal,0.9743944147823586,0.7747911654254003,427.1778431132724,4.071927603347845,3.2377992786734247,20.961324634998356
roi,6x2x1,1,0.85,0.3,sex_vf_pca_only_linear,273,119,nested_patient_grouped_cv,subject_equal,0.9753200719384251,0.7749714490991538,403.39162120418564,4.075795861281021,3.238552671813259,20.916060462659445
