n_subject,coef_type,rep,seed,success,error_message,elapsed_seconds,covariance_mode,signal_bandwidth_input,signal_bandwidth_method,best_signal_bandwidth,variance_bandwidth_input,variance_bandwidth_method,best_variance_bandwidth,sigma2_true,sigma2_function,rho_true,rho_error,miae_iid,rmise_iid,beta_mae_iid,beta_rmse_iid,miae_final,rmise_final,beta_mae_final,beta_rmse_final,sigma2_miae,sigma2_rmise,rho_abs_error,Sigma_fro_error
1000,base5,1,144,1,,1020.1146143939113,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.3,-0.0658237614469897,0.07536543080206065,0.09934215150545804,0.024112632249173732,0.028138533243208665,0.07771288811732129,0.10335222340952595,0.02177181725803297,0.02748383301920144,0.27349671336976883,0.3296234842908549,0.0658237614469897,
1000,base5,1,144,1,,1087.2034043329768,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.6,-0.21850645392650025,0.07528250551611751,0.09919932832532846,0.026010762297029533,0.029412807870189624,0.07503643587764776,0.10035134296802244,0.022705706308777676,0.02852099353463482,0.2672751624030784,0.3224942747325,0.21850645392650025,
1000,base5,2,145,1,,1087.2424492059508,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.3,-0.16185466492216488,0.07760290166291431,0.10334853010790523,0.03563930277130968,0.03899403470026403,0.0800040639687452,0.10786339808138638,0.034228567368987634,0.04152257881589757,0.2731374400500067,0.33525851775994236,0.16185466492216488,
1000,base5,1,144,1,,1113.8206426849356,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.0,0.045199456915577106,0.07563748837000804,0.10123003913121231,0.02029312199258612,0.030355188496219786,0.07903980476040957,0.10680832503240995,0.016837584026639624,0.026854098302818694,0.27361601755354364,0.32363314310162605,0.045199456915577106,
1000,base5,3,146,1,,1119.6335228210082,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.0,0.09001663228526885,0.07560437982929165,0.10432852368512718,0.01974968315662856,0.025161046743080943,0.07785857086168164,0.10834185012159589,0.021114148230646668,0.02497904053200796,0.2898446616570885,0.3689662017476096,0.09001663228526885,
1000,base5,2,145,1,,1122.8161445499863,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.6,-0.31530532664182537,0.07730323074928268,0.10307760509411733,0.03933639381294668,0.042429486511315735,0.07806868596143632,0.10596955276299762,0.03695103048441446,0.043824762895582015,0.27658946975249904,0.339472937110908,0.31530532664182537,
1000,base5,3,146,1,,1180.048748517991,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.6,-0.3116530415303831,0.07988618027205067,0.10854526703675615,0.02132278077796422,0.029694132072457278,0.07914481684982713,0.10909243086468418,0.02030429590734159,0.02563606269299708,0.24151892001592382,0.308802284571227,0.3116530415303831,
1000,base5,2,145,1,,1188.3629348180257,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.0,-0.03899497129382868,0.07858833138092354,0.10576331160604717,0.049634369981463575,0.04996559537759796,0.08103860326815845,0.10978944391587334,0.04268849122406633,0.04504061543829697,0.26117450576463364,0.3280516239270891,0.03899497129382868,
1000,base5,0,143,1,,1197.1133533719694,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.0,0.038106864020265675,0.07905326699438334,0.10573731996788148,0.01732858419084332,0.02093752216941795,0.08163811400794044,0.11005826494163959,0.027286382617698918,0.032938595595119385,0.2752722017933421,0.36650273933635086,0.038106864020265675,
1000,base5,0,143,1,,1224.974558857968,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.3,-0.17507643173431248,0.07967543741346707,0.10831799310468183,0.030605408738794082,0.03645937341355111,0.08192456414259085,0.11227454789929463,0.026516942314393277,0.033987003360651344,0.29357338091443896,0.3824954198360317,0.17507643173431248,
1000,base5,0,143,1,,1230.7275075489888,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.6,-0.33316052347888964,0.07950311603734567,0.10818666563177431,0.0357541163893626,0.04213356060480011,0.07972001658958286,0.109762487495291,0.03155194280078025,0.04011438959164371,0.2921349846838652,0.3818007962761077,0.33316052347888964,
1000,base5,3,146,1,,1270.9424585590605,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.3,-0.15126267756128187,0.07922878890672051,0.10808365620951679,0.01930322430905876,0.027587795476340132,0.08107916505609178,0.111384152653173,0.018352256222977315,0.024310704661673174,0.23582640468074487,0.3013915623411379,0.15126267756128187,
1000,base5,1,144,1,,1054.1006588460878,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.9,-0.3757885630966872,0.07501635979291825,0.0987305334267264,0.028166515331013692,0.030764994847254912,0.07012547376575674,0.09526351093159803,0.022468081863520437,0.02861965592517271,0.26054998861687423,0.3155292359974366,0.3757885630966872,
1000,base5,0,143,1,,1141.8633840450784,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.9,-0.4904727715026066,0.07922851013529023,0.10789523083306958,0.041415059201357296,0.048381257960502085,0.07553023862380107,0.10512309110811728,0.03751235632196451,0.04756763065153335,0.288929441719812,0.37849212086254364,0.4904727715026066,
1000,base5,2,145,1,,1081.0588082729373,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.9,-0.4692531551096406,0.07682342733916504,0.10267010158048519,0.04250267075385282,0.044996561479465076,0.07386758600348582,0.10199136226849549,0.03800144975714724,0.04333761964171632,0.27798440126080876,0.34139801819059284,0.4692531551096406,
1000,base5,1,144,1,,1069.2072550860466,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,0.0,0.05173064769767566,0.07509490070556706,0.10080614152771353,0.018969682285671446,0.030339937419843418,0.07847023846061021,0.1063480125774882,0.019656178556340387,0.02875407307369912,0.27107616324419614,0.30775819638872415,0.05173064769767566,
1000,base5,3,146,1,,1089.0524664770346,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.9,-0.4777332269236006,0.08039853076817924,0.1088337168428561,0.023431493124189823,0.031781961351901165,0.07537093672265045,0.10462517252671519,0.0225030294877466,0.027289255374283873,0.2547587897757497,0.32381140884569004,0.4777332269236006,
1000,base5,0,143,1,,1085.7151814630488,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,0.0,0.04036581884156549,0.07870324363957323,0.1056348869551643,0.01773497261776344,0.021115816451718575,0.08114273716432448,0.10978318815937359,0.028148493203126373,0.032980962714511,0.2630818652205519,0.3285765555397978,0.04036581884156549,
