n_subject,coef_type,rep,seed,success,error_message,elapsed_seconds,covariance_mode,signal_bandwidth_input,signal_bandwidth_method,best_signal_bandwidth,variance_bandwidth_input,variance_bandwidth_method,best_variance_bandwidth,sigma2_true,sigma2_function,rho_true,rho_error,miae_iid,rmise_iid,beta_mae_iid,beta_rmse_iid,miae_final,rmise_final,beta_mae_final,beta_rmse_final,sigma2_miae,sigma2_rmise,rho_abs_error,Sigma_fro_error
1000,base1,0,123,1,,1145.2866850621067,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.0,-0.021261367734558924,0.054314468755742966,0.08031985976942078,0.01864250790770372,0.01943599220535923,0.054275296750480186,0.08038266110785247,0.020431982320874606,0.02208864146951542,0.2937078437833053,0.32819794680203945,0.021261367734558924,
1000,base1,0,123,1,,1169.4151177250315,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.3,-0.15653202359351984,0.053485999285072805,0.07495204450110049,0.02090935958763135,0.025009690703425787,0.05254587075151603,0.07393623448115501,0.0233862900522592,0.026950090753382717,0.33044523068453907,0.3626931425163018,0.15653202359351984,
1000,base1,0,123,1,,1032.1879421391059,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.6,-0.23019326896959064,0.05372846009833205,0.07477084945630705,0.020974990760513096,0.02583202471227762,0.048236263862844665,0.06830848266988418,0.02529090275134041,0.02842616705424254,0.3421707532382765,0.37575660696451096,0.23019326896959064,
1000,base1,0,123,1,,1008.1768371160142,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.9,-0.2950828646565309,0.054289071887195506,0.07499317680834282,0.020250903582362367,0.026113066314477535,0.03914381174080276,0.0565554637783034,0.025881361321355878,0.028838485969737662,0.3527322373740275,0.38805101066676884,0.2950828646565309,
1000,base2,0,123,1,,1077.9247133489698,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.0,-0.028618225619361618,0.05503347035168069,0.08001360634252724,0.016879163019353577,0.018606219606053614,0.054890423572505585,0.07999056182477031,0.01880712570494948,0.021026338000590346,0.29124596098773053,0.32541757687000045,0.028618225619361618,
1000,base2,0,123,1,,1204.6414088059682,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.3,-0.1433160488073829,0.051291883747197814,0.07293124893286106,0.01721376227058738,0.02218638677275362,0.050606200825794805,0.07201079733702875,0.01984159204539762,0.02401557220993497,0.329074227177418,0.3630948581238632,0.1433160488073829,
1000,base2,0,123,1,,1041.2709723089356,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.6,-0.21385099047822625,0.05129656167914932,0.07279395753463987,0.01727939344346824,0.023092738465067666,0.04639531595919909,0.06650738831611497,0.022170179278099444,0.025567509500644372,0.34136684016212326,0.3766102148889614,0.21385099047822625,
1000,base2,0,123,1,,1072.319327272009,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.9,-0.27441702846993243,0.05185989312299665,0.07318131106274746,0.017101058825272908,0.023500876932427958,0.037150751829869405,0.05473115563123631,0.023188677434366062,0.02607324104324028,0.35274282814862123,0.38961467533027344,0.27441702846993243,
1000,base3,0,123,1,,1123.1755929049104,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.0,-0.044945126460886255,0.0680890053306431,0.09351786466913205,0.01203074013595025,0.01507355401741785,0.06925262695441572,0.09478832411523763,0.015993761151181354,0.019213357801272174,0.17526335714016125,0.2512812797933635,0.044945126460886255,
1000,base3,0,123,1,,1061.5424811758567,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.3,-0.18943843007782996,0.06768711072253121,0.08881512839465956,0.014834284082589244,0.022047584716919862,0.06801134263895539,0.08930667863138214,0.01835341893312492,0.025371258484832925,0.19164192579066083,0.2656775947445736,0.18943843007782996,
