n_subject,coef_type,rep,seed,success,error_message,elapsed_seconds,bandwidth_input,bandwidth_method,best_bandwidth,sigma2_true,rho_true,miae_iid,rmise_iid,beta_mae_iid,beta_rmse_iid,miae_final,rmise_final,beta_mae_final,beta_rmse_final,sigma2_abs_error,rho_abs_error,Sigma_fro_error
500,sqrt,0,123,1,,9.544667416950688,0.13,fixed,0.13,1.0,0.0,0.05678112504488076,0.07525414187127422,0.010126712146008465,0.01020742381658216,0.05661417879527019,0.07481830355928513,0.009765361255621219,0.009861827389669996,0.06975877282693077,0.04864472873812055,0.11759225695843185
500,sqrt,3,126,1,,9.562442583031952,0.13,fixed,0.13,1.0,0.0,0.07168742905087647,0.09338082085855241,0.026659348734395127,0.027631075195866783,0.07249214877614082,0.09510190239480026,0.026743315685334723,0.02796088111077825,0.09780503691239184,0.0842444856724971,0.17517178863887534
500,sqrt,5,128,1,,9.667645790963434,0.13,fixed,0.13,1.0,0.0,0.0679387481827337,0.08992358767950732,0.014054972053102244,0.018473939753560677,0.06775273921831049,0.08970911486892252,0.013874703624299878,0.01773858805989028,0.13580778833361473,0.059921345074270986,0.20554947059011922
500,sqrt,4,127,1,,9.696012125001289,0.13,fixed,0.13,1.0,0.0,0.07056899632507208,0.09147384098898255,0.020129476452443784,0.027273914680673896,0.07061640350643068,0.09156684361382524,0.020105563757823575,0.02728317194300949,0.16640928714048198,0.009347438883278537,0.2355961168957266
500,sqrt,6,129,1,,9.69468962494284,0.13,fixed,0.13,1.0,0.0,0.07151569817573633,0.09193416576930763,0.02569066616528759,0.028602556914723562,0.07136196279137912,0.09185096332649881,0.025363968020795546,0.02826880074911004,0.14755454301820692,0.03630043998221753,0.21321296060198444
500,sqrt,7,130,1,,9.69664737500716,0.13,fixed,0.13,1.0,0.0,0.06037323202413566,0.08506314822368431,0.0235532945870931,0.031082897304909405,0.06035287967686104,0.0850354201680096,0.023471269402210115,0.030970777406004873,0.12411302241433186,0.008181158027968712,0.17581462162934905
500,sqrt,1,124,1,,9.765175791922957,0.13,fixed,0.13,1.0,0.0,0.06684945446149021,0.08938120775743745,0.016551369211418088,0.016727886163927015,0.06747172106078383,0.08949686932652552,0.016339088714311334,0.016502570779188878,0.13243901101482924,0.07042260875486851,0.20626585575388234
500,sqrt,2,125,1,,9.81835058296565,0.13,fixed,0.13,1.0,0.0,0.07125698244577537,0.09331425685721383,0.0294247789429678,0.036391193962996615,0.07112973348716034,0.09315185895048467,0.029594080378271492,0.03645843294812557,0.15219264556351464,0.023767913609014826,0.21711125500939207
500,sqrt,12,135,1,,9.74548879195936,0.13,fixed,0.13,1.0,0.0,0.06871747887221202,0.09204361646916508,0.04929656364463675,0.049735445922877895,0.06846407513106455,0.09192832963195517,0.04866824205220155,0.04911098746751431,0.1596940555188303,0.03512758371712876,0.229667145305714
500,sqrt,9,132,1,,9.937164874980226,0.13,fixed,0.13,1.0,0.0,0.05901488757096158,0.07448248290770333,0.034169685193107036,0.04220684901115388,0.0589316531408977,0.07432463069984453,0.03422445819366127,0.042235748149438965,0.13502672350778022,0.013174720804538293,0.19163548677343478
500,sqrt,8,131,1,,10.103884666925296,0.13,fixed,0.13,1.0,0.0,0.07032066477978183,0.09349967930666218,0.04527972714934925,0.05937984734496959,0.07029215612403396,0.09342644951982394,0.045346425290295755,0.05940598159488019,0.11664431615057258,0.009689349677435491,0.16540347882617337
500,sqrt,14,137,1,,9.853565083933063,0.13,fixed,0.13,1.0,0.0,0.06631477022705692,0.08408599816625006,0.04070149891598929,0.042573478790686736,0.06663283669473295,0.08447097778535534,0.04041452161221959,0.0422522085652164,0.16517956417943558,0.04789597673023079,0.24034580035837247
500,sqrt,11,134,1,,9.90969779191073,0.13,fixed,0.13,1.0,0.0,0.05922809523179304,0.07753258279456844,0.03283551819985586,0.03676529653283477,0.05915699085090276,0.07746400280150748,0.032769124499070434,0.036714051356712414,0.14387504567304343,0.004897898578708059,0.20355643838668322
500,sqrt,10,133,1,,9.945976000046358,0.13,fixed,0.13,1.0,0.0,0.0641865725545051,0.07965345499214115,0.050876766217494485,0.05115569340559906,0.06411501159568757,0.07958342922485488,0.05108959845773464,0.051353552643403674,0.15669387327341522,0.041970423300175676,0.22718142154790524
500,sqrt,13,136,1,,10.027397249941714,0.13,fixed,0.13,1.0,0.0,0.06504760950017237,0.08524884423303238,0.018243554803404116,0.01824437728210082,0.06506216202730077,0.08542603629480047,0.018242913994833465,0.01824575937378079,0.23765383040115196,0.026514766768823105,0.3373067621392803
500,sqrt,15,138,1,,9.946828708052635,0.13,fixed,0.13,1.0,0.0,0.07528113993652115,0.10124061025618046,0.013508308974571781,0.018952307061852025,0.07533076987786394,0.10125182012242165,0.013440696528554952,0.0188893787795892,0.0919507607097485,0.006570475597161146,0.13031146775452424
500,sqrt,16,139,1,,10.478276624926366,0.13,fixed,0.13,1.0,0.0,0.06138436961619814,0.07896784484910888,0.020551435504133186,0.021835094492949854,0.06138450295533631,0.07896381794784862,0.02054175847870976,0.02183213732060784,0.15590683020775942,0.0037161473280509123,0.2205301750789741
500,sqrt,17,140,1,,10.469157167011872,0.13,fixed,0.13,1.0,0.0,0.06798497275773367,0.08724422720078902,0.016655228813509337,0.016659249004493462,0.06806542327976413,0.08712666110462439,0.016545901750242287,0.016546845630067322,0.1549455858181713,0.04640179352792674,0.2260341508734118
500,sqrt,19,142,1,,10.53523237502668,0.13,fixed,0.13,1.0,0.0,0.06380251189158577,0.08231006512901981,0.03472509537514901,0.04207536712526978,0.0637561214541007,0.08226464813678522,0.03466422755876186,0.042046306345637885,0.12362002853852061,0.00837509649183282,0.17513299879179067
500,sqrt,18,141,1,,10.651664083008654,0.13,fixed,0.13,1.0,0.0,0.06535812757718068,0.08858989672837056,0.0070101141137894896,0.007164799637388685,0.06480332053638603,0.08819263292674095,0.0070718155737388155,0.007100516542282772,0.15255811479837933,0.0721234566486409,0.2324206804079751
500,sqrt,21,144,1,,10.622297208057716,0.13,fixed,0.13,1.0,0.0,0.06813349647696684,0.08744242684717929,0.041018766172522536,0.04900245445660112,0.06812939840039585,0.08745308861319347,0.04099601155824395,0.048979045291474406,0.19313188518859825,0.003677249325653553,0.2731619610899226
500,sqrt,20,143,1,,10.684434458962642,0.13,fixed,0.13,1.0,0.0,0.06790737396484195,0.08881804628830423,0.03040038442483861,0.03041940000250674,0.06788902938014056,0.08881747447478677,0.03032667085074703,0.030347210148359883,0.0732964669487769,0.013304069117383882,0.10511302991758785
500,sqrt,22,145,1,,10.680121875018813,0.13,fixed,0.13,1.0,0.0,0.06031195802831643,0.0807725553884016,0.01313652505308549,0.013736748807003315,0.0603794842490282,0.08079859601578387,0.01197118632773142,0.012731852925626364,0.1047579423930538,0.06315363731515419,0.1683493299245116
500,sqrt,23,146,1,,10.751793292001821,0.13,fixed,0.13,1.0,0.0,0.06304639594553109,0.08118333061493427,0.03767193505542843,0.04891179355300892,0.06320490247877107,0.08137563126645417,0.03759140352678547,0.048953788242107533,0.14613754249694821,0.05709702197983112,0.21786710021336084
500,sqrt,24,147,1,,11.750672583002597,0.13,fixed,0.13,1.0,0.0,0.0633423634231334,0.08880752443562406,0.027536232104155234,0.028352445062582946,0.06333312664756051,0.0886712414156651,0.02763137760960488,0.028420842724556562,0.08212250290816947,0.03227248509590728,0.12346318881847199
500,sqrt,25,148,1,,11.886814291006885,0.13,fixed,0.13,1.0,0.0,0.06972089786101712,0.09103477112538509,0.049303565284945394,0.049336931073837374,0.06939392056359782,0.09087690685788236,0.04946104967290532,0.049506811796710994,0.1127725023711732,0.031414006381363345,0.16428299103624927
500,sqrt,27,150,1,,11.850644999998622,0.13,fixed,0.13,1.0,0.0,0.05873025101639483,0.08343105280901575,0.05022134591602434,0.05078222165812065,0.05878781792955945,0.0835122644800714,0.05023021008254913,0.05077812398533845,0.12917099769767992,0.015760534217557264,0.183703646494587
500,sqrt,26,149,1,,11.9923180420883,0.13,fixed,0.13,1.0,0.0,0.06853976367240182,0.0919544101312412,0.034223268158466436,0.03423272277625199,0.06859621758330572,0.09236221194311128,0.03416479827065855,0.03417519070332211,0.14939009582459106,0.04012593015658996,0.21671345574965692
500,sqrt,29,152,1,,11.850675291963853,0.13,fixed,0.13,1.0,0.0,0.06721202104802097,0.09121160810096117,0.005887788082413081,0.008278026765673432,0.0672003358365691,0.09121535713724287,0.005886336149232507,0.008265699199537341,0.12392541967185777,0.0031363065242462017,0.17530008076292591
500,sqrt,28,151,1,,11.941238416009583,0.13,fixed,0.13,1.0,0.0,0.07032741369127982,0.091603676553796,0.03498457388020637,0.03694777044230676,0.07086223381905643,0.09199108040537972,0.034620959036053556,0.036502955027759625,0.07211112269776321,0.05664943832581436,0.1261984821892103
500,sqrt,0,123,1,,12.045965958037414,0.13,fixed,0.13,1.0,0.3,0.0664843983353856,0.08467181610502074,0.014140968524949615,0.01930985618456162,0.06274123509370715,0.0801712744937681,0.014367730574489812,0.018591981449167228,0.08894388276827991,0.012384126681101837,0.13676561110734453
500,sqrt,1,124,1,,12.056943416013382,0.13,fixed,0.13,1.0,0.3,0.0673768351682189,0.08605122419953738,0.029191139184527204,0.029623955483110663,0.06202195138174735,0.08018219146380776,0.029244880066139345,0.029479786055596813,0.10280411887052354,0.023032402291603304,0.1460975786867622
500,sqrt,2,125,1,,11.411955083021894,0.13,fixed,0.13,1.0,0.3,0.07174093060226094,0.09452761631295392,0.016775275657957778,0.019370348626045607,0.07200071072963869,0.0939134969006402,0.01426787980466937,0.01717791758837645,0.1363475354441559,0.01235830161274748,0.20615961232306657
