part,n_subject,coef_type,rho_true,rep,seed
8,5000,base3,0,1,145
8,5000,base3,0,2,146
8,5000,base3,0.3,0,144
8,5000,base3,0.3,1,145
8,5000,base3,0.3,2,146
8,5000,base3,0.6,0,144
8,5000,base3,0.6,1,145
8,5000,base3,0.6,2,146
8,5000,base3,0.9,0,144
8,5000,base3,0.9,1,145
8,5000,base3,0.9,2,146
8,5000,base4,0,0,144
8,5000,base4,0,1,145
8,5000,base4,0,2,146
8,5000,base4,0.3,0,144
8,5000,base4,0.3,1,145
8,5000,base4,0.3,2,146
8,5000,base4,0.6,0,144
8,5000,base4,0.6,1,145
8,5000,base4,0.6,2,146
8,5000,base4,0.9,0,144
8,5000,base4,0.9,1,145
8,5000,base4,0.9,2,146
