source_part,source_manifest,n_subject,coef_type,rep,seed,success,error_message,elapsed_seconds,covariance_mode,signal_bandwidth_input,signal_bandwidth_method,best_signal_bandwidth,variance_bandwidth_input,variance_bandwidth_method,best_variance_bandwidth,sigma2_true,rho_true,miae_iid,rmise_iid,beta_mae_iid,beta_rmse_iid,miae_final,rmise_final,beta_mae_final,beta_rmse_final,sigma2_miae,sigma2_rmise,rho_abs_error,Sigma_fro_error
8,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part8_missing.csv,5000,base3,2,146,1,,33462.499497690995,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.04878242742533062,0.060141385196983775,0.012192222496333546,0.016056382992076044,0.0506131211019471,0.06272817420405895,0.012891512504816488,0.01600262234423854,0.3329687325186283,0.3740018578162633,0.11633881915858851,0.47541878112148744
8,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part8_missing.csv,5000,base4,0,144,1,,39789.87104997801,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.018533865979567743,0.024253715175125694,0.009191031281275283,0.01381159793744285,0.018576918302688133,0.024314921145387,0.009302777014322472,0.013923158411479843,0.10166923713808071,0.10819730218466742,0.01765134352193118,0.14552024009598372
8,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part8_missing.csv,5000,base3,0,144,1,,40876.13687858998,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.049358209611549304,0.06128785161014157,0.017227075137804332,0.018270607655890277,0.050039302179138004,0.06284859399132663,0.01740075214565623,0.018549276172696656,0.35724935748919506,0.39778453480488024,0.24481595135520584,0.5319449773342859
8,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part8_missing.csv,5000,base3,1,145,1,,40914.115792647994,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.04970073859962575,0.06149439226257668,0.011294261531687652,0.012842688651365225,0.04867678776568453,0.061421407421628084,0.013514445886447624,0.014912182663153225,0.3468150638131084,0.38334853842046346,0.35535321561295974,0.54403778344707
8,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part8_missing.csv,5000,base3,1,145,1,,44427.620664171,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.04962748080023807,0.06140898176066872,0.01091824192471183,0.011855993599431739,0.05032294308330994,0.0628552844979414,0.012802108117027505,0.013597633812232566,0.3513435470214711,0.38786563888210596,0.24567241048224603,0.5255909168343367
8,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part8_missing.csv,5000,base3,2,146,1,,45096.08950079203,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.0485549924316689,0.06015991194943374,0.006724366091244993,0.008331075536463893,0.0506395601238449,0.06299490271122661,0.007053790054088016,0.008236154902297583,0.3414773788862173,0.38196656322767136,0.01662390562908131,0.4808595748129148
8,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part8_missing.csv,5000,base3,1,145,1,,46326.88769171701,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.04870394035505383,0.05995741477609507,0.01128983289244001,0.013251829687108333,0.050583226351251336,0.06253809751070158,0.012229280701458567,0.01389980703038177,0.36097233882186164,0.3986735087415605,0.0013319617535716532,0.5104984143062392
8,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part8_missing.csv,5000,base3,1,145,1,,46461.32617068302,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.04957530281420421,0.06132441256065348,0.010326374652227119,0.010830986126484355,0.05113552388337928,0.06358959913241441,0.011810406055771078,0.01228630104091613,0.35582250113952457,0.392330020793259,0.13414596112890959,0.5142981113811683
8,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part8_missing.csv,5000,base3,2,146,1,,46885.83932125702,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.04882643395960913,0.06010451733683931,0.01338328774494403,0.01768899750140026,0.04980893202452119,0.06186857342293437,0.014126567246183941,0.017545134405837107,0.3326249834281296,0.3731481376832092,0.23287595942267908,0.494599159387503
8,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part8_missing.csv,5000,base3,0,144,1,,46909.37704931904,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.04915703389075475,0.061099996882754394,0.016157259094868703,0.016997792217639012,0.05079349157444993,0.0635689401909149,0.016277309654747385,0.01722614893882746,0.3585076642416617,0.3999725170313673,0.12879890254047152,0.5156997749940647
8,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part8_missing.csv,5000,base3,2,146,1,,47051.091407954984,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.04888510508355625,0.06004485820480789,0.014473933255238325,0.019206225907566876,0.048252690535631484,0.060340645440516684,0.015134228538016534,0.01894610303289176,0.3328360829804063,0.37271235979842504,0.3496583402027824,0.5256657549897659
8,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part8_missing.csv,5000,base3,0,144,1,,49213.013956081006,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.04961529766970839,0.06154674290097749,0.018214694526821673,0.019501769024695945,0.04869573657517574,0.06163725596635853,0.01858639782126212,0.02004689853767108,0.35582687617439196,0.39513991478539634,0.35931094392119034,0.5558088857801876
8,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part8_missing.csv,5000,base4,1,145,1,,26593.833021959,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.01852810665942469,0.02458752059165415,0.009337961265343447,0.010725853031185555,0.018526422431320685,0.024579829202991853,0.009232673949720466,0.010854490365767954,0.07775697259813806,0.0838633653674711,0.016030404158453665,0.1119349036572985
8,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part8_missing.csv,5000,base4,0,144,1,,25273.944548751984,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.017963039170819702,0.02369289942984868,0.00984168843001998,0.01151453604367259,0.017267031998547882,0.022932912548707402,0.009664450791049495,0.011405828382033452,0.0968411976825015,0.10089874444708395,0.02515027582064533,0.15529356246589915
8,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part8_missing.csv,5000,base4,0,144,1,,24087.45272074896,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.0180522853995586,0.023736121503438953,0.010911504472956413,0.012763580173980856,0.01515015198026527,0.02017011863606544,0.010525711889082912,0.012523060845626372,0.09712001058452566,0.10073693434568308,0.05001329977866387,0.2006472054154429
8,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part8_missing.csv,5000,base4,1,145,1,,23795.263826033042,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.018539438264755296,0.02426708563704032,0.011395524625795517,0.012575635499241991,0.015677877417823,0.020849465828904488,0.010628707214877686,0.012734993749408376,0.08310888082384245,0.09286972144323646,0.056604261912382436,0.1858131156423224
8,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part8_missing.csv,5000,base4,2,146,1,,23705.51799991395,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.018750389760346552,0.024599131729372038,0.01217970604267582,0.01633778390009618,0.01579713957436569,0.02066346344801341,0.012295296271484735,0.01605899526475092,0.10879204358536458,0.11104374246966231,0.054078165777243115,0.22231138689682617
8,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part8_missing.csv,5000,base4,2,146,1,,32120.988474202983,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.01877050898414587,0.024681815574256374,0.0070134320430183805,0.009451408522446438,0.018794830892386656,0.024725472464601564,0.007165845996649461,0.009693369247143188,0.10227079443511587,0.10784554749092053,0.00949426688778756,0.14513415661228363
