source_label,n_subject,coef_type,rho_true,rep,seed
old_snapshot_part1,2000,base1,0.0,0,123
old_snapshot_part1,2000,base1,0.3,0,123
old_snapshot_part1,2000,base1,0.6,0,123
old_snapshot_part1,2000,base1,0.9,0,123
old_snapshot_part1,2000,base2,0.0,0,123
old_snapshot_part1,2000,base2,0.3,0,123
old_snapshot_part1,2000,base2,0.6,0,123
old_snapshot_part1,2000,base2,0.9,0,123
old_snapshot_part1,2000,base3,0.0,0,123
old_snapshot_part1,2000,base3,0.3,0,123
old_snapshot_part1,2000,base3,0.6,0,123
old_snapshot_part1,2000,base3,0.9,0,123
old_snapshot_part1,2000,base4,0.0,0,123
old_snapshot_part1,2000,base4,0.3,0,123
old_snapshot_part1,2000,base4,0.6,0,123
old_snapshot_part1,2000,base4,0.9,0,123
old_snapshot_part1,5000,base1,0.0,0,123
old_snapshot_part1,5000,base1,0.3,0,123
old_snapshot_part1,5000,base1,0.6,0,123
old_snapshot_part1,5000,base1,0.9,0,123
old_snapshot_part1,5000,base2,0.0,0,123
old_snapshot_part1,5000,base2,0.3,0,123
old_snapshot_part1,5000,base2,0.6,0,123
old_snapshot_part1,5000,base2,0.9,0,123
backfill_part1,5000,base3,0.0,0,123
backfill_part1,5000,base3,0.3,0,123
backfill_part1,5000,base3,0.6,0,123
backfill_part1,5000,base3,0.9,0,123
backfill_part1,5000,base4,0.0,0,123
backfill_part1,5000,base4,0.3,0,123
backfill_part1,5000,base4,0.6,0,123
backfill_part1,5000,base4,0.9,0,123
old_snapshot_part1,2000,base1,0.0,1,124
old_snapshot_part1,2000,base1,0.3,1,124
old_snapshot_part1,2000,base1,0.6,1,124
old_snapshot_part1,2000,base1,0.9,1,124
old_snapshot_part1,2000,base2,0.0,1,124
old_snapshot_part1,2000,base2,0.3,1,124
old_snapshot_part1,2000,base2,0.6,1,124
old_snapshot_part1,2000,base2,0.9,1,124
old_snapshot_part1,2000,base3,0.0,1,124
old_snapshot_part1,2000,base3,0.3,1,124
old_snapshot_part1,2000,base3,0.6,1,124
old_snapshot_part1,2000,base3,0.9,1,124
old_snapshot_part1,2000,base4,0.0,1,124
old_snapshot_part1,2000,base4,0.3,1,124
old_snapshot_part1,2000,base4,0.6,1,124
old_snapshot_part1,2000,base4,0.9,1,124
old_snapshot_part1,5000,base1,0.0,1,124
old_snapshot_part1,5000,base1,0.3,1,124
old_snapshot_part1,5000,base1,0.6,1,124
old_snapshot_part1,5000,base1,0.9,1,124
old_snapshot_part1,5000,base2,0.0,1,124
old_snapshot_part1,5000,base2,0.3,1,124
old_snapshot_part1,5000,base2,0.6,1,124
old_snapshot_part1,5000,base2,0.9,1,124
backfill_part1,5000,base3,0.0,1,124
backfill_part1,5000,base3,0.3,1,124
backfill_part1,5000,base3,0.6,1,124
backfill_part1,5000,base3,0.9,1,124
backfill_part1,5000,base4,0.0,1,124
backfill_part1,5000,base4,0.3,1,124
backfill_part1,5000,base4,0.6,1,124
backfill_part1,5000,base4,0.9,1,124
old_snapshot_part1,2000,base1,0.0,2,125
old_snapshot_part1,2000,base1,0.3,2,125
old_snapshot_part1,2000,base1,0.6,2,125
old_snapshot_part1,2000,base1,0.9,2,125
old_snapshot_part1,2000,base2,0.0,2,125
old_snapshot_part1,2000,base2,0.3,2,125
old_snapshot_part1,2000,base2,0.6,2,125
old_snapshot_part1,2000,base2,0.9,2,125
old_snapshot_part1,2000,base3,0.0,2,125
old_snapshot_part1,2000,base3,0.3,2,125
old_snapshot_part1,2000,base3,0.6,2,125
old_snapshot_part1,2000,base3,0.9,2,125
old_snapshot_part1,2000,base4,0.0,2,125
old_snapshot_part1,2000,base4,0.3,2,125
old_snapshot_part1,2000,base4,0.6,2,125
old_snapshot_part1,2000,base4,0.9,2,125
old_snapshot_part1,5000,base1,0.0,2,125
old_snapshot_part1,5000,base1,0.3,2,125
old_snapshot_part1,5000,base1,0.6,2,125
old_snapshot_part1,5000,base1,0.9,2,125
old_snapshot_part1,5000,base2,0.0,2,125
old_snapshot_part1,5000,base2,0.3,2,125
old_snapshot_part1,5000,base2,0.6,2,125
old_snapshot_part1,5000,base2,0.9,2,125
backfill_part1,5000,base3,0.0,2,125
backfill_part1,5000,base3,0.3,2,125
backfill_part1,5000,base3,0.6,2,125
backfill_part1,5000,base3,0.9,2,125
backfill_part1,5000,base4,0.0,2,125
