part,n_subject,coef_type,rho_true,rep,seed
1,5000,base3,0,0,123
1,5000,base3,0,1,124
1,5000,base3,0,2,125
1,5000,base3,0.3,0,123
1,5000,base3,0.3,1,124
1,5000,base3,0.3,2,125
1,5000,base3,0.6,0,123
1,5000,base3,0.6,1,124
1,5000,base3,0.6,2,125
1,5000,base3,0.9,0,123
1,5000,base3,0.9,1,124
1,5000,base3,0.9,2,125
1,5000,base4,0,0,123
1,5000,base4,0,1,124
1,5000,base4,0,2,125
1,5000,base4,0.3,0,123
1,5000,base4,0.3,1,124
1,5000,base4,0.3,2,125
1,5000,base4,0.6,0,123
1,5000,base4,0.6,1,124
1,5000,base4,0.6,2,125
1,5000,base4,0.9,0,123
1,5000,base4,0.9,1,124
1,5000,base4,0.9,2,125
