n_subject,coef_type,rep,seed,success,error_message,elapsed_seconds,covariance_mode,signal_bandwidth_input,signal_bandwidth_method,best_signal_bandwidth,variance_bandwidth_input,variance_bandwidth_method,best_variance_bandwidth,sigma2_true,rho_true,miae_iid,rmise_iid,beta_mae_iid,beta_rmse_iid,miae_final,rmise_final,beta_mae_final,beta_rmse_final,sigma2_miae,sigma2_rmise,rho_abs_error,Sigma_fro_error
2000,base1,0,126,1,,5174.993672129,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.0368328394992026,0.04735278624449127,0.020646508800477414,0.024562717331454,0.026973658872732946,0.03423166364597088,0.02178630884588101,0.024271275708310815,0.1951179149276242,0.21606696555706023,0.21526886449131588,0.565301328265334
2000,base1,1,127,1,,6389.948598999996,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.03587514939005713,0.046909882604629756,0.01549876004940895,0.019797983981789065,0.03605806509105715,0.047218956876927426,0.013533246247635411,0.018094273731902737,0.16817210281487752,0.1871904146887395,0.0036737463115546205,0.23787053134325462
2000,base1,1,127,1,,6450.529927391006,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.03485829689736638,0.04563017970203354,0.016289625536675345,0.01779581615423279,0.026235027878062804,0.03366176751232319,0.01614117079616928,0.017546153423048324,0.20743579972198184,0.23529965903963393,0.1946374396043692,0.5644109240187847
2000,base1,2,128,1,,6866.041983941017,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.03548731249019405,0.046797467210307885,0.021071371970030783,0.026148674848492644,0.03192198586903334,0.04202335614643048,0.02014032258060762,0.025214964606845473,0.20219650609364037,0.21308639573276297,0.12977614623411315,0.42765089362014974
2000,base1,1,127,1,,8585.666136512998,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.03542251984143563,0.046467690241145346,0.013732656666188947,0.015356800923563403,0.032934614604679634,0.043143623459651344,0.012671853829943708,0.01438405194175064,0.2051731347047153,0.22751374947082897,0.13068045454603555,0.4326948172400031
2000,base1,0,126,1,,8839.917493568995,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.03580435694804146,0.04584647670903705,0.016064994480493394,0.022627248237216648,0.0358832210425412,0.045935259684471486,0.015893335046470863,0.02404356614778124,0.18414221213685572,0.20496538729176725,0.027645927632430338,0.26236268360015896
2000,base1,0,126,1,,8854.655177701992,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.036850841552266735,0.0473653063171056,0.01975921689644347,0.02233718162367127,0.036186101984169015,0.04653754153392974,0.02261213345412849,0.024230525254295834,0.18426168187140182,0.20299499691500414,0.08822167225314823,0.31668116483125713
2000,base1,1,127,1,,8862.99440148304,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.035847110096851396,0.04707286828378349,0.011297687110381094,0.013008120533484683,0.03570428248058262,0.04698644059920525,0.010320010673133206,0.01224476419310389,0.20020917630755514,0.21813730395657263,0.06788133006782612,0.32606890123791404
2000,base1,0,126,1,,9696.058067806967,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.036886985174124795,0.0474097909075658,0.02058561407025518,0.023723754870315902,0.03334677170911803,0.042841380055191204,0.023381073334451788,0.025213298361737146,0.1899142033745671,0.2096040731899763,0.1526879908796161,0.4302084353941799
2000,base1,2,128,1,,10091.677860778,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.03360269365342564,0.04438481441758906,0.016126712676953883,0.018671119270708914,0.03376953956937737,0.04455231713226062,0.015539792162446206,0.018368189802232343,0.20286992163612017,0.21746435088411756,0.07069347211430455,0.2977641380204466
2000,base1,2,128,1,,11259.17879827402,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.035501898579191234,0.04672794087796038,0.020134129935348397,0.024587537828359825,0.034636062757504665,0.045696290086642714,0.01862704148016614,0.02338642246700372,0.2040119688582468,0.21478079083277743,0.06353785268228254,0.32898455751328726
2000,base1,2,128,1,,11515.599803999008,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.035376414399715256,0.046676120464489684,0.021540559331308523,0.027243803876644383,0.026051624630641045,0.03366864498955956,0.0211234433158186,0.026763281022825457,0.2001411715142229,0.21139574069739442,0.1965170157975501,0.554682787726045
2000,base2,0,126,1,,7329.9171833439905,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.03495611913284373,0.04517055039069567,0.016538999264270465,0.023515007087503002,0.035068436060604495,0.045336835302849265,0.016372404130976098,0.025041670694918732,0.18650120264062992,0.20804615908979537,0.021993107671270228,0.26496339213814357
2000,base2,2,128,1,,6498.212514245999,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.03351543313065135,0.04436364009744405,0.014893132317756658,0.02035783491494329,0.03368323057742432,0.04458384433625374,0.014421050851980616,0.019386722561305532,0.20391051636511298,0.22544308142089817,0.0652697408472438,0.29758829911879936
2000,base2,1,127,1,,6741.180600690015,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.034369275168690094,0.045673550385754734,0.010702261820792064,0.01288080135445213,0.03469387258186525,0.04614117854068722,0.009670952383951659,0.012278673781932849,0.1666945037143248,0.19784825614598403,0.008950299857917477,0.23592323946859117
2000,base2,0,126,1,,6669.096306398977,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.03549077801049912,0.046135876793384226,0.021613813940475388,0.023178423857233465,0.03486205301309077,0.04546475838311438,0.024932945421287794,0.026018566250617853,0.18323837171349816,0.2057227443971541,0.0833144498030052,0.3121221309700891
2000,base2,1,127,1,,6665.98271791602,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.03540162196302648,0.046317479269191414,0.019896210578646017,0.02386923342938168,0.03256057529149614,0.04274608692157057,0.01803357762464626,0.022210534108370435,0.20832679170044496,0.23785794353200132,0.14037003812353466,0.4453184308003748
2000,base2,1,127,1,,7513.900641332002,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.03574656108435639,0.046796888049279575,0.017461241022838414,0.021554814579316954,0.03548808658982881,0.04663360052377361,0.016219347109688226,0.020063974837723843,0.2027805669313506,0.22773589281362844,0.08114860363790377,0.33727463574027555
2000,base2,0,126,1,,7442.402240725991,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.035631546281800534,0.04624865845313883,0.022440211114286263,0.024419231961436774,0.03204323368901614,0.04186375491421492,0.026151053514712058,0.027566778177914024,0.1899067300067321,0.21333907441124836,0.14557875611288273,0.42386609904582684
2000,base2,0,126,1,,7894.182277193002,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.03572676854271297,0.04632294388982421,0.022501105844505723,0.025063908826224866,0.025429330377994525,0.03330876123474905,0.025056272084954603,0.02725986943412475,0.19663610172494492,0.22129874019978238,0.2043725395909568,0.5568743941329002
2000,base2,2,128,1,,9184.292820982053,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.03449630213780112,0.045756270094989455,0.015489718955409848,0.02010588845394721,0.03378021229805697,0.04488712609373866,0.01592720294889094,0.01966751561860542,0.2114179749141179,0.22522911798503903,0.06060982103164678,0.33783936182701785
2000,base2,2,128,1,,8801.040135474992,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.03457623216197372,0.045832454941621525,0.016599898790708112,0.02158465251814567,0.031120608792858263,0.041321521439994416,0.01759862015557352,0.021793840651678543,0.20988171333622704,0.22377436525293834,0.12404681596447398,0.43405014526825925
2000,base3,1,127,1,,6878.078393884003,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.05736121223415399,0.07123212939923294,0.016432761883855534,0.017722370224772643,0.059438422939817,0.07392279507407001,0.014741142418957465,0.016718207783017632,0.20921885990644623,0.2520162393417966,0.0004561163411612366,0.24692404226637335
2000,base2,1,127,1,,9076.386218631,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.034748885846028386,0.04565176175958338,0.022453179449135857,0.026225780735930678,0.02548791134041554,0.03334548350360845,0.020740216184921667,0.02487295251298559,0.21130014199400574,0.24646618863565248,0.1986537129592374,0.5743717984464274
2000,base3,0,126,1,,7908.79204494704,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.057606484611173805,0.07138131980882653,0.015464947802175777,0.016688358032155536,0.05935952384134678,0.0736826011081405,0.015782028835044648,0.017582349237392967,0.21531776680948736,0.2513776483164244,0.00047336648038334077,0.23330045684910275
2000,base2,2,128,1,,9069.576737744967,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.03459375183091589,0.045752228658360726,0.01730528526244343,0.022590847874763908,0.02501640558852136,0.032987221999787715,0.018838338112914965,0.023724014461425705,0.2078817975420371,0.22223198893804072,0.1879414398303344,0.5587264581933515
2000,base3,2,128,1,,7755.45646235405,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.056715691482976054,0.07109825785708813,0.011018989434991383,0.011836493778472712,0.05878951621844229,0.07385322084761718,0.011249843965900383,0.012530302953871131,0.18615959864104503,0.22491597056762117,0.03623897142052964,0.18487561528179583
2000,base3,0,126,1,,7527.180329293013,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.05702449510800614,0.07101693099604725,0.02537201531890257,0.027649696954171753,0.05833297487985336,0.07274639846458031,0.029629329961272363,0.030458570029815037,0.21170596169082984,0.24105131873527041,0.1472631814887673,0.28802117649796033
2000,base3,1,127,1,,6716.3907614150085,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.05952137981621924,0.073277977897154,0.01542723372367047,0.017791729973941586,0.06126637298175337,0.07554732868872259,0.01637364153785445,0.019445002295703465,0.19098314807660124,0.22907613599999763,0.1564657959828697,0.2790156566494419
2000,base3,0,126,1,,6762.683414984029,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.05705181300472284,0.07105590284674666,0.02619841249271382,0.02887138876954267,0.05689852839196315,0.07105391006733885,0.030363736849946046,0.031113824456035902,0.20822937185588766,0.2360988597875344,0.27785918690430794,0.3905505867188442
2000,base3,1,127,1,,5799.494035565993,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.0593756008488296,0.07309608862026079,0.017862203279478822,0.01991375192866066,0.059659018122106354,0.07356024438385136,0.019429657957685503,0.022419886124916792,0.19232459836078747,0.22950642974480934,0.2899223828218619,0.3998545903692134
2000,base3,2,128,1,,7751.117540313979,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.05690815879721188,0.07131081909008424,0.023529922863969918,0.0315988704308295,0.058818548953591294,0.07391408129477618,0.01899326199203237,0.026958322342191754,0.20011650721664279,0.23995590384987303,0.11702440868840505,0.23899122415104973
2000,base3,0,126,1,,5477.855766781955,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.057061954192553534,0.07108420148935272,0.026259307222932196,0.029554263678281477,0.05416256787542185,0.06791837123288876,0.02917617941756241,0.029952018480849135,0.20520862358744735,0.23192702236403775,0.4059269424226386,0.5149305483478922
2000,base3,2,128,1,,7807.007524168002,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.056906984869693915,0.07129583461111605,0.024467164898652277,0.03327067092725478,0.05746010411931323,0.07217186927490246,0.019375241802055146,0.028327241845522905,0.20183341390749746,0.24206727204303394,0.2542239049845765,0.35476174392569193
2000,base3,1,127,1,,7043.382515040983,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.05906543443562841,0.07279881906526123,0.020419172149966608,0.022207532665995965,0.056356163651300244,0.06974823326858981,0.02316619044425594,0.02589896019133645,0.19578090202006326,0.2324250785172384,0.42247033411959206,0.5414816418167244
2000,base4,0,126,1,,6555.180921906023,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.031919881736763085,0.04206054461892563,0.016110886819151293,0.021197539183772898,0.031892346912164374,0.0420566724150248,0.015908175630374277,0.022260025014600896,0.22074299508819722,0.2323311456327995,0.01965999406333146,0.3129286757190281
2000,base4,2,128,1,,4390.0738546270295,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.03118621530714288,0.04252972743126513,0.019315637143775308,0.025746222738351834,0.026772818923751066,0.037070745125911415,0.019206885683095823,0.0246590418377159,0.2399325116028153,0.2477011818697885,0.09939013952762488,0.4598892356028089
2000,base4,2,128,1,,7536.494088573032,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.030148704159805865,0.04071592381152487,0.013853549637253187,0.017340050292597078,0.030210476629367815,0.040780746559596084,0.013539944364835008,0.01707864591814147,0.24263631928117446,0.2537750264499237,0.06926018041378337,0.3510667335098633
2000,base3,2,128,1,,8109.282153841981,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.05681217273180115,0.07116954792768145,0.024936352259929573,0.03448503287020542,0.05491512218474394,0.06899966560064316,0.019644305286666205,0.029477645997380147,0.20368442968779288,0.24438167077692574,0.39325053380087294,0.49619702426422724
2000,base4,1,127,1,,7094.92051023501,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.032878928217881805,0.043823623125273714,0.014280840302399317,0.015782284218951878,0.03241070488884435,0.04346526905749561,0.013603027509712123,0.015476355589370463,0.2374270774010041,0.2505344856355869,0.06685214103005815,0.3776409740952969
2000,base4,0,126,1,,8324.755107681965,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.03242965772830864,0.04304960733375075,0.021530885546345496,0.023133669661888567,0.03153845924704407,0.04202306311893966,0.02413569742271117,0.025096930182001258,0.2200930508735015,0.23118990335749187,0.0768950990716063,0.35865494075542886
2000,base4,1,127,1,,9335.752298209001,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.03133217573735936,0.042639551162386755,0.010903347844212041,0.01562951170107668,0.03144353905353867,0.0428895029817957,0.01014718428737224,0.014465606441424483,0.20404348334045216,0.21828386464663202,0.0012161691254045993,0.28856430878420064
2000,base4,2,128,1,,7312.934124988969,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.031154492787063465,0.04247159982560375,0.018378395109092824,0.02416521781878876,0.030056776241567145,0.04126500745426523,0.017784910464030093,0.02284963163473884,0.24213688308414077,0.24982003568951797,0.04488586282617313,0.37418253692827597
2000,base4,0,126,1,,9589.654264212004,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.03250649828424104,0.04312679007757041,0.022357282720159438,0.02446196792134359,0.02810583643832026,0.03779481055690927,0.024986999212932723,0.026069575388984117,0.2261756830017739,0.23809519669554582,0.1280179662381951,0.46102459980984123
2000,base4,1,127,1,,9769.656357884,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.032590828949918535,0.04329073009219701,0.016715809858207087,0.01821695703023944,0.0290332900411836,0.03908849835387015,0.016101227564636944,0.017997309635052732,0.24288977525458993,0.2595289724546039,0.11648081359507967,0.4768967670138364
2000,base4,2,128,1,,7888.035357218992,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.031089978277420875,0.0423969759843514,0.019784824505053686,0.026855044835122546,0.018817002700166334,0.026757791856102477,0.02011699291848973,0.026275479132635247,0.23728616028008276,0.24532728918057933,0.15513835380002183,0.576977506189024
