part,bundle_block,n_subject,coef_type,sigma2_function,rho_true,rep,seed
5,a1a4_varying_var,2000,base2,sin2,0.0,0,123
5,a1a4_varying_var,2000,base2,sin2,0.3,0,123
5,a1a4_varying_var,2000,base2,sin2,0.6,0,123
5,a1a4_varying_var,2000,base2,sin2,0.9,0,123
5,a1a4_varying_var,5000,base2,sin2,0.0,0,123
5,a1a4_varying_var,5000,base2,sin2,0.3,0,123
5,a1a4_varying_var,5000,base2,sin2,0.6,0,123
5,a1a4_varying_var,5000,base2,sin2,0.9,0,123
5,a5a6_allsigma,2000,base6,constant,0.0,0,123
5,a5a6_allsigma,2000,base6,constant,0.3,0,123
5,a5a6_allsigma,2000,base6,constant,0.6,0,123
5,a5a6_allsigma,2000,base6,constant,0.9,0,123
5,a5a6_allsigma,5000,base6,constant,0.0,0,123
5,a5a6_allsigma,5000,base6,constant,0.3,0,123
5,a5a6_allsigma,5000,base6,constant,0.6,0,123
5,a5a6_allsigma,5000,base6,constant,0.9,0,123
5,a1a4_varying_var,2000,base1,sin,0.0,1,124
5,a1a4_varying_var,2000,base1,sin,0.3,1,124
5,a1a4_varying_var,2000,base1,sin,0.6,1,124
5,a1a4_varying_var,2000,base1,sin,0.9,1,124
5,a1a4_varying_var,5000,base1,sin,0.0,1,124
5,a1a4_varying_var,5000,base1,sin,0.3,1,124
5,a1a4_varying_var,5000,base1,sin,0.6,1,124
5,a1a4_varying_var,5000,base1,sin,0.9,1,124
5,a1a4_varying_var,2000,base3,mixed,0.0,1,124
5,a1a4_varying_var,2000,base3,mixed,0.3,1,124
5,a1a4_varying_var,2000,base3,mixed,0.6,1,124
5,a1a4_varying_var,2000,base3,mixed,0.9,1,124
5,a1a4_varying_var,5000,base3,mixed,0.0,1,124
5,a1a4_varying_var,5000,base3,mixed,0.3,1,124
5,a1a4_varying_var,5000,base3,mixed,0.6,1,124
5,a1a4_varying_var,5000,base3,mixed,0.9,1,124
5,a5a6_allsigma,2000,base6,constant,0.0,1,124
5,a5a6_allsigma,2000,base6,constant,0.3,1,124
5,a5a6_allsigma,2000,base6,constant,0.6,1,124
5,a5a6_allsigma,2000,base6,constant,0.9,1,124
5,a5a6_allsigma,5000,base6,constant,0.0,1,124
5,a5a6_allsigma,5000,base6,constant,0.3,1,124
5,a5a6_allsigma,5000,base6,constant,0.6,1,124
5,a5a6_allsigma,5000,base6,constant,0.9,1,124
5,a1a4_varying_var,2000,base2,sin2,0.0,2,125
5,a1a4_varying_var,2000,base2,sin2,0.3,2,125
5,a1a4_varying_var,2000,base2,sin2,0.6,2,125
5,a1a4_varying_var,2000,base2,sin2,0.9,2,125
5,a1a4_varying_var,5000,base2,sin2,0.0,2,125
5,a1a4_varying_var,5000,base2,sin2,0.3,2,125
5,a1a4_varying_var,5000,base2,sin2,0.6,2,125
5,a1a4_varying_var,5000,base2,sin2,0.9,2,125
5,a5a6_allsigma,2000,base6,constant,0.0,2,125
5,a5a6_allsigma,2000,base6,constant,0.3,2,125
5,a5a6_allsigma,2000,base6,constant,0.6,2,125
5,a5a6_allsigma,2000,base6,constant,0.9,2,125
5,a5a6_allsigma,5000,base6,constant,0.0,2,125
5,a5a6_allsigma,5000,base6,constant,0.3,2,125
5,a5a6_allsigma,5000,base6,constant,0.6,2,125
5,a5a6_allsigma,5000,base6,constant,0.9,2,125
5,a1a4_varying_var,2000,base1,sin,0.0,3,126
5,a1a4_varying_var,2000,base1,sin,0.3,3,126
5,a1a4_varying_var,2000,base1,sin,0.6,3,126
5,a1a4_varying_var,2000,base1,sin,0.9,3,126
5,a1a4_varying_var,5000,base1,sin,0.0,3,126
5,a1a4_varying_var,5000,base1,sin,0.3,3,126
5,a1a4_varying_var,5000,base1,sin,0.6,3,126
5,a1a4_varying_var,5000,base1,sin,0.9,3,126
5,a1a4_varying_var,2000,base3,mixed,0.0,3,126
5,a1a4_varying_var,2000,base3,mixed,0.3,3,126
5,a1a4_varying_var,2000,base3,mixed,0.6,3,126
5,a1a4_varying_var,2000,base3,mixed,0.9,3,126
5,a1a4_varying_var,5000,base3,mixed,0.0,3,126
5,a1a4_varying_var,5000,base3,mixed,0.3,3,126
5,a1a4_varying_var,5000,base3,mixed,0.6,3,126
5,a1a4_varying_var,5000,base3,mixed,0.9,3,126
5,a5a6_allsigma,2000,base6,constant,0.0,3,126
5,a5a6_allsigma,2000,base6,constant,0.3,3,126
5,a5a6_allsigma,2000,base6,constant,0.6,3,126
5,a5a6_allsigma,2000,base6,constant,0.9,3,126
5,a5a6_allsigma,5000,base6,constant,0.0,3,126
5,a5a6_allsigma,5000,base6,constant,0.3,3,126
5,a5a6_allsigma,5000,base6,constant,0.6,3,126
5,a5a6_allsigma,5000,base6,constant,0.9,3,126
5,a1a4_varying_var,2000,base2,sin2,0.0,4,127
5,a1a4_varying_var,2000,base2,sin2,0.3,4,127
5,a1a4_varying_var,2000,base2,sin2,0.6,4,127
5,a1a4_varying_var,2000,base2,sin2,0.9,4,127
5,a1a4_varying_var,5000,base2,sin2,0.0,4,127
5,a1a4_varying_var,5000,base2,sin2,0.3,4,127
5,a1a4_varying_var,5000,base2,sin2,0.6,4,127
5,a1a4_varying_var,5000,base2,sin2,0.9,4,127
5,a5a6_allsigma,2000,base6,constant,0.0,4,127
5,a5a6_allsigma,2000,base6,constant,0.3,4,127
5,a5a6_allsigma,2000,base6,constant,0.6,4,127
5,a5a6_allsigma,2000,base6,constant,0.9,4,127
5,a5a6_allsigma,5000,base6,constant,0.0,4,127
