rho,rep,seed,miae,rmise,beta_mae,beta_rmse,se_beta_nonzero,ppv_beta_nonzero,spe_beta_nonzero,npv_beta_nonzero,se_const_zero,ppv_const_zero,spe_const_zero,npv_const_zero,se_const_nonzero,ppv_const_nonzero,spe_const_nonzero,npv_const_nonzero,se_vary,ppv_vary,spe_vary,npv_vary
0.1,0,123,0.01656155841454351,0.032188529390255974,0.003605495392020916,0.005911401025510939,1.0,1.0,1.0,1.0,1.0,0.9322033898305084,0.84,1.0,0.9272727272727272,1.0,1.0,0.9851301115241635,0.7333333333333333,1.0,1.0,0.9581881533101045
0.1,1,124,0.011577681009077734,0.0226397888880176,0.011230378260345508,0.012752170851179865,1.0,1.0,1.0,1.0,1.0,0.9649122807017544,0.92,1.0,0.9454545454545454,1.0,1.0,0.9888059701492538,0.8888888888888888,1.0,1.0,0.9821428571428571
0.1,2,125,0.01603820260696653,0.030064261702240084,0.0035855290428467705,0.00567312852526736,1.0,1.0,1.0,1.0,1.0,0.9565217391304348,0.9,1.0,0.9636363636363636,1.0,1.0,0.9925093632958801,0.8222222222222222,1.0,1.0,0.9717314487632509
0.1,3,126,0.01291902211432174,0.025864054208190802,0.0029307905455974656,0.005226303677104303,1.0,1.0,1.0,1.0,1.0,0.9523809523809523,0.89,1.0,0.9636363636363636,1.0,1.0,0.9925093632958801,0.8,1.0,1.0,0.9683098591549296
0.1,4,127,0.014282422265091431,0.028152926711980265,0.0037781969761337604,0.006042318495404165,1.0,1.0,1.0,1.0,1.0,0.9482758620689655,0.88,1.0,0.9636363636363636,1.0,1.0,0.9925093632958801,0.7777777777777778,1.0,1.0,0.9649122807017544
0.1,5,128,0.013179936902103015,0.02632448912815786,0.005086149642853184,0.00903593741361326,1.0,1.0,1.0,1.0,1.0,0.9523809523809523,0.89,1.0,0.9454545454545454,1.0,1.0,0.9888059701492538,0.8222222222222222,1.0,1.0,0.9717314487632509
0.1,6,129,0.012292170760827422,0.024230458549573234,0.009599531336135156,0.013995996441402567,1.0,1.0,1.0,1.0,1.0,0.9565217391304348,0.9,1.0,0.9636363636363636,1.0,1.0,0.9925093632958801,0.8222222222222222,1.0,1.0,0.9717314487632509
0.1,7,130,0.012668261283696804,0.025826126328251826,0.0030324115768409223,0.005236918691053781,1.0,1.0,1.0,1.0,1.0,0.9482758620689655,0.88,1.0,0.9272727272727272,1.0,1.0,0.9851301115241635,0.8222222222222222,1.0,1.0,0.9717314487632509
0.1,8,131,0.012043265653146088,0.023600655704593992,0.007511647615269337,0.012025222062443042,1.0,1.0,1.0,1.0,1.0,0.9606986899563319,0.91,1.0,0.9272727272727272,1.0,1.0,0.9851301115241635,0.8888888888888888,1.0,1.0,0.9821428571428571
0.1,9,132,0.012047005892769837,0.02477391139032702,0.005165888149947505,0.008361009707072287,1.0,1.0,1.0,1.0,1.0,0.9482758620689655,0.88,1.0,0.9454545454545454,1.0,1.0,0.9888059701492538,0.8,1.0,1.0,0.9683098591549296
0.1,10,133,0.012182409538531296,0.024624661420243665,0.012948695882212627,0.015092904521555315,1.0,1.0,1.0,1.0,1.0,0.9649122807017544,0.92,1.0,0.9636363636363636,1.0,1.0,0.9925093632958801,0.8666666666666667,1.0,1.0,0.9786476868327402
0.1,11,134,0.012970252163222173,0.02716626440864962,0.0032752247100464585,0.0043714347875682185,1.0,1.0,1.0,1.0,1.0,0.9523809523809523,0.89,1.0,0.9636363636363636,1.0,1.0,0.9925093632958801,0.8,1.0,1.0,0.9683098591549296
0.1,12,135,0.012235115966679448,0.025074562863427834,0.008143065761413356,0.013971240524036123,1.0,1.0,1.0,1.0,1.0,0.9482758620689655,0.88,1.0,0.9636363636363636,1.0,1.0,0.9925093632958801,0.7777777777777778,1.0,1.0,0.9649122807017544
0.1,13,136,0.012285467267235412,0.026165593010556674,0.008030400237568167,0.013745809083315082,1.0,1.0,1.0,1.0,1.0,0.9401709401709402,0.86,1.0,0.9272727272727272,1.0,1.0,0.9851301115241635,0.7777777777777778,1.0,1.0,0.9649122807017544
0.1,14,137,0.012352756458718752,0.025128315491296852,0.006330808837959475,0.008198459623929214,1.0,1.0,1.0,1.0,1.0,0.9606986899563319,0.91,1.0,0.9454545454545454,1.0,1.0,0.9888059701492538,0.8666666666666667,1.0,1.0,0.9786476868327402
0.1,15,138,0.013759596005301798,0.028349725528513045,0.008806843732312383,0.015996136524290962,1.0,1.0,1.0,1.0,1.0,0.9482758620689655,0.88,1.0,0.9636363636363636,1.0,1.0,0.9925093632958801,0.7777777777777778,1.0,1.0,0.9649122807017544
